rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.03251141625492,80.75494304110948,000803,山高环能,bottom_area,2025-11-28,6.88,2025-11-28,6.73,2.2288261515601704,2.2288261515601704,29.822732012513033,False,1.1765,1.8117,1,1,1,100.0,36.1111111111111,36.1111111111111,17.77117384843983,2.2288261515601704,历史1/1次成功; 当前距低点2.23%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
2,92.21688715925866,79.47534834623502,600104,上汽集团,bottom_area,2025-11-28,14.97,2025-11-21,14.7,1.8367346938775602,2.1768707482993217,28.74454677653902,False,0.7402,0.3968,1,1,1,100.0,24.425287356321842,24.425287356321842,18.16326530612244,1.8367346938775602,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
3,91.4935068949879,79.14663226210025,603366,日出东方,bottom_area,2025-11-28,9.5,2025-11-28,9.31,2.040816326530607,2.148227712137479,30.522388059701488,False,1.1715,3.2094,1,1,1,100.0,25.15964240102172,25.15964240102172,17.959183673469393,2.040816326530607,历史1/1次成功; 当前距低点2.04%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
4,90.0785395683364,80.00797103964999,603178,圣龙股份,bottom_area,2025-11-28,18.4,2025-11-24,17.78,3.4870641169853624,4.049493813273334,27.694184627897517,False,0.4367,0.818,1,1,1,100.0,47.51869476546566,47.51869476546566,16.51293588301464,3.4870641169853624,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
5,88.94685111718015,78.51165343645657,600550,保变电气,bottom_area,2025-11-28,9.51,2025-11-28,9.22,3.14533622559652,3.4707158351409815,29.076923076923073,False,2.2581,3.5265,1,1,1,100.0,35.285053929121716,35.285053929121716,16.85466377440348,3.14533622559652,历史1/1次成功; 当前距低点3.15%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
6,86.53603007327992,78.18976254880272,002160,常铝股份,bottom_area,2025-11-28,5.19,2025-11-24,4.97,4.426559356136834,8.249496981891351,28.386167146974074,True,0.9728,7.7914,1,1,1,100.0,40.066225165562926,40.066225165562926,15.573440643863169,4.426559356136834,历史1/1次成功; 当前距低点4.43%; 最新日涨幅0.97%; 状态bottom_area; 底部已确认
7,86.23440026927787,76.56049952170974,600506,统一股份,bottom_area,2025-11-28,25.99,2025-11-28,25.12,3.4633757961783336,4.299363057324833,31.17808219178082,False,2.3228,12.4013,1,1,1,100.0,28.69352869352869,28.69352869352869,16.536624203821667,3.4633757961783336,历史1/1次成功; 当前距低点3.46%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
8,85.2027223306717,75.99512220056867,605333,沪光股份,bottom_area,2025-11-28,29.3,2025-11-27,28.25,3.716814159292038,4.424778761061947,29.162487462387165,False,2.627,0.8126,1,1,1,100.0,28.76052948255115,28.76052948255115,16.283185840707965,3.716814159292038,历史1/1次成功; 当前距低点3.72%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
9,84.83504013679126,75.5627257365027,003038,鑫铂股份,bottom_area,2025-11-28,15.94,2025-11-24,15.38,3.641092327698301,5.7867360208062335,28.76331635016211,False,0.5044,1.9469,1,1,1,100.0,25.507614213197975,25.507614213197975,16.3589076723017,3.641092327698301,历史1/1次成功; 当前距低点3.64%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
10,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-28,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,79.40764072152618,71.43662259140487,300687,赛意信息,bottom_area,2025-11-28,23.14,2025-11-24,22.21,4.187303016659161,9.14002701485816,27.251883393383558,True,-0.8569,2.2666,1,1,1,100.0,23.299319727891156,23.299319727891156,15.81269698334084,4.187303016659161,历史1/1次成功; 当前距低点4.19%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
12,79.17270862226941,72.04561547819036,002338,奥普光电,bottom_area,2025-11-28,51.15,2025-11-21,48.8,4.815573770491807,5.389344262295088,30.632551528073915,False,1.7101,1.5312,1,1,1,100.0,20.995288574793882,20.995288574793882,15.184426229508194,4.815573770491807,历史1/1次成功; 当前距低点4.82%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
13,68.3370103852918,60.58527053128853,300730,科创信息,bottom_area,2025-11-28,13.74,2025-11-24,13.29,3.386004514672694,8.803611738148998,31.84615384615385,True,0.4386,3.4358,1,2,1,50.0,24.329896907216508,24.329896907216508,16.613995485327308,3.386004514672694,历史1/2次成功; 当前距低点3.39%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
