rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.63151105036529,77.56314255494179,002077,大港股份,bottom_area,2022-08-24,16.51,2022-08-23,16.08,2.6741293532338513,6.902985074626885,28.53333333333334,False,1.7879,22.3449,1,1,1,100.0,24.40944881889765,24.40944881889765,17.325870646766152,2.6741293532338513,历史1/1次成功; 当前距低点2.67%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
2,86.7925694463277,74.606793220339,002471,中超控股,bottom_area,2022-08-24,3.0,2022-08-24,2.95,1.6949152542372818,6.7796610169491425,29.59427207637232,False,-5.0633,10.0716,1,1,1,100.0,29.2,29.2,18.30508474576272,1.6949152542372818,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
3,85.33916429911555,71.36142857142859,002110,三钢闽光,bottom_area,2022-08-24,5.33,2022-08-24,5.32,0.18796992481202604,2.06766917293232,28.398384925975765,False,-1.2963,0.4883,1,1,1,100.0,22.90322580645161,22.90322580645161,19.812030075187977,0.18796992481202604,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
4,79.1259388245104,71.34536195039276,000715,中兴商业,bottom_area,2022-08-24,5.08,2022-08-03,4.87,4.312114989733059,7.802874743326487,27.421758569299552,True,-2.1195,1.7351,1,1,1,100.0,24.33862433862435,24.33862433862435,15.68788501026694,4.312114989733059,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
5,66.34895140664962,55.29079283887468,002272,川润股份,bottom_area,2022-08-24,8.51,2022-08-24,8.51,0.0,6.933019976498237,31.037277147487845,False,-9.9471,39.7809,1,2,1,50.0,48.337595907928375,48.337595907928375,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
6,63.119367308744046,52.72779260655044,300552,万集科技,bottom_area,2022-08-24,22.6,2022-08-24,22.57,0.13291980505095763,6.73460345591493,30.145465800061906,False,-5.5973,3.4289,1,2,1,50.0,23.929299796057098,23.929299796057098,19.867080194949043,0.13291980505095763,历史1/2次成功; 当前距低点0.13%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
7,61.755302026946474,51.79165329768271,688083,中望软件,bottom_area,2022-08-24,187.65,2022-08-24,187.0,0.3475935828877036,4.695187165775402,27.79086380661854,False,-3.323,1.0076,1,2,1,50.0,21.52777777777778,21.52777777777778,19.652406417112296,0.3475935828877036,历史1/2次成功; 当前距低点0.35%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
8,61.59487245499443,51.8176970422263,603180,金牌家居,bottom_area,2022-08-24,23.33,2022-08-10,23.21,0.5170185264971885,5.342524773804388,27.15003138731952,False,-3.0341,0.7766,1,2,1,50.0,23.744619799139173,23.744619799139173,19.482981473502814,0.5170185264971885,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
