rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
15,84.70091016996061,74.84236425743013,001212,中旗新材,bottom_area,2024-06-28,20.3,2024-06-25,19.67,3.2028469750889625,6.659888154550068,31.103327495621713,False,-0.6363,1.3451,3,4,3,75.0,42.90244817544601,82.06521739130437,16.797153024911037,3.2028469750889625,历史3/4次成功; 当前距低点3.20%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
16,84.2904787200339,70.90823619384548,300755,华致酒行,bottom_area,2024-06-28,13.66,2024-06-28,13.59,0.5150846210448881,2.354672553348052,28.057173107464266,False,-0.7988,0.5145,1,1,1,100.0,24.47650069799908,24.47650069799908,19.484915378955115,0.5150846210448881,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
17,83.59177617675566,70.59929790274892,600345,长江通信,bottom_area,2024-06-28,17.91,2024-06-26,17.78,0.7311586051743476,6.0742407199100015,27.694184627897517,False,-0.5552,7.038,1,1,1,100.0,25.46419098143237,25.46419098143237,19.268841394825653,0.7311586051743476,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
18,83.48647470306382,72.3753321601652,600416,湘电股份,bottom_area,2024-06-28,9.94,2024-06-26,9.73,2.1582733812949546,4.933196300102779,27.496274217585686,False,1.3252,0.9118,2,3,2,66.66666666666666,29.083488187371074,34.41084462982274,17.841726618705046,2.1582733812949546,历史2/3次成功; 当前距低点2.16%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
19,83.25759106796907,70.72972621645782,300393,中来股份,bottom_area,2024-06-28,5.77,2024-06-26,5.71,1.0507880910682945,5.078809106830123,29.766297662976637,False,-0.3454,1.0857,3,5,3,60.0,26.911414323083477,36.516853932584276,18.94921190893171,1.0507880910682945,历史3/5次成功; 当前距低点1.05%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
20,83.1306066890714,70.08313021768713,603368,柳药集团,bottom_area,2024-06-28,17.5,2024-06-28,17.39,0.632547441058076,1.7826336975273072,27.842323651452283,False,0.1144,1.5938,2,3,2,66.66666666666666,37.89608449802624,42.85714285714285,19.367452558941924,0.632547441058076,历史2/3次成功; 当前距低点0.63%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
21,82.36546735197712,69.71597149338376,605089,味知香,bottom_area,2024-06-28,21.34,2024-06-25,21.16,0.8506616257088833,4.867674858223068,27.658119658119656,False,-0.6055,0.2674,1,1,1,100.0,22.180000000000007,22.180000000000007,19.149338374291116,0.8506616257088833,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
22,81.03736153827447,72.00241630521103,603037,凯众股份,bottom_area,2024-06-28,12.99,2024-06-28,12.55,3.505976095617526,4.7011952191235045,32.526881720430104,False,0.464,5.9945,2,3,2,66.66666666666666,43.59879105673294,47.48743718592965,16.494023904382477,3.505976095617526,历史2/3次成功; 当前距低点3.51%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
23,80.71571072116761,72.37863856832125,300409,道氏技术,bottom_area,2024-06-28,8.56,2024-06-25,8.23,4.009720534629405,7.411907654921013,30.60708263069139,True,0.0,1.384,3,5,3,60.0,40.380652619765016,50.03460207612457,15.990279465370596,4.009720534629405,历史3/5次成功; 当前距低点4.01%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
24,80.20683723666617,68.82613735849057,002317,众生药业,bottom_area,2024-06-28,11.43,2024-06-25,11.25,1.5999999999999976,6.222222222222216,27.745664739884397,False,-0.4355,1.2487,2,4,2,50.0,45.076007303712714,58.31999999999999,18.400000000000002,1.5999999999999976,历史2/4次成功; 当前距低点1.60%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
