rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.42754892446654,81.438753608338,000411,英特集团,bottom_area,2023-01-17,11.69,2023-01-05,11.54,1.2998266897747,3.812824956672455,31.675547661338076,False,-1.7647,1.4451,2,2,2,100.0,34.206228285076975,47.98426745329401,18.700173310225303,1.2998266897747,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,92.77171401962555,79.02146912376158,002395,双象股份,bottom_area,2023-01-17,9.31,2023-01-17,9.2,1.1956521739130568,3.913043478260883,32.65007320644217,False,-1.7932,0.956,1,1,1,100.0,36.59976387249114,36.59976387249114,18.804347826086946,1.1956521739130568,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
3,92.72282946895963,78.79697879369019,002095,生意宝,bottom_area,2023-01-17,20.8,2023-01-17,20.58,1.0689990281827135,4.61613216715259,31.400000000000006,False,-2.9851,7.08,1,1,1,100.0,33.84030418250951,33.84030418250951,18.931000971817287,1.0689990281827135,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
4,87.34671932556019,79.31251179919244,688075,安旭生物,bottom_area,2023-01-17,87.82,2022-12-30,83.88,4.697186456843107,5.996661897949453,29.441453566621806,False,-0.3404,2.4373,4,4,4,100.0,31.086542584917854,40.134529147982065,15.302813543156896,4.697186456843107,历史4/4次成功; 当前距低点4.70%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
5,85.61744526162617,76.80028293799323,000980,众泰汽车,bottom_area,2023-01-17,4.39,2022-12-29,4.22,4.028436018957344,10.4265402843602,30.247933884297524,True,-0.6787,1.0554,2,2,2,100.0,33.52213473772031,43.49775784753364,15.971563981042658,4.028436018957344,历史2/2次成功; 当前距低点4.03%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
6,85.56599390801097,74.0765671641791,000919,金陵药业,bottom_area,2023-01-17,7.84,2022-12-29,7.68,2.0833333333333353,4.947916666666677,31.12107623318386,False,-1.8773,1.6584,1,1,1,100.0,20.8955223880597,20.8955223880597,17.916666666666668,2.0833333333333353,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
7,71.08362934772713,60.41367525522605,300434,金石亚药,bottom_area,2023-01-17,12.23,2023-01-17,12.1,1.0743801652892626,3.719008264462819,30.379746835443033,False,-2.5498,3.342,1,2,1,50.0,26.7379679144385,26.7379679144385,18.925619834710737,1.0743801652892626,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
8,64.20833317069619,53.98663166620613,000419,通程控股,bottom_area,2023-01-17,6.19,2023-01-17,6.16,0.48701298701299106,2.4350649350649265,27.868852459016384,False,-1.2759,4.0105,1,2,1,50.0,24.82269503546099,24.82269503546099,19.51298701298701,0.48701298701299106,历史1/2次成功; 当前距低点0.49%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
9,63.391310270960794,53.51336215954849,002838,道恩股份,bottom_area,2023-01-17,17.13,2023-01-13,17.01,0.7054673721340237,2.057613168724267,32.17703349282296,False,-0.9254,0.8911,1,2,1,50.0,24.95606326889279,24.95606326889279,19.294532627865976,0.7054673721340237,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
10,59.414869165064964,50.007065176772805,000679,大连友谊,bottom_area,2023-01-17,5.56,2023-01-17,5.53,0.5424954792043284,4.520795660036167,27.33245729303548,False,-1.7668,3.2594,1,4,1,25.0,24.94061757719715,24.94061757719715,19.457504520795673,0.5424954792043284,历史1/4次成功; 当前距低点0.54%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
11,59.23036532508135,49.9380881609544,000715,中兴商业,bottom_area,2023-01-17,6.32,2023-01-17,6.28,0.6369426751592362,3.503184713375792,29.596412556053806,False,-2.1672,4.6534,1,3,1,33.33333333333333,24.33862433862435,24.33862433862435,19.363057324840767,0.6369426751592362,历史1/3次成功; 当前距低点0.64%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
