rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
19,79.0481241243778,78.5927270145737,000532,华金资本,bottom_area,2024-09-09,10.7,2024-09-04,10.22,4.696673189823861,7.632093933463789,27.926657263751757,True,0.8483,2.8649,2,2,2,100.0,28.877106921355356,32.044198895027606,5.303326810176139,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
20,79.0173749677328,76.7778970208986,301509,金凯生科,bottom_area,2024-09-09,26.09,2024-08-28,25.21,3.4906783022610037,6.902023006743349,29.6792189679219,False,1.4386,2.5357,2,2,2,100.0,13.530341666955287,15.05054819877544,6.509321697738997,3.4906783022610037,历史2/2次成功; 当前距低点3.49%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
21,78.3454586071478,72.31012531328321,002110,三钢闽光,bottom_area,2024-09-09,2.54,2024-09-09,2.52,0.7936507936507943,2.3809523809523827,32.97872340425532,False,-1.9305,0.3073,2,2,2,100.0,18.761554423693642,22.90322580645161,9.206349206349207,0.7936507936507943,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
22,77.74044914278687,73.67273644342254,000539,粤电力A,bottom_area,2024-09-09,4.22,2024-08-26,4.13,2.1791767554479384,6.7796610169491585,31.395348837209298,False,-0.939,0.3145,1,1,1,100.0,19.89924433249369,19.89924433249369,7.820823244552062,2.1791767554479384,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
23,76.16447048429796,69.83517131459591,601808,中海油服,bottom_area,2024-09-09,13.45,2024-09-09,13.39,0.44809559372665214,2.7632561613144078,28.548559231590172,False,-1.9679,0.2358,1,1,1,100.0,17.88617886178861,17.88617886178861,9.551904406273348,0.44809559372665214,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
24,75.70302984552683,70.08749993210277,600345,长江通信,bottom_area,2024-09-09,14.79,2024-09-09,14.65,0.9556313993173979,2.3890784982935127,27.331349206349202,False,-1.2024,1.4841,1,1,1,100.0,25.46419098143237,25.46419098143237,9.044368600682603,0.9556313993173979,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
25,75.68569829301401,73.51854709143805,000726,鲁泰A,bottom_area,2024-09-09,5.36,2024-08-29,5.18,3.4749034749034866,6.370656370656372,31.390728476821195,False,0.1869,0.4578,1,1,1,100.0,12.480252764612954,12.480252764612954,6.525096525096513,3.4749034749034866,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
26,74.51882184127194,68.579629083337,601117,中国化学,bottom_area,2024-09-09,6.27,2024-09-09,6.23,0.6420545746388306,1.7656500802568125,27.97687861271676,False,-1.4151,0.4962,1,1,1,100.0,13.513513513513523,13.513513513513523,9.35794542536117,0.6420545746388306,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
27,74.12314099230443,71.43632038598658,002230,科大讯飞,bottom_area,2024-09-09,33.66,2024-08-28,32.66,3.0618493570116354,6.429883649724438,28.093350946719518,False,-1.0,0.6074,1,1,1,100.0,18.69535978480161,18.69535978480161,6.938150642988365,3.0618493570116354,历史1/1次成功; 当前距低点3.06%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
28,74.09859521309741,73.24594258552399,300478,杭州高新,bottom_area,2024-09-09,7.13,2024-08-28,6.83,4.3923865300146385,8.052708638360173,28.10526315789474,True,0.1404,1.9103,1,1,1,100.0,13.067655236329937,13.067655236329937,5.6076134699853615,4.3923865300146385,历史1/1次成功; 当前距低点4.39%; 最新日涨幅0.14%; 状态bottom_area; 底部已确认
