rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.76615399516237,78.93369304556353,601567,三星电气,bottom_area,2021-10-18,13.89,2021-10-13,13.68,1.535087719298252,7.0906432748538055,27.42705570291778,True,-0.2155,0.7668,1,1,1,100.0,31.09512390087929,31.09512390087929,6.464912280701748,1.535087719298252,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
2,80.24186768740033,79.68269090909092,000789,万年青,bottom_area,2021-10-18,12.54,2021-10-14,12.1,3.6363636363636322,4.297520661157021,28.44470727380249,False,1.5385,2.141,1,1,1,100.0,47.599999999999994,47.599999999999994,4.363636363636368,3.6363636363636322,历史1/1次成功; 当前距低点3.64%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
3,77.60632795209615,74.82158719460827,001212,中旗新材,bottom_area,2021-10-18,30.63,2021-10-12,30.0,2.0999999999999965,6.733333333333344,32.65993265993266,False,-1.2254,2.2534,1,1,1,100.0,25.105307497893843,25.105307497893843,5.900000000000004,2.0999999999999965,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
4,75.28852333302186,74.83595993660828,002833,弘亚数控,bottom_area,2021-10-18,31.22,2021-10-13,30.11,3.686482896047823,7.871139156426428,30.86107921928817,True,-0.9518,2.271,1,1,1,100.0,35.43624161073825,35.43624161073825,4.313517103952178,3.686482896047823,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-0.95%; 状态bottom_area; 底部已确认
5,74.25027592794858,71.85281312279625,605589,圣泉集团,bottom_area,2021-10-18,30.33,2021-09-29,29.65,2.2934232715008425,6.239460370994946,28.69167869167869,False,-1.8764,3.9285,1,1,1,100.0,11.515151515151507,11.515151515151507,5.706576728499158,2.2934232715008425,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
6,73.64978907475106,72.01421205519244,605365,立达信,bottom_area,2021-10-18,18.88,2021-09-28,18.36,2.8322440087145946,7.6797385620915035,29.68211413251628,True,-0.4744,1.3328,1,1,1,100.0,9.794238683127569,9.794238683127569,5.167755991285405,2.8322440087145946,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
7,72.74284211537741,73.04091089516132,600409,三友化工,bottom_area,2021-10-18,10.39,2021-10-14,9.97,4.212637913741222,4.513540621865589,30.084151472650767,False,1.9627,2.9696,1,1,1,100.0,18.95551257253386,18.95551257253386,3.7873620862587782,4.212637913741222,历史1/1次成功; 当前距低点4.21%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
