rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.82430376314734,80.26012601211501,002755,奥赛康,bottom_area,2023-07-21,8.1,2023-07-17,7.94,2.0151133501259353,3.022670025188908,28.853046594982075,False,1.1236,0.4212,1,1,1,100.0,30.831099195710454,30.831099195710454,17.984886649874067,2.0151133501259353,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
2,84.7011312307516,71.03647581379286,002825,纳尔股份,bottom_area,2023-07-21,8.64,2023-07-17,8.61,0.34843205574914216,3.019744483159115,32.94392523364487,False,-0.6897,0.8347,1,1,1,100.0,23.123123123123136,23.123123123123136,19.651567944250857,0.34843205574914216,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
3,83.23907782140219,70.04173953085215,002590,万安科技,bottom_area,2023-07-21,11.4,2023-07-21,11.34,0.5291005291005335,7.319223985890654,27.95425667090216,False,-4.6025,10.7339,1,1,1,100.0,30.204778156996575,30.204778156996575,19.470899470899468,0.5291005291005335,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-4.60%; 状态bottom_area; 底部未确认
4,82.71737016962472,73.53830798578723,600995,南网储能,bottom_area,2023-07-21,11.12,2023-06-07,10.74,3.5381750465549255,8.379888268156428,32.7909887359199,True,-1.5058,0.9315,1,1,1,100.0,26.64165103189493,26.64165103189493,16.461824953445074,3.5381750465549255,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
5,80.24828800066261,73.17879596250901,600935,华塑股份,bottom_area,2023-07-21,3.83,2023-06-27,3.65,4.931506849315073,6.575342465753431,28.571428571428577,False,1.0554,0.3478,1,1,1,100.0,28.50877192982458,28.50877192982458,15.068493150684928,4.931506849315073,历史1/1次成功; 当前距低点4.93%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
6,65.04937625842575,54.492204203675456,300722,新余国科,bottom_area,2023-07-21,24.59,2023-07-21,24.52,0.28548123980424256,4.2414355628058695,27.88235294117647,False,-2.1488,0.9086,1,4,1,25.0,45.90377113133938,45.90377113133938,19.71451876019576,0.28548123980424256,历史1/4次成功; 当前距低点0.29%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
7,64.67489670129967,55.25862821605298,688318,财富趋势,bottom_area,2023-07-21,89.2,2023-07-19,88.0,1.3636363636363669,5.113636363636364,28.837134077308747,False,-0.4575,0.565,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,18.636363636363633,1.3636363636363669,历史1/3次成功; 当前距低点1.36%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
8,64.14316304485959,55.10891472868218,603033,三维股份,bottom_area,2023-07-21,15.86,2023-07-17,15.6,1.6666666666666652,5.25641025641027,27.677329624478446,False,-0.2516,0.1237,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.333333333333336,1.6666666666666652,历史1/3次成功; 当前距低点1.67%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
9,60.91328681165061,51.23457451196652,688169,石头科技,bottom_area,2023-07-21,249.95,2023-07-21,248.69,0.5066548715267968,4.14572359162009,32.512890094979646,False,-0.5886,0.9856,1,3,1,33.33333333333333,29.71190476190475,29.71190476190475,19.493345128473205,0.5066548715267968,历史1/3次成功; 当前距低点0.51%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
10,58.410386598547966,49.29982794236473,002829,星网宇达,bottom_area,2023-07-21,31.84,2023-07-21,31.62,0.6957621758380735,2.688172043010746,29.37234755416574,False,-1.789,2.36,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.304237824161927,0.6957621758380735,历史1/3次成功; 当前距低点0.70%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
11,56.04980793854033,46.708173282116945,002403,爱仕达,bottom_area,2023-07-21,8.6,2023-07-21,8.6,0.0,4.1860465116279215,31.089743589743595,False,-4.3382,3.9342,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
