rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.91084385553813,82.34821257849843,001391,国货航,bottom_area,2026-03-16,5.7,7.73,2026-03-09,5.64,1.0638297872340514,2.3049645390070905,27.037516170763272,26.26131953428202,False,0.0,0.9945,1,1,1,100.0,30.39647577092513,30.39647577092513,18.936170212765948,1.0638297872340514,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,96.69696313891822,83.10069402295817,001206,依依股份,bottom_area,2026-03-16,22.37,31.9,2026-03-04,22.0,1.6818181818181863,6.045454545454538,31.034482758620683,29.874608150470213,False,0.1343,1.505,1,1,1,100.0,42.01741654571844,42.01741654571844,18.318181818181813,1.6818181818181863,历史1/1次成功; 当前距低点1.68%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,95.42222454502021,81.14025330012254,002739,儒意电影,bottom_area,2026-03-16,10.09,13.87,2026-03-09,9.98,1.1022044088176297,3.206412825651305,28.04614275414563,27.253064167267482,False,0.5982,1.3454,1,1,1,100.0,24.37246963562753,24.37246963562753,18.89779559118237,1.1022044088176297,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
4,93.4762784435963,80.60444099950885,002345,潮宏基,bottom_area,2026-03-16,10.37,14.25,2026-03-16,10.18,1.8664047151276966,2.1611001964636603,28.56140350877193,27.228070175438603,False,0.6796,1.7483,1,1,1,100.0,30.859375,30.859375,18.133595284872307,1.8664047151276966,历史1/1次成功; 当前距低点1.87%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
5,93.08892745973387,80.61450961469087,688317,之江生物,bottom_area,2026-03-16,19.93,28.58,2026-03-04,19.52,2.1004098360655745,4.76434426229508,31.700489853044083,30.265920223932817,False,0.2515,0.6526,3,4,3,75.0,37.948623875916084,40.461049284578706,17.899590163934427,2.1004098360655745,历史3/4次成功; 当前距低点2.10%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,91.80827694480925,79.60914884669916,688236,春立医疗,bottom_area,2026-03-16,20.23,27.56,2026-03-13,19.8,2.17171717171717,4.292929292929282,28.156748911465883,26.59651669085631,False,0.9481,1.0222,3,4,3,75.0,33.4175483774963,48.33672776646301,17.82828282828283,2.17171717171717,历史3/4次成功; 当前距低点2.17%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
7,91.76375709942282,79.18788390636374,002264,新华都,bottom_area,2026-03-16,9.08,12.29,2026-03-16,8.91,1.9079685746352406,1.9079685746352406,27.5020341741253,26.118795768917813,False,1.2263,2.0808,1,1,1,100.0,23.752969121140143,23.752969121140143,18.09203142536476,1.9079685746352406,历史1/1次成功; 当前距低点1.91%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
8,90.50059116880166,80.21436281337469,688608,恒玄科技,bottom_area,2026-03-16,179.64,246.36,2026-03-16,173.78,3.372079640925299,3.5332029002186593,29.460951453157985,27.082318558207515,False,0.7572,1.4046,2,2,2,100.0,30.55217416496976,36.80636853195971,16.627920359074704,3.372079640925299,历史2/2次成功; 当前距低点3.37%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
9,87.97612979265564,75.87308555317804,301226,祥明智能,bottom_area,2026-03-16,34.78,50.0,2026-03-16,34.14,1.8746338605741084,5.916813122437013,31.72,30.44,False,-0.4579,5.7162,1,1,1,100.0,27.995971802618342,27.995971802618342,18.125366139425893,1.8746338605741084,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
10,87.56311478767327,75.49841750526969,000759,中百集团,bottom_area,2026-03-16,6.02,8.42,2026-03-16,5.91,1.8612521150592118,2.8764805414551597,29.80997624703088,28.503562945368177,False,1.1765,2.2267,2,3,2,66.66666666666666,42.233363768483954,49.78038067349927,18.13874788494079,1.8612521150592118,历史2/3次成功; 当前距低点1.86%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
11,80.51815755168711,69.0638765943521,601689,拓普集团,bottom_area,2026-03-16,62.49,85.5,2026-03-09,61.52,1.5767230169050697,7.038361508452522,28.046783625730992,26.912280701754383,True,-0.9981,0.9835,2,4,2,50.0,36.87529609083685,47.99107142857144,18.423276983094933,1.5767230169050697,历史2/4次成功; 当前距低点1.58%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
