rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.27974772616993,81.0905997818975,300488,恒锋工具,bottom_area,2021-12-24,27.89,2021-12-24,27.51,1.3813158851326752,5.779716466739367,30.74018126888217,False,-2.4825,2.05,1,1,1,100.0,65.52470248827983,65.52470248827983,6.618684114867325,1.3813158851326752,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
2,77.9830003098401,74.09844544269285,688280,精进电动,confirmed_rebound,2021-12-24,15.84,2021-12-24,15.63,1.343570057581568,8.061420345489442,29.62629446195407,False,-5.4328,8.6936,1,1,1,100.0,32.37518910741301,32.37518910741301,6.656429942418432,1.343570057581568,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-5.43%; 状态confirmed_rebound; 底部未确认
3,77.18568099710657,72.21822013921584,300508,维宏股份,bottom_area,2021-12-24,37.09,2021-12-24,36.89,0.542152344808899,5.638384386012465,28.36893203883495,False,-3.6623,3.0518,1,1,1,100.0,42.06627680311891,42.06627680311891,7.457847655191101,0.542152344808899,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
4,74.94595252612261,71.55440816423176,601798,蓝科高新,confirmed_rebound,2021-12-24,9.57,2021-12-24,9.42,1.592356687898093,9.766454352441613,31.540697674418606,False,-4.491,10.7392,1,1,1,100.0,21.74721189591078,21.74721189591078,6.407643312101907,1.592356687898093,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-4.49%; 状态confirmed_rebound; 底部未确认
5,74.43309087572405,68.91952858863337,001202,炬申股份,bottom_area,2021-12-24,20.26,2021-12-24,20.26,0.0,5.626850937808475,29.65277777777777,False,-9.9956,47.5558,2,2,2,100.0,13.277035422760038,14.164133738601837,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
6,74.2617237008628,69.7980925942201,002357,富临运业,bottom_area,2021-12-24,6.48,2021-12-24,6.43,0.7776049766718618,6.376360808709178,27.75280898876405,False,-5.2632,16.6233,1,1,1,100.0,31.941031941031934,31.941031941031934,7.222395023328139,0.7776049766718618,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-5.26%; 状态bottom_area; 底部未确认
7,72.83460247225898,67.48551979709735,688128,中国电研,bottom_area,2021-12-24,28.21,2021-12-24,28.2,0.03546099290780696,6.63120567375887,28.024502297090354,False,-5.9667,3.693,1,1,1,100.0,10.410596026490065,10.410596026490065,7.964539007092193,0.03546099290780696,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-5.97%; 状态bottom_area; 底部未确认
8,72.35317365397246,67.74036697916841,688012,中微公司,bottom_area,2021-12-24,125.8,2021-12-24,125.08,0.5756315957787007,3.445794691397496,30.76497287722794,False,-2.0631,1.8804,1,1,1,100.0,8.187134502923984,8.187134502923984,7.4243684042212985,0.5756315957787007,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
9,71.0723686786297,65.80774877650897,600405,动力源,bottom_area,2021-12-24,7.95,2021-12-24,7.95,0.0,7.044025157232698,27.46350364963504,False,-8.1986,25.1878,1,1,1,100.0,13.213703099510612,13.213703099510612,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.20%; 状态bottom_area; 底部未确认
10,70.94888901765962,66.56753490227362,600367,红星发展,bottom_area,2021-12-24,17.6,2021-12-24,17.48,0.686498855835246,6.350114416475969,27.166666666666668,False,-4.7619,5.4788,1,1,1,100.0,13.455657492354733,13.455657492354733,7.3135011441647535,0.686498855835246,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
11,57.704811735440515,54.365233128948006,002607,中公教育,bottom_area,2021-12-24,7.84,2021-12-24,7.77,0.9009009009009046,2.9601029601029656,27.92207792207792,False,0.1277,2.3207,1,2,1,50.0,9.458533241946544,9.458533241946544,7.099099099099096,0.9009009009009046,历史1/2次成功; 当前距低点0.90%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
