rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.17993828891998,81.76173913043473,002826,易明医药,bottom_area,2025-07-07,18.6,2025-07-07,18.4,1.086956521739146,4.402173913043491,27.301461872777562,False,-1.1164,8.6347,1,1,1,100.0,50.0,50.0,18.913043478260853,1.086956521739146,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
2,94.36177216341513,81.97712243259396,605198,安德利,bottom_area,2025-07-07,40.02,2025-06-20,39.13,2.274469716330183,5.877843087145405,29.748653500897664,False,0.2756,0.6369,1,1,1,100.0,43.241469816272954,43.241469816272954,17.72553028366982,2.274469716330183,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,92.62690569030758,79.39156936754105,000999,华润三九,bottom_area,2025-07-07,31.06,2025-06-23,30.59,1.5364498202026768,4.347826086956528,29.645814167433297,False,0.0644,0.2794,1,1,1,100.0,20.293951384963254,20.293951384963254,18.463550179797323,1.5364498202026768,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
4,90.52297910706956,78.74401142955286,301348,蓝箭电子,bottom_area,2025-07-07,20.51,2025-07-07,20.04,2.345309381237537,3.5429141716566908,29.036827195467417,False,1.284,8.1194,1,1,1,100.0,26.727509778357234,26.727509778357234,17.654690618762466,2.345309381237537,历史1/1次成功; 当前距低点2.35%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
5,85.8753739664091,74.79657718807441,002155,湖南黄金,bottom_area,2025-07-07,17.81,2025-06-30,17.39,2.415181138585383,5.405405405405392,29.28019520130134,False,-0.7799,1.4346,1,1,1,100.0,28.834355828220854,28.834355828220854,17.584818861414618,2.415181138585383,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
6,80.35064519221945,73.0085431161337,605377,华旺科技,bottom_area,2025-07-07,8.85,2025-06-23,8.45,4.733727810650892,4.852071005917162,30.04966887417219,False,0.6826,0.6156,1,1,1,100.0,25.16904583020285,25.16904583020285,15.26627218934911,4.733727810650892,历史1/1次成功; 当前距低点4.73%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
7,78.76488800563074,71.36993127147765,603327,福蓉科技,bottom_area,2025-07-07,9.13,2025-06-23,8.73,4.581901489117988,7.560137457044674,28.148148148148145,True,-1.5102,0.5601,4,6,4,66.66666666666666,60.30969475756576,129.39632545931758,15.418098510882015,4.581901489117988,历史4/6次成功; 当前距低点4.58%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
8,74.72357527762526,63.83451641291911,603022,新通联,bottom_area,2025-07-07,10.47,2025-07-04,10.33,1.3552758954501507,1.8393030009680493,31.270791749833666,False,1.0618,4.8104,1,2,1,50.0,26.099706744868023,26.099706744868023,18.64472410454985,1.3552758954501507,历史1/2次成功; 当前距低点1.36%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
9,74.54611552120164,66.89980780377124,300346,南大光电,bottom_area,2025-07-07,31.06,2025-06-13,29.85,4.053601340033492,8.576214405360117,27.513355998057303,True,-0.1928,1.4908,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,15.94639865996651,4.053601340033492,历史2/3次成功; 当前距低点4.05%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
10,69.58745550356383,60.66299557728952,000637,茂化实华,bottom_area,2025-07-07,4.16,2025-07-07,4.06,2.4630541871921316,2.709359605911338,27.370304114490168,False,0.7264,4.6984,1,2,1,50.0,22.627737226277358,22.627737226277358,17.53694581280787,2.4630541871921316,历史1/2次成功; 当前距低点2.46%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
11,69.4411967097538,60.56979256167126,600241,时代万恒,bottom_area,2025-07-07,8.63,2025-07-04,8.42,2.494061757719725,4.2755344418052195,28.03418803418803,False,1.4101,6.2194,1,2,1,50.0,22.50673854447439,22.50673854447439,17.505938242280276,2.494061757719725,历史1/2次成功; 当前距低点2.49%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
12,62.52817759735999,56.9369407429144,002172,澳洋健康,bottom_area,2025-07-07,3.89,2025-06-23,3.71,4.851752021563346,7.547169811320761,27.11198428290766,True,0.5168,3.6914,2,6,2,33.33333333333333,25.46022590723384,29.824561403508774,15.148247978436654,4.851752021563346,历史2/6次成功; 当前距低点4.85%; 最新日涨幅0.52%; 状态bottom_area; 底部已确认
13,62.00095005021672,56.00122122364347,002041,登海种业,bottom_area,2025-07-07,9.95,2025-06-23,9.53,4.40713536201469,4.721930745015751,29.719764011799416,False,0.7085,1.1757,1,2,1,50.0,21.395106715252467,21.395106715252467,15.592864637985313,4.40713536201469,历史1/2次成功; 当前距低点4.41%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
