rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.88578535250373,91.30280479071205,688358,祥生医疗,bottom_area,2024-10-17,23.03,2024-10-16,22.7,1.4537444933920787,4.5374449339207095,28.232690483717988,False,0.6996,0.8183,4,4,4,100.0,33.31904427766654,68.06588735387884,6.546255506607921,1.4537444933920787,历史4/4次成功; 当前距低点1.45%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
2,87.27653836985377,82.82411735983518,300595,欧普康视,bottom_area,2024-10-17,18.23,2024-10-16,18.0,1.2777777777777801,4.277777777777776,27.594529364440866,False,0.0549,1.6734,2,2,2,100.0,18.911025232088786,19.855715871254166,6.72222222222222,1.2777777777777801,历史2/2次成功; 当前距低点1.28%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
3,87.04546954457813,80.72069781253171,688005,容百科技,bottom_area,2024-10-17,25.27,2024-10-17,25.25,0.07920792079207752,4.316831683168316,27.442528735632177,False,-1.7496,2.3894,4,4,4,100.0,21.88866597815933,38.76758854924795,7.9207920792079225,0.07920792079207752,历史4/4次成功; 当前距低点0.08%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
4,86.82919519231005,85.63812518691091,300763,锦浪科技,bottom_area,2024-10-17,71.44,2024-10-16,69.17,3.281769553274535,6.375596356802077,29.266796195930056,False,2.2178,4.1241,4,4,4,100.0,25.271826711703444,36.020348268440614,4.718230446725466,3.281769553274535,历史4/4次成功; 当前距低点3.28%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
5,86.6094224018539,80.81677494887123,688339,亿华通,bottom_area,2024-10-17,22.49,2024-10-17,22.4,0.40178571428571364,3.9285714285714404,27.2963323596235,False,-1.9616,1.6975,5,5,5,100.0,26.359389126035783,76.30996309963099,7.598214285714286,0.40178571428571364,历史5/5次成功; 当前距低点0.40%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
6,86.57551763055943,82.98089820068755,688116,天奈科技,bottom_area,2024-10-17,24.95,2024-10-16,24.51,1.7951856385148826,5.630354957160338,27.161961367013365,False,0.4428,2.4907,3,3,3,100.0,9.429685250007996,11.226578491576134,6.204814361485118,1.7951856385148826,历史3/3次成功; 当前距低点1.80%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
7,85.66832656518392,82.0714558063658,300601,康泰生物,bottom_area,2024-10-17,17.25,2024-10-16,16.95,1.7699115044247828,5.840707964601782,27.718550106609808,False,-0.919,1.7816,4,4,4,100.0,10.036849658356518,11.580726965342352,6.230088495575218,1.7699115044247828,历史4/4次成功; 当前距低点1.77%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
8,85.34344098149201,79.37639849594962,002347,泰尔股份,bottom_area,2024-10-17,4.31,2024-10-17,4.3,0.23255813953487878,3.720930232558143,27.97319932998325,False,-1.8223,10.8506,4,4,4,100.0,16.54102717252227,29.585798816568047,7.767441860465121,0.23255813953487878,历史4/4次成功; 当前距低点0.23%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
9,84.85302098226023,80.62687622276765,300693,盛弘股份,bottom_area,2024-10-17,24.13,2024-10-16,23.81,1.3439731205375904,3.611927761444784,27.62917933130699,False,0.0415,3.3524,4,5,4,80.0,17.909327621469668,36.12334801762114,6.656026879462409,1.3439731205375904,历史4/5次成功; 当前距低点1.34%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
10,84.8463033508856,80.94086692261925,688349,三一重能,bottom_area,2024-10-17,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0,1.6703,1,1,1,100.0,28.790581519800213,28.790581519800213,6.449920508744037,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,84.7728585270594,80.8386485180688,301499,维科精密,confirmed_rebound,2024-10-17,25.89,2024-10-14,25.5,1.5294117647058845,8.78431372549019,29.166666666666668,True,-1.5589,10.2527,3,3,3,100.0,18.148964202140924,21.950454687989964,6.470588235294115,1.5294117647058845,历史3/3次成功; 当前距低点1.53%; 最新日涨幅-1.56%; 状态confirmed_rebound; 底部已确认
