rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.60390054776771,82.54530690749966,002103,广博股份,bottom_area,2023-11-30,7.33,2023-11-30,7.11,3.0942334739803057,3.938115330520384,28.47082494969818,False,0.9642,15.6957,2,2,2,100.0,39.6782754202944,51.366120218579226,16.905766526019693,3.0942334739803057,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
2,91.40563291121687,76.30771307315582,600048,保利发展,bottom_area,2023-11-30,10.26,2023-11-30,10.25,0.09756097560975402,2.0487804878048865,31.161853593015447,False,-0.8696,0.4868,2,2,2,100.0,31.721247836269217,31.987577639751546,19.902439024390247,0.09756097560975402,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,89.0024755805987,76.69131134243614,300637,扬帆新材,bottom_area,2023-11-30,10.59,2023-11-30,10.4,1.8269230769230722,5.288461538461528,27.221833449965004,False,-2.6654,10.2867,1,1,1,100.0,31.810193321616865,31.810193321616865,18.173076923076927,1.8269230769230722,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
4,85.32069982569227,72.0008865765791,688303,大全能源,bottom_area,2023-11-30,30.79,2023-11-30,30.58,0.686723348593855,1.667756703727932,27.911362564827918,False,-0.6454,0.9617,1,1,1,100.0,32.45492371705965,32.45492371705965,19.31327665140615,0.686723348593855,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
5,85.05848007359269,73.12581560283688,002137,实益达,bottom_area,2023-11-30,7.17,2023-11-30,7.05,1.7021276595744694,4.539007092198586,27.31958762886598,False,-2.1828,16.7212,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,18.29787234042553,1.7021276595744694,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
6,80.94870729528537,73.6928007590133,000966,长源电力,bottom_area,2023-11-30,4.55,2023-10-24,4.34,4.838709677419354,9.907834101382482,27.424749163879607,True,0.4415,0.689,1,1,1,100.0,20.94117647058823,20.94117647058823,15.161290322580648,4.838709677419354,历史1/1次成功; 当前距低点4.84%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
7,71.25908959286588,64.3031646514405,300511,雪榕生物,bottom_area,2023-11-30,5.75,2023-10-30,5.51,4.355716878402908,8.34845735027223,27.212681638044923,True,-0.519,1.5549,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,15.644283121597095,4.355716878402908,历史2/3次成功; 当前距低点4.36%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
8,71.09933236343447,60.87069706902661,300337,银邦股份,bottom_area,2023-11-30,8.26,2023-11-30,8.14,1.4742014742014646,3.8083538083537927,32.11009174311926,False,-2.1327,3.9378,1,2,1,50.0,34.09610983981694,34.09610983981694,18.525798525798535,1.4742014742014646,历史1/2次成功; 当前距低点1.47%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
9,68.30665151468365,58.961767594108025,603326,我乐家居,bottom_area,2023-11-30,10.07,2023-11-02,9.88,1.923076923076918,9.00809716599189,30.909090909090907,True,-0.3956,2.0167,1,2,1,50.0,20.141843971631218,20.141843971631218,18.076923076923084,1.923076923076918,历史1/2次成功; 当前距低点1.92%; 最新日涨幅-0.40%; 状态bottom_area; 底部已确认
10,67.71880204843819,59.64001438550385,600328,中盐化工,bottom_area,2023-11-30,7.84,2023-10-26,7.61,3.022339027595263,8.147174770039422,28.207547169811313,True,-0.7595,0.5531,1,2,1,50.0,37.26315789473683,37.26315789473683,16.97766097240474,3.022339027595263,历史1/2次成功; 当前距低点3.02%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
11,67.05426086983266,57.57495566866956,002080,中材科技,bottom_area,2023-11-30,16.8,2023-10-26,16.53,1.6333938294010864,9.074410163339381,27.244718309859145,True,-0.4739,0.6261,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,18.366606170598914,1.6333938294010864,历史1/3次成功; 当前距低点1.63%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
12,66.6002637658036,60.173687145372526,600009,上海机场,bottom_area,2023-11-30,35.88,2023-10-23,34.36,4.423748544819567,10.593713620488943,29.777232781524628,True,-0.4992,0.3338,2,4,2,50.0,23.97760122344691,27.704918032786885,15.576251455180435,4.423748544819567,历史2/4次成功; 当前距低点4.42%; 最新日涨幅-0.50%; 状态bottom_area; 底部已确认
