rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.77538024773911,85.728972734663,688039,当虹科技,bottom_area,2025-10-16,52.0,2025-10-15,51.18,1.6021883548261044,3.7514654161781977,27.885021840214176,False,-1.6827,3.1703,7,7,7,100.0,27.644957976701654,79.31638913234006,6.397811645173896,1.6021883548261044,历史7/7次成功; 当前距低点1.60%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
2,84.49822837220876,81.53975383938842,605298,必得科技,bottom_area,2025-10-16,39.49,2025-10-13,38.66,2.146921883083304,7.682359027418537,28.007448789571704,True,-2.2767,1.2537,3,3,3,100.0,19.272772757087996,28.626692456479695,5.853078116916696,2.146921883083304,历史3/3次成功; 当前距低点2.15%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
3,84.05913467820776,79.04587581647824,300757,罗博特科,bottom_area,2025-10-16,219.57,2025-10-15,217.82,0.8034156643099807,4.021669268203112,28.031454437322417,False,-1.947,2.8599,8,8,8,100.0,21.7616318876613,74.11052233156698,7.196584335690019,0.8034156643099807,历史8/8次成功; 当前距低点0.80%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
4,82.44480455677251,78.90924320310386,600376,首开股份,bottom_area,2025-10-16,5.91,2025-10-16,5.81,1.7211703958692002,5.163511187607585,27.375000000000004,False,-3.2733,5.9725,3,3,3,100.0,19.319955406911923,24.99999999999999,6.2788296041308005,1.7211703958692002,历史3/3次成功; 当前距低点1.72%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
5,81.07866543148899,77.77442147311227,600706,曲江文旅,bottom_area,2025-10-16,9.98,2025-10-13,9.8,1.8367346938775482,4.59183673469387,31.420573827851634,False,-2.2527,4.8812,2,2,2,100.0,21.086970834156286,24.578313253012034,6.163265306122452,1.8367346938775482,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
6,80.28056882086338,77.13687722091659,301529,福赛科技,bottom_area,2025-10-16,66.25,2025-10-16,65.0,1.9230769230769231,3.5230769230769328,32.57261410788382,False,-1.6479,5.1573,2,2,2,100.0,18.717702180279424,29.400630914826507,6.076923076923077,1.9230769230769231,历史2/2次成功; 当前距低点1.92%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
7,79.080086637401,78.45516240010149,002269,美邦服饰,confirmed_rebound,2025-10-16,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-2.9412,4.2411,7,8,7,87.5,40.978680631241446,173.50993377483442,4.412556053811656,3.587443946188344,历史7/8次成功; 当前距低点3.59%; 最新日涨幅-2.94%; 状态confirmed_rebound; 底部已确认
8,78.8208040714907,74.31711018191712,000700,模塑科技,bottom_area,2025-10-16,9.65,2025-10-15,9.56,0.9414225941422579,3.451882845188285,27.24505327245053,False,-1.8311,1.8568,2,2,2,100.0,31.363191916997117,52.926829268292686,7.058577405857743,0.9414225941422579,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
9,77.68942346373562,77.13715743385896,002491,通鼎互联,bottom_area,2025-10-16,5.14,2025-10-13,4.96,3.6290322580645102,7.459677419354841,28.01161103047895,True,-1.7208,2.3207,2,2,2,100.0,30.437370872290508,52.39520958083833,4.37096774193549,3.6290322580645102,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
10,77.51263669232398,75.37100529303214,000096,广聚能源,bottom_area,2025-10-16,11.29,2025-09-23,11.01,2.5431425976385045,6.176203451407809,28.039215686274517,False,-0.878,0.6769,2,2,2,100.0,16.82457212713937,21.149144254278735,5.4568574023614955,2.5431425976385045,历史2/2次成功; 当前距低点2.54%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
11,77.43165363860254,73.28908333027289,688210,统联精密,confirmed_rebound,2025-10-16,48.73,2025-10-14,48.18,1.1415525114155192,17.185554171855543,27.0,True,-4.638,4.3039,1,1,1,100.0,16.353887399463808,16.353887399463808,6.85844748858448,1.1415525114155192,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-4.64%; 状态confirmed_rebound; 底部已确认
