rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.6500205978581,76.33789662729771,300382,斯莱克,bottom_area,2023-03-07,15.98,2023-03-07,15.9,0.5031446540880508,4.213836477987421,27.79291553133515,False,-3.2102,1.5612,3,3,3,100.0,30.403583003325068,49.70059880239522,7.49685534591195,0.5031446540880508,历史3/3次成功; 当前距低点0.50%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
2,78.63830741978678,75.73026523477155,002812,恩捷股份,bottom_area,2023-03-07,114.5,2023-03-06,112.21,2.040816326530618,4.375724088762152,31.96095076400679,False,-2.0447,1.2943,2,2,2,100.0,12.59852935086754,16.39800995024876,5.959183673469382,2.040816326530618,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
3,75.70474719466385,70.62184319903744,300473,德尔股份,bottom_area,2023-03-07,18.14,2023-03-07,18.07,0.38738240177089256,3.6524626452684013,27.137096774193548,False,-2.4207,3.815,1,1,1,100.0,21.37137137137137,21.37137137137137,7.612617598229107,0.38738240177089256,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
4,74.84584225656816,70.09898205445543,002855,捷荣技术,bottom_area,2023-03-07,10.16,2023-02-27,10.1,0.594059405940599,3.861386138613867,31.710615280594993,False,-2.4952,2.1623,1,1,1,100.0,21.093749999999993,21.093749999999993,7.405940594059402,0.594059405940599,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
5,74.14617770508582,71.6610513375985,603318,水发燃气,confirmed_rebound,2023-03-07,8.72,2022-12-30,8.53,2.227432590855818,9.613130128956628,30.819140308191407,True,-2.3516,2.9146,1,1,1,100.0,10.696761530912658,10.696761530912658,5.772567409144182,2.227432590855818,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-2.35%; 状态confirmed_rebound; 底部已确认
6,73.14639874682987,73.41077194483054,000419,通程控股,bottom_area,2023-03-07,6.22,2023-02-16,5.97,4.1876046901172534,7.035175879396983,30.093676814988285,True,-2.2013,2.7332,2,2,2,100.0,17.250057195149854,24.82269503546099,3.812395309882747,4.1876046901172534,历史2/2次成功; 当前距低点4.19%; 最新日涨幅-2.20%; 状态bottom_area; 底部已确认
7,72.96765314318795,68.13651592103197,002767,先锋电子,bottom_area,2023-03-07,13.72,2023-02-27,13.66,0.4392386530014678,3.8067349926793526,28.067403896787773,False,-2.9016,2.7136,1,1,1,100.0,8.645054031587705,8.645054031587705,7.5607613469985315,0.4392386530014678,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
8,72.85340007268552,67.49497224669565,688234,天岳先进,bottom_area,2023-03-07,68.2,2023-03-07,68.18,0.029334115576409532,4.106776180698148,27.375372816361303,False,-3.9437,2.4375,1,1,1,100.0,10.386311990375614,10.386311990375614,7.970665884423591,0.029334115576409532,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-3.94%; 状态bottom_area; 底部未确认
9,68.3507092133517,69.50408977431242,000650,仁和药业,confirmed_rebound,2023-03-07,6.46,2023-01-12,6.16,4.870129870129867,9.740259740259734,27.444051825677267,True,-2.2693,2.6167,2,2,2,100.0,14.827881065637138,17.19038817005545,3.1298701298701332,4.870129870129867,历史2/2次成功; 当前距低点4.87%; 最新日涨幅-2.27%; 状态confirmed_rebound; 底部已确认
10,64.81613339236421,65.78911078313807,002144,宏达高科,confirmed_rebound,2023-03-07,11.63,2023-01-20,11.1,4.774774774774785,10.360360360360364,28.34086507424145,True,-2.1867,2.8155,1,1,1,100.0,10.352673492605236,10.352673492605236,3.225225225225216,4.774774774774785,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-2.19%; 状态confirmed_rebound; 底部已确认
11,62.59399162529569,63.5415628932967,002403,爱仕达,confirmed_rebound,2023-03-07,10.3,2023-02-16,9.83,4.781281790437443,11.190233977619528,29.78571428571429,True,-5.6777,6.3381,1,1,1,100.0,8.563899868247699,8.563899868247699,3.2187182095625566,4.781281790437443,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-5.68%; 状态confirmed_rebound; 底部已确认
12,60.096249840640745,60.7165831236389,002589,瑞康医药,confirmed_rebound,2023-03-07,4.15,2023-01-31,3.97,4.53400503778338,12.090680100755666,27.55474452554745,True,-2.8103,2.2413,2,3,2,66.66666666666666,19.018537328593187,28.49162011173183,3.4659949622166204,4.53400503778338,历史2/3次成功; 当前距低点4.53%; 最新日涨幅-2.81%; 状态confirmed_rebound; 底部已确认
