rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.99183409313919,81.48123161331993,605033,美邦股份,bottom_area,2025-08-06,21.32,2025-08-04,20.99,1.5721772272510808,1.8103858980467014,32.50803858520901,False,0.0939,2.1143,1,1,1,100.0,31.96664350243223,31.96664350243223,13.427822772748918,1.5721772272510808,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
2,90.92059169213383,80.80939910935942,001226,拓山重工,bottom_area,2025-08-06,36.3,2025-08-06,35.88,1.1705685618728945,1.6722408026755693,31.02652825836217,False,0.1656,5.4205,3,4,3,75.0,27.598362529191544,41.451766953199616,13.829431438127104,1.1705685618728945,历史3/4次成功; 当前距低点1.17%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
3,90.41251286797917,80.94072580561946,002987,京北方,bottom_area,2025-08-06,20.21,2025-08-04,19.9,1.5577889447236295,2.41206030150754,28.158844765342966,False,0.1487,2.4531,1,1,1,100.0,28.88432580424366,28.88432580424366,13.44221105527637,1.5577889447236295,历史1/1次成功; 当前距低点1.56%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
4,89.29686322991083,81.59692013991318,002636,金安国纪,bottom_area,2025-08-06,11.98,2025-07-25,11.67,2.6563838903170565,7.112253641816624,29.698795180722897,True,-0.0834,2.0328,2,2,2,100.0,42.49180327868853,69.0,12.343616109682943,2.6563838903170565,历史2/2次成功; 当前距低点2.66%; 最新日涨幅-0.08%; 状态bottom_area; 底部已确认
5,82.22348802874534,74.83515261189527,600620,天宸股份,bottom_area,2025-08-06,6.29,2025-08-04,6.14,2.4429967426710157,3.094462540716619,27.078384798099762,False,-0.1587,1.2725,1,1,1,100.0,29.38271604938273,29.38271604938273,12.557003257328983,2.4429967426710157,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
6,81.28644700286742,73.07777345180429,002658,雪迪龙,bottom_area,2025-08-06,7.99,2025-08-01,7.85,1.783439490445867,2.292993630573245,31.50087260034905,False,0.1253,2.6359,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,13.216560509554132,1.783439490445867,历史2/3次成功; 当前距低点1.78%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
7,81.0574945292588,75.00842777334398,603511,爱慕股份,bottom_area,2025-08-06,15.5,2025-08-04,15.0,3.3333333333333335,3.9333333333333322,29.906542056074763,False,0.1939,1.1719,1,1,1,100.0,18.754988028731056,18.754988028731056,11.666666666666666,3.3333333333333335,历史1/1次成功; 当前距低点3.33%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
8,80.02955868719093,73.74753634787248,603928,兴业股份,bottom_area,2025-08-06,15.59,2025-08-01,15.12,3.108465608465613,4.828042328042331,32.16689098250337,False,-0.2559,3.3214,1,1,1,100.0,31.69267707082834,31.69267707082834,11.891534391534385,3.108465608465613,历史1/1次成功; 当前距低点3.11%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,76.19597716597556,68.69062280098385,000607,华媒控股,bottom_area,2025-08-06,4.75,2025-07-31,4.66,1.9313304721030013,3.433476394849788,29.924812030075188,False,-0.6276,2.5687,2,4,2,50.0,48.408904717089726,59.82721382289418,13.068669527896997,1.9313304721030013,历史2/4次成功; 当前距低点1.93%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
10,75.41985705572921,67.95956268603238,300651,金陵体育,bottom_area,2025-08-06,21.38,2025-08-04,20.98,1.9065776930409846,4.814108674928494,29.949916527545906,False,-1.6559,11.9329,3,5,3,60.0,22.508386162181807,25.720461095100855,13.093422306959015,1.9065776930409846,历史3/5次成功; 当前距低点1.91%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
11,74.66325119284414,69.81507994501676,300963,中洲特材,bottom_area,2025-08-06,19.75,2025-08-01,19.01,3.8926880589163515,6.049447659126767,27.93783169067475,False,-0.7538,5.3807,1,1,1,100.0,20.163487738419626,20.163487738419626,11.107311941083648,3.8926880589163515,历史1/1次成功; 当前距低点3.89%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
