rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.35530736799593,83.11700711527638,300363,博腾股份,bottom_area,2023-06-14,29.66,2023-06-08,29.29,1.2632297712529907,4.335950836462955,29.77703188683769,False,0.0,0.9534,1,1,1,100.0,36.97403760071621,36.97403760071621,13.736770228747009,1.2632297712529907,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,89.05517325080724,79.16950215305584,300753,爱朋医疗,bottom_area,2023-06-14,18.82,2023-06-06,18.6,1.182795698924725,7.526881720430099,32.017543859649116,True,-1.466,12.8544,1,1,1,100.0,28.044496487119456,28.044496487119456,13.817204301075275,1.182795698924725,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-1.47%; 状态bottom_area; 底部已确认
3,87.2390132743745,79.9542454245984,600955,维远股份,bottom_area,2023-06-14,18.62,2023-06-12,18.11,2.8161236885698595,4.0861402540033245,28.924646781789644,False,0.6486,0.2981,2,2,2,100.0,22.33874964805201,25.969084423305596,12.18387631143014,2.8161236885698595,历史2/2次成功; 当前距低点2.82%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
4,86.72252141308442,77.13557055561964,600995,南网储能,bottom_area,2023-06-14,10.87,2023-06-07,10.74,1.2104283054003633,3.910614525139664,32.7909887359199,False,-1.0018,0.8325,1,1,1,100.0,26.64165103189493,26.64165103189493,13.789571694599637,1.2104283054003633,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
5,86.19459468368895,77.11995353468303,000723,美锦能源,bottom_area,2023-06-14,6.65,2023-06-14,6.55,1.5267175572519165,3.0534351145038197,30.907172995780595,False,-1.4815,1.2488,1,1,1,100.0,30.434782608695667,30.434782608695667,13.473282442748083,1.5267175572519165,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
6,86.03960716946138,76.65765848245252,688289,圣湘生物,bottom_area,2023-06-14,17.13,2023-06-12,16.91,1.3010053222944935,2.069781194559441,31.399594320486813,False,-0.1166,0.4585,1,1,1,100.0,25.182530200451346,25.182530200451346,13.698994677705507,1.3010053222944935,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
7,85.17563411199255,77.74727093471586,688075,安旭生物,bottom_area,2023-06-14,66.33,2023-05-10,64.65,2.598607888631079,7.764887857695276,30.37906525953047,True,-0.4204,0.788,4,5,4,80.0,31.086542584917854,40.134529147982065,12.40139211136892,2.598607888631079,历史4/5次成功; 当前距低点2.60%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
8,84.14047998105363,77.75200458261362,300762,上海瀚讯,bottom_area,2023-06-14,11.41,2023-06-14,11.05,3.2579185520361937,5.158371040723968,29.974651457541185,False,1.966,2.1483,1,1,1,100.0,32.580961727183514,32.580961727183514,11.742081447963807,3.2579185520361937,历史1/1次成功; 当前距低点3.26%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
9,83.12446784605035,75.925733830955,000657,中钨高新,bottom_area,2023-06-14,9.35,2023-06-14,9.11,2.6344676180021978,4.500548847420419,27.294493216280923,False,1.41,0.7835,1,1,1,100.0,15.120000000000006,15.120000000000006,12.365532381997802,2.6344676180021978,历史1/1次成功; 当前距低点2.63%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
10,82.78496257155815,76.18128404428764,002041,登海种业,bottom_area,2023-06-14,15.62,2023-06-07,15.16,3.034300791556722,3.8918205804749335,28.49056603773585,False,1.2314,0.4407,1,1,1,100.0,21.395106715252467,21.395106715252467,11.965699208443278,3.034300791556722,历史1/1次成功; 当前距低点3.03%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
11,82.75323828249108,78.5957348801192,600009,上海机场,bottom_area,2023-06-14,46.94,2023-06-06,44.82,4.730031236055327,6.046407853636771,29.83719474013776,False,0.2777,0.4829,3,3,3,100.0,21.829065044759854,27.704918032786885,10.269968763944673,4.730031236055327,历史3/3次成功; 当前距低点4.73%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
