rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.07582223400563,80.56857779805647,688160,步科股份,bottom_area,2022-08-29,40.48,2022-08-26,39.87,1.5299724103335828,5.818911462252322,32.02046035805627,False,0.7466,4.3161,1,1,1,100.0,26.542553191489354,26.542553191489354,8.470027589666419,1.5299724103335828,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,85.30610551600843,79.865549132948,002110,三钢闽光,bottom_area,2022-08-29,5.27,2022-08-29,5.19,1.5414258188824506,1.7341040462427717,30.14804845222072,False,0.381,0.4318,1,1,1,100.0,22.90322580645161,22.90322580645161,8.458574181117552,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,85.1670649887648,82.01195536822911,002536,飞龙股份,bottom_area,2022-08-29,7.85,2022-08-29,7.62,3.0183727034120675,4.724409448818902,27.081339712918655,False,0.1276,3.7419,2,2,2,100.0,35.88088780649803,55.505617977528075,6.981627296587933,3.0183727034120675,历史2/2次成功; 当前距低点3.02%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,83.98063476045667,79.42408946877913,603289,泰瑞机器,bottom_area,2022-08-29,11.33,2022-08-29,11.1,2.0720720720720758,4.954954954954961,28.617363344051455,False,0.0,1.8484,1,1,1,100.0,27.034482758620705,27.034482758620705,7.927927927927925,2.0720720720720758,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,81.17534209864006,76.9081786386871,000547,航天发展,bottom_area,2022-08-29,10.85,2022-08-29,10.62,2.1657250470809837,2.91902071563089,30.13157894736842,False,0.1847,2.2374,1,1,1,100.0,14.656084656084673,14.656084656084673,7.834274952919016,2.1657250470809837,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
6,80.2467585117367,76.50866397070239,002119,康强电子,bottom_area,2022-08-29,13.14,2022-08-29,12.82,2.496099843993762,3.1981279251170056,29.48294829482948,False,0.9992,4.8247,1,1,1,100.0,16.557911908646,16.557911908646,7.503900156006238,2.496099843993762,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
7,80.23798774294349,76.838073008073,000761,本钢板材,bottom_area,2022-08-29,3.39,2022-07-15,3.3,2.7272727272727364,8.484848484848492,31.818181818181817,True,0.0,0.1176,1,1,1,100.0,11.969111969111971,11.969111969111971,7.2727272727272645,2.7272727272727364,历史1/1次成功; 当前距低点2.73%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,80.05331954014059,76.23525033491575,688083,中望软件,bottom_area,2022-08-29,181.32,2022-08-29,177.01,2.43489068414214,3.830292073894131,31.64845348882111,False,-0.4174,1.0035,2,2,2,100.0,20.144091907310933,21.52777777777778,7.5651093158578595,2.43489068414214,历史2/2次成功; 当前距低点2.43%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
9,79.64354981622809,77.29769924221075,601606,长城军工,bottom_area,2022-08-29,12.06,2022-08-29,11.66,3.430531732418528,4.030874785591773,27.033792240300375,False,1.0897,1.7139,2,2,2,100.0,15.587696731854795,18.886462882096076,6.569468267581473,3.430531732418528,历史2/2次成功; 当前距低点3.43%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
10,78.77322136188569,75.43537299909393,000561,烽火电子,bottom_area,2022-08-29,7.91,2022-08-29,7.7,2.7272727272727266,3.506493506493501,31.978798586572438,False,0.0,1.6965,1,1,1,100.0,13.621262458471767,13.621262458471767,7.272727272727273,2.7272727272727266,历史1/1次成功; 当前距低点2.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,78.10928254816506,71.64836023890263,688155,先惠技术,confirmed_rebound,2022-08-29,85.5,2022-08-29,85.1,0.47003525264395507,10.775558166862517,28.270397842211736,False,-9.7911,8.1194,2,2,2,100.0,31.66688502650995,38.11460912628228,9.529964747356045,0.47003525264395507,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-9.79%; 状态confirmed_rebound; 底部未确认
