rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.49271614501099,78.94568116939314,000572,海马汽车,bottom_area,2025-10-27,5.72,2025-10-23,5.57,2.6929982046678536,8.438061041292634,28.129032258064512,False,0.8818,6.4571,5,6,5,83.33333333333334,18.1848588317339,30.592105263157897,7.307001795332146,2.6929982046678536,历史5/6次成功; 当前距低点2.69%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
2,78.38403465551797,77.89820601418216,002674,兴业科技,bottom_area,2025-10-27,14.11,2025-10-20,13.48,4.673590504451031,6.824925816023739,27.52688172043011,False,0.4986,1.4687,2,2,2,100.0,34.05372238887374,36.52849740932641,5.326409495548969,4.673590504451031,历史2/2次成功; 当前距低点4.67%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
3,76.64722411828397,76.31361269665923,300563,神宇股份,bottom_area,2025-10-27,38.43,2025-10-23,36.68,4.770992366412214,6.27044711014176,28.776699029126213,False,-0.5692,4.6924,4,4,4,100.0,15.86814673160799,20.477137176938378,5.229007633587787,4.770992366412214,历史4/4次成功; 当前距低点4.77%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
4,76.26472752295284,75.56182680845558,603305,旭升集团,bottom_area,2025-10-27,15.05,2025-10-23,14.4,4.513888888888892,5.13888888888889,29.064039408867,False,1.3468,3.4617,5,6,5,83.33333333333334,22.312688934349005,32.41061130334487,5.486111111111108,4.513888888888892,历史5/6次成功; 当前距低点4.51%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
5,75.83385684195665,69.20229730715882,301498,乖宝宠物,bottom_area,2025-10-27,70.48,2025-10-27,70.34,0.19903326698891183,3.113448962183676,30.733628754308217,False,-2.0431,3.5667,1,1,1,100.0,11.430608365019017,11.430608365019017,9.800966733011089,0.19903326698891183,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
6,75.45209209966433,74.70314030737954,300141,和顺电气,bottom_area,2025-10-27,11.67,2025-10-23,11.17,4.476275738585497,6.266786034019689,27.935483870967744,False,1.3021,8.8565,1,1,1,100.0,31.123919308357333,31.123919308357333,5.523724261414503,4.476275738585497,历史1/1次成功; 当前距低点4.48%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
7,75.3243302377738,74.40054128202752,605488,福莱新材,bottom_area,2025-10-27,31.41,2025-10-23,30.1,4.352159468438534,5.780730897009962,27.64423076923077,False,0.512,2.1722,1,1,1,100.0,27.975617581007374,27.975617581007374,5.647840531561467,4.352159468438534,历史1/1次成功; 当前距低点4.35%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
8,73.33619418858845,73.2422938119065,002269,美邦服饰,bottom_area,2025-10-27,2.34,2025-10-13,2.23,4.932735426008963,8.520179372197308,30.529595015576323,True,-1.6807,4.442,6,8,6,75.0,46.3114547484244,173.50993377483442,5.067264573991038,4.932735426008963,历史6/8次成功; 当前距低点4.93%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
9,69.23491298038635,67.00152869069647,002123,梦网科技,bottom_area,2025-10-27,12.6,2025-10-17,12.2,3.2786885245901667,4.0983606557377055,29.68299711815563,False,-0.1585,1.819,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,6.721311475409833,3.2786885245901667,历史2/3次成功; 当前距低点3.28%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
10,67.98759706780287,63.62167028116574,688036,传音控股,bottom_area,2025-10-27,74.96,2025-10-23,73.84,1.5167930660888276,5.647345612134346,29.609151572926596,False,-2.2048,1.337,2,4,2,50.0,16.075045547571314,19.148936170212753,8.483206933911173,1.5167930660888276,历史2/4次成功; 当前距低点1.52%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
11,66.12834210879986,64.18675002615805,002617,露笑科技,bottom_area,2025-10-27,8.43,2025-10-23,8.15,3.4355828220858817,4.907975460122704,30.341880341880334,False,0.1188,4.0513,3,6,3,50.0,20.160639035020765,36.60589060308556,6.56441717791412,3.4355828220858817,历史3/6次成功; 当前距低点3.44%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
12,65.18294290164425,61.87646232086203,300459,汤姆猫,bottom_area,2025-10-27,4.51,2025-10-17,4.41,2.2675736961451167,4.988662131519268,29.326923076923077,False,-1.7429,3.0013,3,6,3,50.0,15.895324452004822,19.047619047619044,7.732426303854884,2.2675736961451167,历史3/6次成功; 当前距低点2.27%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
13,63.3657272020398,60.846108607711635,002453,华软科技,bottom_area,2025-10-27,6.81,2025-10-23,6.62,2.87009063444108,6.495468277945616,32.17213114754098,False,1.6418,8.3292,1,2,1,50.0,28.60169491525425,28.60169491525425,7.1299093655589205,2.87009063444108,历史1/2次成功; 当前距低点2.87%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
