rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.809422820331,80.67747246435668,002843,泰嘉股份,bottom_area,2023-04-25,15.06,2023-04-25,14.89,1.1417058428475482,5.1712558764271295,30.9369202226345,False,-2.776,1.1177,2,2,2,100.0,28.175063365855337,31.56626506024095,18.858294157152454,1.1417058428475482,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
2,93.23061090429913,79.77603524954702,000935,四川双马,bottom_area,2023-04-25,18.95,2023-04-25,18.68,1.4453961456102762,4.014989293361884,30.609212481426457,False,-1.8643,0.5297,1,1,1,100.0,43.71794871794874,43.71794871794874,18.554603854389725,1.4453961456102762,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
3,92.04326154634825,78.75108719507047,001210,金房能源,bottom_area,2023-04-25,21.85,2023-04-24,21.54,1.4391829155060458,4.2711234911792095,27.180527383367135,False,-2.1057,0.8571,1,1,1,100.0,38.131313131313135,38.131313131313135,18.560817084493955,1.4391829155060458,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
4,91.54597720450548,78.87265230627214,300607,拓斯达,bottom_area,2023-04-25,11.75,2023-04-25,11.54,1.819757365684583,19.324090121317163,30.565583634175702,False,-18.516,10.6508,2,2,2,100.0,36.99838225824183,45.9265890778872,18.18024263431542,1.819757365684583,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-18.52%; 状态bottom_area; 底部未确认
5,90.70410784414341,77.81585659551178,002795,永和智控,bottom_area,2023-04-25,10.24,2023-04-25,10.08,1.5873015873015885,5.952380952380949,28.763250883392228,False,-3.4873,2.8321,2,2,2,100.0,28.467226959996715,31.302270011947446,18.412698412698415,1.5873015873015885,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
6,89.3691915090704,76.28809213689406,002385,大北农,bottom_area,2023-04-25,6.94,2023-04-25,6.85,1.3138686131386972,3.211678832116798,30.73811931243681,False,-0.8571,1.3434,1,1,1,100.0,23.353293413173663,23.353293413173663,18.686131386861305,1.3138686131386972,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
7,87.33077324954664,74.35077940497956,300353,东土科技,bottom_area,2023-04-25,11.25,2023-04-25,11.12,1.169064748201446,9.98201438848922,28.25806451612904,False,-9.6386,7.7442,1,1,1,100.0,21.377672209026137,21.377672209026137,18.830935251798557,1.169064748201446,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-9.64%; 状态bottom_area; 底部未确认
8,86.52903225806452,76.64,605133,嵘泰股份,bottom_area,2023-04-25,28.21,2023-04-25,27.3,3.333333333333334,5.3113553113553085,28.79499217527387,False,-2.2184,7.0609,1,1,1,100.0,60.01483679525222,60.01483679525222,16.666666666666668,3.333333333333334,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
9,86.35740224692489,74.56848055861113,688213,思特威,bottom_area,2023-04-25,52.5,2023-04-25,51.5,1.9417475728155338,8.34951456310679,28.91649413388544,False,-5.2347,4.7972,1,1,1,100.0,32.01970443349754,32.01970443349754,18.058252427184467,1.9417475728155338,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
10,86.00013404624042,73.68297929792978,300510,金冠股份,bottom_area,2023-04-25,4.69,2023-04-25,4.62,1.5151515151515214,6.49350649350649,28.593508500772792,False,-3.6961,2.3582,1,1,1,100.0,22.02970297029702,22.02970297029702,18.484848484848477,1.5151515151515214,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
11,85.26333991411211,73.78558261798166,600319,亚星化学,bottom_area,2023-04-25,4.95,2023-04-25,4.85,2.0618556701031037,5.567010309278361,28.4660766961652,False,-3.1311,1.5052,1,1,1,100.0,29.282868525896426,29.282868525896426,17.9381443298969,2.0618556701031037,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
12,84.32696291176013,73.64280808272461,002077,大港股份,bottom_area,2023-04-25,13.62,2023-04-25,13.28,2.560240963855421,5.7228915662650595,27.786840674279507,False,-2.8531,3.6657,1,1,1,100.0,24.40944881889765,24.40944881889765,17.43975903614458,2.560240963855421,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
13,83.9455515760329,73.24084466596995,300661,圣邦股份,bottom_area,2023-04-25,122.58,2023-04-25,119.58,2.508780732563974,6.514467302224459,30.20079383609619,False,-4.122,2.5336,1,1,1,100.0,31.832606108687024,31.832606108687024,17.491219267436026,2.508780732563974,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
14,83.77342584683498,70.12552429667521,000629,钒钛股份,bottom_area,2023-04-25,4.09,2023-04-25,4.08,0.24509803921568107,9.803921568627459,31.08108108108108,False,-9.713,2.5158,1,1,1,100.0,27.173913043478265,27.173913043478265,19.75490196078432,0.24509803921568107,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-9.71%; 状态bottom_area; 底部未确认
15,82.5815421686747,68.81795180722892,002026,山东威达,bottom_area,2023-04-25,8.37,2023-04-25,8.37,0.0,3.942652329749105,28.947368421052634,False,-10.0,2.015,1,1,1,100.0,29.397590361445776,29.397590361445776,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
16,82.42026710887093,71.83924298401077,300530,领湃科技,bottom_area,2023-04-25,22.12,2023-04-25,21.59,2.4548402037980597,6.947660954145437,32.6365054602184,False,-4.9828,0.6324,3,4,3,75.0,27.802573379948058,34.07510431154381,17.545159796201943,2.4548402037980597,历史3/4次成功; 当前距低点2.45%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
17,79.2730878410222,68.2968141399576,002172,澳洋健康,bottom_area,2023-04-25,3.36,2023-04-25,3.3,1.81818181818182,4.242424242424246,27.947598253275114,False,-2.0408,1.4017,2,3,2,66.66666666666666,25.46022590723384,29.824561403508774,18.181818181818183,1.81818181818182,历史2/3次成功; 当前距低点1.82%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
18,78.51252891563327,70.35745972073042,603363,傲农生物,bottom_area,2023-04-25,9.68,2023-04-25,9.31,3.9742212674543413,7.841031149301811,29.576399394856278,False,-1.3252,3.2926,1,1,1,100.0,24.078947368421055,24.078947368421055,16.02577873254566,3.9742212674543413,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
19,77.87309066298786,67.37284174836047,000980,众泰汽车,bottom_area,2023-04-25,2.99,2023-04-25,2.93,2.047781569965872,4.778156996587019,31.542056074766357,False,-3.2362,2.0425,2,3,2,66.66666666666666,33.52213473772031,43.49775784753364,17.95221843003413,2.047781569965872,历史2/3次成功; 当前距低点2.05%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
20,73.68960102746877,63.33746543778801,002363,隆基机械,bottom_area,2023-04-25,6.62,2023-04-25,6.51,1.6897081413210495,4.454685099846391,28.774617067833702,False,-2.6471,1.4247,1,2,1,50.0,54.96828752642705,54.96828752642705,18.31029185867895,1.6897081413210495,历史1/2次成功; 当前距低点1.69%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
21,73.36917214313196,63.1546017699115,002753,永东股份,bottom_area,2023-04-25,6.9,2023-04-25,6.78,1.7699115044247802,5.604719764011798,29.521829521829513,False,-2.4045,1.2748,1,2,1,50.0,69.36936936936937,69.36936936936937,18.23008849557522,1.7699115044247802,历史1/2次成功; 当前距低点1.77%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
22,72.03083642410944,62.38589977220956,688272,富吉瑞,bottom_area,2023-04-25,17.93,2023-04-25,17.56,2.1070615034168623,4.2141230068337245,28.79156528791566,False,-0.3335,3.3337,1,2,1,50.0,58.95303326810176,58.95303326810176,17.892938496583138,2.1070615034168623,历史1/2次成功; 当前距低点2.11%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
23,71.88295040211314,61.10312748284581,601369,陕鼓动力,bottom_area,2023-04-25,9.33,2023-04-25,9.23,1.0834236186348825,4.658721560130007,30.964846671652946,False,-2.4059,0.8258,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,18.916576381365118,1.0834236186348825,历史1/3次成功; 当前距低点1.08%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
24,70.67761221201084,60.9745425867508,000957,中通客车,bottom_area,2023-04-25,9.69,2023-04-25,9.51,1.892744479495265,5.152471083070455,29.39866369710468,False,-3.1,2.3843,1,2,1,50.0,354.54545454545456,354.54545454545456,18.107255520504737,1.892744479495265,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
25,70.48167040801862,60.585963101448655,603158,腾龙股份,bottom_area,2023-04-25,6.6,2023-04-25,6.49,1.6949152542372794,5.392912172573184,27.647714604236345,False,-2.7982,1.4875,1,2,1,50.0,35.270805812417436,35.270805812417436,18.305084745762723,1.6949152542372794,历史1/2次成功; 当前距低点1.69%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
26,70.08692041691519,60.0074293203418,300454,深信服,bottom_area,2023-04-25,122.95,2023-04-24,121.16,1.4773852756685426,4.291845493562234,27.665671641791047,False,-0.3566,1.3883,1,2,1,50.0,29.49391262831224,29.49391262831224,18.52261472433146,1.4773852756685426,历史1/2次成功; 当前距低点1.48%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
