rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.2648474911275,78.67923965080259,002708,光洋股份,bottom_area,2023-03-29,6.44,2023-03-20,6.36,1.2578616352201268,6.132075471698108,31.759656652360512,False,-1.0753,1.1658,1,1,1,100.0,35.522388059701484,35.522388059701484,18.742138364779876,1.2578616352201268,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
2,82.7086972395117,69.78253617603195,300382,斯莱克,bottom_area,2023-03-29,14.9,2023-03-28,14.8,0.6756756756756733,3.783783783783775,32.788374205267935,False,0.1344,1.3493,2,3,2,66.66666666666666,36.80865618228933,49.70059880239522,19.324324324324326,0.6756756756756733,历史2/3次成功; 当前距低点0.68%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,77.7902787416988,68.45653061224488,605117,德业股份,bottom_area,2023-03-29,252.3,2023-03-24,245.0,2.9795918367346985,7.591836734693887,28.913390396053963,True,0.2782,2.4402,2,5,2,40.0,51.93428382351709,59.18895599654874,17.0204081632653,2.9795918367346985,历史2/5次成功; 当前距低点2.98%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
4,74.5251586713985,65.98941109707881,600418,江淮汽车,bottom_area,2023-03-29,13.39,2023-03-20,12.96,3.3179012345678984,10.339506172839505,27.55729457797652,True,-2.2628,2.8277,2,3,2,66.66666666666666,22.244942178639526,24.365079365079367,16.6820987654321,3.3179012345678984,历史2/3次成功; 当前距低点3.32%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
5,73.93766082306804,66.06660746251495,300681,英搏尔,bottom_area,2023-03-29,31.56,2023-03-20,30.4,3.8157894736842115,8.190789473684218,31.22171945701358,True,0.0951,1.9929,2,4,2,50.0,25.734448723198668,27.487589035182385,16.18421052631579,3.8157894736842115,历史2/4次成功; 当前距低点3.82%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
6,72.6647967097633,64.89494275310747,300393,中来股份,bottom_area,2023-03-29,14.8,2023-03-20,14.26,3.7868162692847194,7.8541374474053365,27.61421319796954,True,-1.0695,2.3459,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,16.21318373071528,3.7868162692847194,历史2/3次成功; 当前距低点3.79%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
7,68.91292114354295,59.59079653679655,002660,茂硕电源,bottom_area,2023-03-29,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,-0.9804,1.8627,1,2,1,50.0,24.71428571428572,24.71428571428572,17.979797979797986,2.020202020202017,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
8,68.09259177620137,58.85112591055892,002347,泰尔股份,bottom_area,2023-03-29,5.12,2023-03-20,5.02,1.9920318725099708,6.175298804780887,29.09604519774012,False,-0.9671,2.2641,1,2,1,50.0,29.585798816568047,29.585798816568047,18.00796812749003,1.9920318725099708,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
9,67.75547566235049,56.88471097941912,300699,光威复材,bottom_area,2023-03-29,51.92,2023-03-29,51.71,0.4061110036743393,5.182749951653451,29.41577941577942,False,-4.5588,3.6385,1,2,1,50.0,49.6271186440678,49.6271186440678,19.593888996325663,0.4061110036743393,历史1/2次成功; 当前距低点0.41%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
10,64.69835624400895,57.33355776666498,605333,沪光股份,bottom_area,2023-03-29,18.45,2023-03-20,17.85,3.361344537815114,8.403361344537814,30.409356725146193,True,-0.3241,2.3605,1,2,1,50.0,29.01840490797546,29.01840490797546,16.638655462184886,3.361344537815114,历史1/2次成功; 当前距低点3.36%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
11,60.69229337686337,54.04815689261232,000887,中鼎股份,bottom_area,2023-03-29,12.56,2023-03-20,12.12,3.630363036303641,6.600660066006607,28.45336481700119,False,-0.6329,1.3526,1,2,1,50.0,23.84615384615385,23.84615384615385,16.36963696369636,3.630363036303641,历史1/2次成功; 当前距低点3.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
