rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.48868947809572,84.02744450063192,300986,志特新材,bottom_area,2026-03-04,27.6,39.56,2026-03-04,27.25,1.2844036697247758,5.761467889908258,31.117290192113252,30.23255813953488,False,-1.7444,5.367,2,2,2,100.0,47.93486487959358,54.76987447698747,18.715596330275226,1.2844036697247758,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
2,97.01739715044673,83.07671852899574,300063,天龙集团,bottom_area,2026-03-04,12.3,16.81,2026-03-04,12.12,1.4851485148514976,2.9702970297029805,27.90005948839976,26.82926829268292,False,0.4902,6.9729,1,1,1,100.0,39.47772657450077,39.47772657450077,18.514851485148505,1.4851485148514976,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,94.45479367248566,80.87113456464378,300781,因赛集团,bottom_area,2026-03-04,38.46,53.22,2026-03-04,37.9,1.4775725593667606,3.0343007915567246,28.786170612551675,27.73393461104848,False,-0.026,3.8766,1,1,1,100.0,75.49457562220803,75.49457562220803,18.52242744063324,1.4775725593667606,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
4,92.70090751730119,79.73222368126449,300921,南凌科技,bottom_area,2026-03-04,25.33,34.5,2026-03-04,24.9,1.7269076305220874,3.413654618473901,27.826086956521745,26.579710144927542,False,0.2374,6.7276,1,1,1,100.0,24.460070316423913,24.460070316423913,18.273092369477915,1.7269076305220874,历史1/1次成功; 当前距低点1.73%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
5,91.23390186938867,76.31763244610624,300077,国民技术,bottom_area,2026-03-04,19.34,27.8,2026-03-04,19.3,0.20725388601035827,2.797927461139892,30.575539568345324,30.431654676258997,False,-1.3265,3.6681,1,1,1,100.0,49.78586723768737,49.78586723768737,19.792746113989644,0.20725388601035827,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
6,89.70105901501944,76.53571740970936,002739,儒意电影,bottom_area,2026-03-04,10.22,13.87,2026-03-04,10.09,1.2884043607532287,2.279484638255703,27.253064167267482,26.315789473684205,False,-0.3899,2.0526,1,1,1,100.0,24.37246963562753,24.37246963562753,18.711595639246774,1.2884043607532287,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
7,89.64482129565303,74.94570721555698,300879,大叶股份,bottom_area,2026-03-04,22.74,31.32,2026-03-04,22.7,0.17621145374448965,2.731277533039652,27.522349936143044,27.394636015325673,False,-1.3877,1.4063,2,2,2,100.0,25.362738333840962,29.057924888605967,19.82378854625551,0.17621145374448965,历史2/2次成功; 当前距低点0.18%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
8,88.03810704532756,74.65716049382718,301283,聚胶股份,bottom_area,2026-03-04,46.61,63.52,2026-03-04,46.17,0.9529997834091352,3.6603855317305563,27.314231738035268,26.621536523929475,False,-0.5335,2.1564,1,1,1,100.0,73.6405529953917,73.6405529953917,19.047000216590863,0.9529997834091352,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
9,86.86383953644399,73.4797849320491,001206,依依股份,bottom_area,2026-03-04,22.18,31.9,2026-03-04,22.0,0.8181818181818169,2.318181818181825,31.034482758620683,30.470219435736674,False,-1.0263,2.7382,1,1,1,100.0,42.01741654571844,42.01741654571844,19.181818181818183,0.8181818181818169,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
10,86.8433043258225,74.08684484038605,300725,药石科技,bottom_area,2026-03-04,36.38,51.15,2026-03-04,35.92,1.2806236080178195,2.7282850779509933,29.775171065493637,28.875855327468226,False,-0.8449,3.6915,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,18.71937639198218,1.2806236080178195,历史2/3次成功; 当前距低点1.28%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
11,86.80039754028599,72.87901781141217,688317,之江生物,bottom_area,2026-03-04,19.6,28.58,2026-03-04,19.52,0.40983606557377994,1.9467213114754047,31.700489853044083,31.420573827851634,False,-1.11,1.2474,3,4,3,75.0,37.948623875916084,40.461049284578706,19.590163934426222,0.40983606557377994,历史3/4次成功; 当前距低点0.41%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
12,86.35366242038218,71.96138535031848,001225,和泰机电,bottom_area,2026-03-04,63.27,88.6,2026-03-04,63.27,0.0,7.475896949581156,28.589164785553038,28.589164785553038,False,-10.0,5.0736,1,1,1,100.0,46.29777070063694,46.29777070063694,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
13,86.07138627922343,72.37180802119647,605116,奥锐特,bottom_area,2026-03-04,24.66,35.58,2026-03-04,24.54,0.488997555012229,3.300733496332528,31.02866779089376,30.691399662731868,False,-1.36,0.6236,1,1,1,100.0,32.02538949798039,32.02538949798039,19.51100244498777,0.488997555012229,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
14,84.76310912838096,71.90291391145539,300940,南极光,bottom_area,2026-03-04,23.93,33.76,2026-03-04,23.7,0.9704641350210989,2.658227848101262,29.798578199052127,29.117298578199048,False,-0.2917,2.2736,1,1,1,100.0,35.40630182421225,35.40630182421225,19.029535864978904,0.9704641350210989,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
15,84.4445597034396,72.11781434417152,601519,大智慧,bottom_area,2026-03-04,11.35,15.88,2026-03-04,11.2,1.3392857142857175,3.5714285714285747,29.471032745591945,28.52644836272041,False,-1.0462,1.11,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,18.660714285714285,1.3392857142857175,历史2/3次成功; 当前距低点1.34%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
