rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.43975381423752,78.71342129568545,001206,依依股份,bottom_area,2026-03-09,22.39,31.9,2026-03-04,22.0,1.7727272727272754,3.772727272727265,31.034482758620683,29.811912225705324,False,-1.3656,1.9197,1,1,1,100.0,42.01741654571844,42.01741654571844,18.227272727272727,1.7727272727272754,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
2,89.97308149495522,77.93632395564507,300879,大叶股份,bottom_area,2026-03-09,23.18,31.32,2026-03-04,22.7,2.114537444933923,4.5374449339207095,27.522349936143044,25.989782886334613,False,-1.7797,1.3081,2,2,2,100.0,25.362738333840962,29.057924888605967,17.885462555066077,2.114537444933923,历史2/2次成功; 当前距低点2.11%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
3,88.91616501624286,76.78491945075648,688317,之江生物,bottom_area,2026-03-09,19.9,28.58,2026-03-04,19.52,1.9467213114754047,3.7909836065573876,31.700489853044083,30.370888733379985,False,-1.0934,0.9562,3,4,3,75.0,37.948623875916084,40.461049284578706,18.053278688524596,1.9467213114754047,历史3/4次成功; 当前距低点1.95%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
4,88.62867013954651,75.39300862532313,603758,秦安股份,bottom_area,2026-03-09,13.5,19.16,2026-03-09,13.35,1.1235955056179803,4.9438202247191025,30.323590814196244,29.540709812108563,False,-3.6403,1.4064,1,1,1,100.0,26.423690205011397,26.423690205011397,18.876404494382022,1.1235955056179803,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
5,88.37152908476024,76.286780166185,002345,潮宏基,bottom_area,2026-03-09,10.58,14.25,2026-03-09,10.38,1.9267822736030757,3.8535645472061515,27.1578947368421,25.75438596491228,False,-2.7574,2.4664,1,1,1,100.0,30.859375,30.859375,18.073217726396926,1.9267822736030757,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
6,87.49596492516419,75.36105490332893,002739,儒意电影,bottom_area,2026-03-09,10.16,13.87,2026-03-09,9.98,1.8036072144288546,2.104208416833658,28.04614275414563,26.74837779379956,False,-1.1673,2.3393,1,1,1,100.0,24.37246963562753,24.37246963562753,18.19639278557115,1.8036072144288546,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
7,87.3006231563572,76.86517960912126,688608,恒玄科技,bottom_area,2026-03-09,184.94,246.36,2026-03-09,179.54,3.007686309457506,3.5033975715718064,27.122909563240793,24.930995291443423,False,-2.1999,1.7934,2,2,2,100.0,30.55217416496976,36.80636853195971,16.992313690542495,3.007686309457506,历史2/2次成功; 当前距低点3.01%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
8,86.78348487591467,76.05831606788627,301283,聚胶股份,bottom_area,2026-03-09,46.62,63.52,2026-03-09,45.37,2.7551245316288298,4.386158254353101,28.573677581863986,26.60579345088162,False,-3.1373,2.1823,1,1,1,100.0,73.6405529953917,73.6405529953917,17.24487546837117,2.7551245316288298,历史1/1次成功; 当前距低点2.76%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
9,85.23720538437694,74.78239151542863,688680,海优新材,bottom_area,2026-03-09,50.8,70.0,2026-03-09,49.41,2.813195709370574,4.91803278688526,29.41428571428572,27.42857142857143,False,-2.1572,5.0533,1,1,1,100.0,33.636977058029686,33.636977058029686,17.186804290629425,2.813195709370574,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
10,84.67478309642995,74.16875683373401,688236,春立医疗,bottom_area,2026-03-09,20.36,27.56,2026-03-04,19.82,2.724520686175576,4.43995963673057,28.084179970972418,26.124818577648767,False,-1.4044,0.5847,3,4,3,75.0,33.4175483774963,48.33672776646301,17.275479313824427,2.724520686175576,历史3/4次成功; 当前距低点2.72%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
11,84.01923714172142,71.16246789764736,001391,国货航,bottom_area,2026-03-09,5.69,7.73,2026-03-09,5.64,0.8865248226950482,2.3049645390070905,27.037516170763272,26.39068564036222,False,-1.5571,1.734,1,1,1,100.0,30.39647577092513,30.39647577092513,19.113475177304952,0.8865248226950482,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
