rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.73535400480623,78.4681346678799,603038,华立股份,bottom_area,2025-12-24,15.99,2025-12-17,15.58,2.631578947368422,5.0064184852374805,29.661399548532724,False,0.6293,1.0997,1,1,1,100.0,28.753412192902637,28.753412192902637,17.36842105263158,2.631578947368422,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
2,88.5987212707868,78.37960784313726,600708,光明地产,bottom_area,2025-12-24,3.16,2025-12-17,3.06,3.2679738562091534,6.209150326797384,27.65957446808511,False,0.0,0.5542,1,1,1,100.0,36.07843137254903,36.07843137254903,16.732026143790847,3.2679738562091534,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,88.249122883152,77.97846884856719,600250,南京商旅,bottom_area,2025-12-24,11.92,2025-12-24,11.55,3.2034632034631962,3.7229437229437203,28.171641791044767,False,-0.6667,12.8111,2,2,2,100.0,38.937445980985316,53.93258426966293,16.796536796536802,3.2034632034631962,历史2/2次成功; 当前距低点3.20%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
4,86.83906075440832,76.46679491513335,603072,天和磁材,bottom_area,2025-12-24,40.68,2025-12-17,39.49,3.0134211192706957,4.482147379083302,27.05947543405984,False,0.6682,1.9202,1,1,1,100.0,22.674167027260935,22.674167027260935,16.986578880729304,3.0134211192706957,历史1/1次成功; 当前距低点3.01%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
5,86.65303380883552,73.53044444476251,603322,超讯通信,bottom_area,2025-12-24,38.82,2025-12-23,38.44,0.9885535900104125,4.214360041623321,30.500813596094744,False,0.129,4.3556,1,1,1,100.0,21.905089408528212,21.905089408528212,19.01144640998959,0.9885535900104125,历史1/1次成功; 当前距低点0.99%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
6,85.75471334003917,77.63005140531205,603178,圣龙股份,bottom_area,2025-12-24,18.46,2025-12-05,17.66,4.530011325028316,5.832389580973959,28.182187881252542,False,1.5402,1.0504,1,1,1,100.0,47.51869476546566,47.51869476546566,15.469988674971685,4.530011325028316,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
7,85.45843910251438,75.94871350248633,000692,惠天热电,bottom_area,2025-12-24,3.53,2025-12-17,3.41,3.5190615835777024,5.571847507331377,28.511530398322844,False,0.5698,2.515,1,1,1,100.0,26.08695652173914,26.08695652173914,16.480938416422298,3.5190615835777024,历史1/1次成功; 当前距低点3.52%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
8,84.75301058209153,74.06396127197634,603679,华体科技,bottom_area,2025-12-24,15.41,2025-12-24,15.02,2.596537949400803,4.061251664447411,29.284369114877585,False,-1.5335,13.894,1,1,1,100.0,27.118644067796616,27.118644067796616,17.4034620505992,2.596537949400803,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
9,82.81258578744769,73.22000037275875,603030,全筑股份,bottom_area,2025-12-24,2.87,2025-12-17,2.78,3.237410071942457,10.071942446043176,30.845771144278604,True,-0.3472,1.5468,1,1,1,100.0,21.243523316062173,21.243523316062173,16.762589928057544,3.237410071942457,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-0.35%; 状态bottom_area; 底部已确认
10,66.05768174610881,59.377691457176496,300056,中创环保,bottom_area,2025-12-24,8.8,2025-12-17,8.45,4.142011834319543,8.284023668639067,29.34782608695653,True,0.4566,3.992,1,2,1,50.0,27.10472279260781,27.10472279260781,15.857988165680458,4.142011834319543,历史1/2次成功; 当前距低点4.14%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
11,60.80931174391774,55.355949978982764,002184,海得控制,bottom_area,2025-12-24,12.79,2025-12-17,12.2,4.83606557377049,4.918032786885258,29.357266936884773,False,1.8312,2.3691,1,2,1,50.0,23.183760683760685,23.183760683760685,15.163934426229511,4.83606557377049,历史1/2次成功; 当前距低点4.84%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
