rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.57131940738911,84.44168437524786,603226,菲林格尔,bottom_area,2023-09-13,5.35,2023-09-12,5.25,1.904761904761898,3.0476190476190506,29.71887550200803,False,1.1342,4.5569,3,3,3,100.0,18.62656730163969,20.479302832244016,8.095238095238102,1.904761904761898,历史3/3次成功; 当前距低点1.90%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
2,88.01689292012131,82.65145256282123,300588,熙菱信息,bottom_area,2023-09-13,12.57,2023-09-12,12.36,1.699029126213599,7.1197411003236315,27.20848056537103,False,0.8828,16.165,2,2,2,100.0,23.146446078431378,25.98039215686274,8.300970873786401,1.699029126213599,历史2/2次成功; 当前距低点1.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
3,86.0133311752091,79.9691511466809,300561,汇金科技,bottom_area,2023-09-13,12.9,2023-09-13,12.75,1.1764705882352968,2.3529411764705936,30.96913914455874,False,-1.1494,3.9484,2,2,2,100.0,24.79303273041607,27.62128325508607,8.823529411764703,1.1764705882352968,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
4,83.70925991935212,78.16911851036508,603106,恒银科技,bottom_area,2023-09-13,7.21,2023-09-11,7.11,1.4064697609001355,6.610407876230657,30.634146341463413,False,-2.171,4.7432,1,1,1,100.0,34.60144927536232,34.60144927536232,8.593530239099865,1.4064697609001355,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
5,79.6650297931426,78.7502541140401,000411,英特集团,bottom_area,2023-09-13,11.88,2023-08-24,11.38,4.393673110720562,9.490333919156415,27.974683544303797,True,-1.2469,2.0624,3,3,3,100.0,31.816283905822544,47.98426745329401,5.606326889279439,4.393673110720562,历史3/3次成功; 当前距低点4.39%; 最新日涨幅-1.25%; 状态bottom_area; 底部已确认
6,77.95599164664317,74.43998108945974,000028,国药一致,bottom_area,2023-09-13,31.44,2023-09-08,30.65,2.5774877650897317,5.481239804241435,30.577576443941112,False,-1.2253,1.0063,2,2,2,100.0,12.240070934754426,14.150943396226415,7.422512234910269,2.5774877650897317,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
7,77.57838451657979,74.80627198524641,601777,千里科技,bottom_area,2023-09-13,3.67,2023-08-25,3.56,3.089887640449435,8.146067415730338,27.93522267206478,True,-2.6525,0.6484,1,1,1,100.0,27.96352583586626,27.96352583586626,6.910112359550566,3.089887640449435,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
8,75.58569439522402,69.3650002679959,603221,爱丽家居,bottom_area,2023-09-13,8.14,2023-09-13,8.1,0.4938271604938386,2.2222222222222188,29.3193717277487,False,-1.4528,3.4558,1,1,1,100.0,15.91895803183791,15.91895803183791,9.506172839506162,0.4938271604938386,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
9,75.01259151705904,72.3805707620745,002265,建设工业,bottom_area,2023-09-13,12.54,2023-08-25,12.16,3.1249999999999916,7.1546052631578885,28.344136711844424,True,-2.4125,0.8971,3,4,3,75.0,19.519197645561725,32.75229357798165,6.875000000000009,3.1249999999999916,历史3/4次成功; 当前距低点3.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部已确认
10,74.46184467627091,71.80249308068981,002121,科陆电子,bottom_area,2023-09-13,5.67,2023-08-25,5.5,3.0909090909090895,9.090909090909092,29.03225806451613,True,-2.2414,1.0564,1,1,1,100.0,11.826697892271683,11.826697892271683,6.909090909090911,3.0909090909090895,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-2.24%; 状态bottom_area; 底部已确认
11,72.11893289658941,68.71087356763474,601778,晶科科技,bottom_area,2023-09-13,3.75,2023-08-29,3.66,2.459016393442619,7.377049180327869,28.79377431906614,True,-1.5748,1.2469,2,3,2,66.66666666666666,26.348195043103452,42.344827586206904,7.540983606557382,2.459016393442619,历史2/3次成功; 当前距低点2.46%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
12,70.85021040330446,70.08139786553136,300614,百川畅银,bottom_area,2023-09-13,22.88,2023-09-01,21.91,4.42720219078046,5.8877225011410275,29.775641025641026,False,-0.6944,1.6122,2,2,2,100.0,11.480746561886047,11.8614931237721,5.57279780921954,4.42720219078046,历史2/2次成功; 当前距低点4.43%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
13,65.66252052167464,64.49290345894462,002386,天原股份,bottom_area,2023-09-13,5.9,2023-08-31,5.67,4.05643738977073,5.996472663139327,31.604342581423396,False,-1.3378,0.4447,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,5.94356261022927,4.05643738977073,历史2/3次成功; 当前距低点4.06%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
14,65.08068928482578,61.30132908309416,002861,瀛通通讯,bottom_area,2023-09-13,11.5,2023-09-13,11.29,1.8600531443755612,2.125775022143492,28.089171974522298,False,0.4367,11.3966,1,2,1,50.0,18.668012108980825,18.668012108980825,8.139946855624439,1.8600531443755612,历史1/2次成功; 当前距低点1.86%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
15,55.63972812333697,54.92920114337295,002272,川润股份,confirmed_rebound,2023-09-13,6.03,2023-08-25,5.78,4.325259515570934,10.553633217993069,29.42612942612942,True,-4.2857,4.9031,1,2,1,50.0,48.337595907928375,48.337595907928375,5.674740484429066,4.325259515570934,历史1/2次成功; 当前距低点4.33%; 最新日涨幅-4.29%; 状态confirmed_rebound; 底部已确认
16,54.39951418237198,50.38803921568628,002069,獐子岛,bottom_area,2023-09-13,4.12,2023-09-13,4.08,0.980392156862746,1.715686274509811,27.915194346289752,False,-0.4831,1.8496,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,9.019607843137255,0.980392156862746,历史1/3次成功; 当前距低点0.98%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
