rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
38,63.40880607147932,54.836838219793236,000697,炼石航空,bottom_area,2024-07-15,5.54,2024-07-10,5.43,2.02578268876612,5.893186003683247,28.83355176933159,False,-1.9469,0.7152,1,3,1,33.33333333333333,27.861771058315338,27.861771058315338,17.974217311233883,2.02578268876612,历史1/3次成功; 当前距低点2.03%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
39,62.26035684626785,56.669786861503766,002838,道恩股份,bottom_area,2024-07-15,8.9,2024-07-09,8.49,4.8292108362779755,9.422850412249693,32.511923688394276,True,-2.0902,0.4779,2,5,2,40.0,31.77627724848148,38.59649122807017,15.170789163722025,4.8292108362779755,历史2/5次成功; 当前距低点4.83%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
40,62.10979157640471,55.79603025776309,000404,长虹华意,bottom_area,2024-07-15,5.32,2024-07-09,5.11,4.109589041095889,10.176125244618387,31.409395973154357,True,-3.2727,1.555,1,2,1,50.0,40.139211136890964,40.139211136890964,15.890410958904111,4.109589041095889,历史1/2次成功; 当前距低点4.11%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
41,61.89286216572719,55.924525653011216,688286,敏芯股份,bottom_area,2024-07-15,41.51,2024-07-05,39.75,4.427672955974838,9.811320754716977,32.16723549488055,True,-1.798,1.5823,2,5,2,40.0,22.847419315235673,25.016501650165008,15.572327044025164,4.427672955974838,历史2/5次成功; 当前距低点4.43%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
42,61.81743604004452,54.75258620689657,601388,怡球资源,bottom_area,2024-07-15,2.17,2024-07-09,2.1,3.3333333333333255,7.619047619047604,29.292929292929294,True,-2.2523,0.6684,1,4,1,25.0,35.632183908045974,35.632183908045974,16.666666666666675,3.3333333333333255,历史1/4次成功; 当前距低点3.33%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
43,61.271402271889954,55.8642906801338,300569,天能重工,bottom_area,2024-07-15,4.05,2024-07-09,3.86,4.922279792746113,8.290155440414503,27.443609022556398,True,-1.699,0.4687,1,2,1,50.0,40.25316455696202,40.25316455696202,15.07772020725389,4.922279792746113,历史1/2次成功; 当前距低点4.92%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
44,60.82968713149988,54.47434668492526,002860,星帅尔,bottom_area,2024-07-15,7.92,2024-07-09,7.62,3.937007874015746,8.398950131233592,28.984156570363467,True,-3.5323,1.0879,1,2,1,50.0,30.917874396135282,30.917874396135282,16.062992125984255,3.937007874015746,历史1/2次成功; 当前距低点3.94%; 最新日涨幅-3.53%; 状态bottom_area; 底部已确认
45,59.39465221456651,52.039706963697284,000928,中钢国际,bottom_area,2024-07-15,5.25,2024-07-09,5.11,2.739726027397254,5.479452054794508,28.33099579242636,False,-0.7561,0.8219,1,5,1,20.0,33.7972166998012,33.7972166998012,17.260273972602747,2.739726027397254,历史1/5次成功; 当前距低点2.74%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
46,58.91655172413793,49.097126436781615,601515,衢州东峰,bottom_area,2024-07-15,3.05,2024-07-15,3.05,0.0,10.163934426229511,27.38095238095239,False,-10.0295,1.4959,1,3,1,33.33333333333333,34.48275862068966,34.48275862068966,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
47,58.53078954345204,49.61930784101679,688111,金山办公,bottom_area,2024-07-15,187.62,2024-07-15,185.88,0.9360877985797338,2.58231116849581,32.081262788658286,False,-1.7696,0.6253,1,4,1,25.0,27.68058076225045,27.68058076225045,19.063912201420266,0.9360877985797338,历史1/4次成功; 当前距低点0.94%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
48,58.04969906972458,48.75510822510821,603155,新亚强,bottom_area,2024-07-15,11.75,2024-07-15,11.7,0.4273504273504335,3.247863247863255,29.898142600359506,False,-4.7812,3.5816,1,3,1,33.33333333333333,25.624375624375624,25.624375624375624,19.572649572649567,0.4273504273504335,历史1/3次成功; 当前距低点0.43%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
49,57.71792048006643,50.08196635120923,002366,融发核电,bottom_area,2024-07-15,3.24,2024-07-09,3.17,2.208201892744489,7.2555205047318605,30.634573304157552,True,-3.2836,0.8173,1,6,1,16.666666666666664,25.0,25.0,17.791798107255513,2.208201892744489,历史1/6次成功; 当前距低点2.21%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
50,57.698946887179574,52.27879827448356,603060,国检集团,bottom_area,2024-07-15,5.71,2024-07-09,5.46,4.5787545787545785,9.157509157509157,31.835205992509362,True,-2.5597,0.2033,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,15.421245421245422,4.5787545787545785,历史1/3次成功; 当前距低点4.58%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
51,56.98685748166158,51.37976174356002,600966,博汇纸业,bottom_area,2024-07-15,4.6,2024-07-10,4.41,4.3083900226757255,8.616780045351472,28.640776699029118,True,-2.5424,0.6912,1,5,1,20.0,40.28436018957346,40.28436018957346,15.691609977324275,4.3083900226757255,历史1/5次成功; 当前距低点4.31%; 最新日涨幅-2.54%; 状态bottom_area; 底部已确认
52,56.75199110202089,51.19352522995637,600141,兴发集团,bottom_area,2024-07-15,18.77,2024-07-08,17.99,4.335742078932747,6.7259588660366925,27.547321788159486,False,-0.1064,0.5758,1,3,1,33.33333333333333,36.58969804618119,36.58969804618119,15.664257921067254,4.335742078932747,历史1/3次成功; 当前距低点4.34%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
53,56.32466400648153,50.84273755501862,600955,维远股份,bottom_area,2024-07-15,14.32,2024-07-09,13.72,4.373177842565594,7.069970845481041,28.911917098445596,True,-2.1189,0.1861,1,3,1,33.33333333333333,25.969084423305596,25.969084423305596,15.626822157434406,4.373177842565594,历史1/3次成功; 当前距低点4.37%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
54,54.79784153039365,49.79701023391813,000705,浙江震元,bottom_area,2024-07-15,7.07,2024-07-09,6.75,4.740740740740745,6.518518518518525,30.555555555555557,False,-1.1189,1.1909,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,15.259259259259256,4.740740740740745,历史1/3次成功; 当前距低点4.74%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
