rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.2143247915064,78.4173405402843,688075,安旭生物,bottom_area,2023-06-20,66.14,2023-05-10,64.65,2.3047177107501855,7.764887857695276,30.37906525953047,True,-0.3916,0.9956,4,5,4,80.0,31.086542584917854,40.134529147982065,17.695282289249814,2.3047177107501855,历史4/5次成功; 当前距低点2.30%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
2,88.85730200008278,75.15897304236199,600935,华塑股份,bottom_area,2023-06-20,3.72,2023-05-31,3.69,0.8130081300813075,3.2520325203252063,27.788649706457928,False,0.0,0.1575,1,1,1,100.0,28.50877192982458,28.50877192982458,19.186991869918693,0.8130081300813075,历史1/1次成功; 当前距低点0.81%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,87.39300101703024,76.83587651961915,600256,广汇能源,bottom_area,2023-06-20,7.38,2023-06-01,7.17,2.928870292887029,5.718270571827059,29.49852507374631,False,0.1357,1.3384,1,1,1,100.0,23.62204724409449,23.62204724409449,17.071129707112974,2.928870292887029,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
4,86.6694951475599,74.70840805484171,002041,登海种业,bottom_area,2023-06-20,15.44,2023-06-07,15.16,1.8469656992084391,4.221635883905018,28.49056603773585,False,-0.6435,0.3479,1,1,1,100.0,21.395106715252467,21.395106715252467,18.153034300791564,1.8469656992084391,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
5,86.39991731014177,76.77476269498837,000723,美锦能源,bottom_area,2023-06-20,6.78,2023-06-14,6.55,3.5114503816793956,4.8854961832061115,30.907172995780595,False,0.1477,0.6934,1,1,1,100.0,30.434782608695667,30.434782608695667,16.488549618320604,3.5114503816793956,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
6,85.59364260690025,71.62853661282153,601086,国芳集团,bottom_area,2023-06-20,4.37,2023-06-20,4.36,0.22935779816513271,2.5229357798165,27.333333333333325,False,-2.0179,2.2812,1,1,1,100.0,24.846625766871185,24.846625766871185,19.770642201834868,0.22935779816513271,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
7,85.03879190951473,72.16343532073317,688302,海创药业,bottom_area,2023-06-20,54.03,2023-06-20,53.5,0.9906542056074787,3.7383177570093453,28.51416354890433,False,-2.2081,1.4627,1,1,1,100.0,37.054445750097926,37.054445750097926,19.009345794392523,0.9906542056074787,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
8,84.00763699555583,70.8237242904155,688176,亚虹医药,bottom_area,2023-06-20,11.12,2023-06-20,11.05,0.633484162895914,3.891402714932124,31.70580964153275,False,-2.627,1.6221,1,1,1,100.0,25.473484848484844,25.473484848484844,19.366515837104085,0.633484162895914,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
9,83.92074074074074,69.93395061728395,688289,圣湘生物,bottom_area,2023-06-20,16.82,2023-06-20,16.82,0.0,1.7241379310344775,31.764705882352935,False,-1.349,0.7363,1,1,1,100.0,25.182530200451346,25.182530200451346,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
10,82.7380221795598,74.26394122248021,300363,博腾股份,bottom_area,2023-06-20,30.48,2023-06-08,29.29,4.062820075110964,7.886650734038929,29.77703188683769,True,-1.2314,0.9269,1,1,1,100.0,36.97403760071621,36.97403760071621,15.937179924889037,4.062820075110964,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.23%; 状态bottom_area; 底部已确认
11,66.37599632521166,56.413595430107556,000545,金浦钛业,bottom_area,2023-06-20,2.82,2023-06-12,2.79,1.0752688172042941,4.3010752688172085,28.277634961439592,False,-1.3986,0.5714,1,3,1,33.33333333333333,24.6875,24.6875,18.924731182795707,1.0752688172042941,历史1/3次成功; 当前距低点1.08%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
