rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.96993738581318,82.65633459473729,603022,新通联,bottom_area,2025-07-07,10.47,2025-07-04,10.33,1.3552758954501507,1.8393030009680493,31.270791749833666,False,1.0618,4.8104,2,2,2,100.0,18.958944281524914,26.099706744868023,6.64472410454985,1.3552758954501507,历史2/2次成功; 当前距低点1.36%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
2,86.47402861150063,81.76173913043473,002826,易明医药,bottom_area,2025-07-07,18.6,2025-07-07,18.4,1.086956521739146,4.402173913043491,27.301461872777562,False,-1.1164,8.6347,1,1,1,100.0,50.0,50.0,6.913043478260854,1.086956521739146,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
3,84.74328700363282,81.97712243259396,605198,安德利,bottom_area,2025-07-07,40.02,2025-06-20,39.13,2.274469716330183,5.877843087145405,29.748653500897664,False,0.2756,0.6369,1,1,1,100.0,43.241469816272954,43.241469816272954,5.725530283669817,2.274469716330183,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
4,83.24407977806128,79.39156936754105,000999,华润三九,bottom_area,2025-07-07,31.06,2025-06-23,30.59,1.5364498202026768,4.347826086956528,29.645814167433297,False,0.0644,0.2794,1,1,1,100.0,20.293951384963254,20.293951384963254,6.4635501797973225,1.5364498202026768,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
5,82.91718506815872,83.85028351338987,603327,福蓉科技,bottom_area,2025-07-07,9.13,2025-06-23,8.73,4.581901489117988,7.560137457044674,28.148148148148145,True,-1.5102,0.5601,6,6,6,100.0,44.87644574504772,129.39632545931758,3.4180985108820123,4.581901489117988,历史6/6次成功; 当前距低点4.58%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
6,81.98482771207735,79.59692010881298,000637,茂化实华,bottom_area,2025-07-07,4.16,2025-07-07,4.06,2.4630541871921316,2.709359605911338,27.370304114490168,False,0.7264,4.6984,2,2,2,100.0,16.089697073177668,22.627737226277358,5.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,81.80598704887652,79.4706727263502,600241,时代万恒,bottom_area,2025-07-07,8.63,2025-07-04,8.42,2.494061757719725,4.2755344418052195,28.03418803418803,False,1.4101,6.2194,2,2,2,100.0,15.79104050511391,22.50673854447439,5.505938242280275,2.494061757719725,历史2/2次成功; 当前距低点2.49%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
8,81.29023416870835,78.74401142955286,301348,蓝箭电子,bottom_area,2025-07-07,20.51,2025-07-07,20.04,2.345309381237537,3.5429141716566908,29.036827195467417,False,1.284,8.1194,1,1,1,100.0,26.727509778357234,26.727509778357234,5.654690618762463,2.345309381237537,历史1/1次成功; 当前距低点2.35%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
9,80.95163386919192,77.84532407015166,002141,贤丰控股,bottom_area,2025-07-07,4.15,2025-07-04,4.07,1.9656019656019672,4.422604422604415,27.9646017699115,False,0.7282,4.3188,1,1,1,100.0,17.241379310344833,17.241379310344833,6.034398034398033,1.9656019656019672,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
10,79.98361107572799,78.9970635128473,300640,德艺文创,bottom_area,2025-07-07,6.47,2025-06-23,6.26,3.3546325878594248,7.348242811501597,27.880184331797235,True,2.2117,5.542,2,2,2,100.0,14.600138780466654,17.724867724867735,4.645367412140575,3.3546325878594248,历史2/2次成功; 当前距低点3.35%; 最新日涨幅2.21%; 状态bottom_area; 底部已确认
11,79.93497090251518,77.13023508137431,688556,高测股份,bottom_area,2025-07-07,7.15,2025-06-27,7.0,2.142857142857148,5.999999999999999,31.10236220472441,False,0.4213,1.1159,1,1,1,100.0,15.569620253164562,15.569620253164562,5.857142857142852,2.142857142857148,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
12,77.1114493579827,74.79657718807441,002155,湖南黄金,bottom_area,2025-07-07,17.81,2025-06-30,17.39,2.415181138585383,5.405405405405392,29.28019520130134,False,-0.7799,1.4346,1,1,1,100.0,28.834355828220854,28.834355828220854,5.584818861414617,2.415181138585383,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
13,76.65463372790222,76.73368968636852,300346,南大光电,confirmed_rebound,2025-07-07,31.06,2025-06-13,29.85,4.053601340033492,8.576214405360117,27.513355998057303,True,-0.1928,1.4908,3,3,3,100.0,27.020971729273548,46.69811320754715,3.946398659966509,4.053601340033492,历史3/3次成功; 当前距低点4.05%; 最新日涨幅-0.19%; 状态confirmed_rebound; 底部已确认
14,75.01540045681858,75.40607574448526,002811,郑中设计,bottom_area,2025-07-07,10.5,2025-06-23,10.07,4.270109235352529,6.156901688182713,31.728813559322035,False,1.8429,2.4288,2,2,2,100.0,15.709273124134537,16.78832116788322,3.7298907646474713,4.270109235352529,历史2/2次成功; 当前距低点4.27%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
15,74.9684654523971,75.5577398860815,002041,登海种业,bottom_area,2025-07-07,9.95,2025-06-23,9.53,4.40713536201469,4.721930745015751,29.719764011799416,False,0.7085,1.1757,2,2,2,100.0,18.2043468358871,21.395106715252467,3.592864637985311,4.40713536201469,历史2/2次成功; 当前距低点4.41%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
