rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.0107201947319,80.14689166763222,000028,国药一致,bottom_area,2023-08-31,32.05,2023-08-30,31.45,1.907790143084254,2.861685214626398,28.765571913929783,False,0.6912,0.7406,2,2,2,100.0,12.240070934754426,14.150943396226415,8.092209856915748,1.907790143084254,历史2/2次成功; 当前距低点1.91%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
2,83.04939983411705,79.24311566178392,300505,川金诺,bottom_area,2023-08-31,15.76,2023-08-25,15.37,2.5374105400130165,7.937540663630453,28.378378378378383,True,-1.6843,1.3837,2,2,2,100.0,28.378557489320507,39.35656836461126,7.462589459986985,2.5374105400130165,历史2/2次成功; 当前距低点2.54%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
3,81.8783321943975,76.65817748120047,300614,百川畅银,bottom_area,2023-08-31,22.38,2023-08-29,22.04,1.5426497277676945,6.215970961887482,29.35897435897436,False,-1.8421,1.5388,2,2,2,100.0,11.480746561886047,11.8614931237721,8.457350272232306,1.5426497277676945,历史2/2次成功; 当前距低点1.54%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
4,77.93279503132604,74.82520529851082,000572,海马汽车,bottom_area,2023-08-31,4.31,2023-08-29,4.19,2.863961813842463,8.8305489260143,31.42389525368248,False,-2.0455,1.7893,2,2,2,100.0,17.82278620468623,22.92191435768261,7.136038186157538,2.863961813842463,历史2/2次成功; 当前距低点2.86%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
5,76.2675827524822,75.39800629862378,600338,西藏珠峰,bottom_area,2023-08-31,14.48,2023-08-25,13.87,4.397981254506137,7.137707281903391,28.320413436692515,True,-1.0929,1.5887,2,2,2,100.0,30.512922359665453,31.213191990577155,5.602018745493864,4.397981254506137,历史2/2次成功; 当前距低点4.40%; 最新日涨幅-1.09%; 状态bottom_area; 底部已确认
6,75.03749896254654,74.45970040886137,002339,积成电子,bottom_area,2023-08-31,6.83,2023-08-25,6.53,4.5941807044410385,9.494640122511488,27.201783723522855,True,-0.292,3.0206,3,4,3,75.0,48.70662588702658,82.94930875576038,5.405819295558962,4.5941807044410385,历史3/4次成功; 当前距低点4.59%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
7,74.17965330018382,73.99872731652482,002084,海鸥住工,bottom_area,2023-08-31,4.09,2023-08-25,3.9,4.8717948717948705,7.435897435897449,27.102803738317753,True,-1.2077,1.8453,2,2,2,100.0,28.797954968909234,43.81720430107525,5.12820512820513,4.8717948717948705,历史2/2次成功; 当前距低点4.87%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
8,72.63064059671864,71.32305132247329,002519,银河电子,bottom_area,2023-08-31,5.4,2023-08-25,5.19,4.046242774566473,7.707129094412321,30.053908355795144,True,-1.4599,1.5178,1,1,1,100.0,20.959595959595962,20.959595959595962,5.953757225433528,4.046242774566473,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
9,71.59640103960804,65.52734790338907,002386,天原股份,bottom_area,2023-08-31,5.69,2023-08-31,5.67,0.35273368606702754,2.1164021164021185,31.604342581423396,False,-1.8966,0.6914,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,9.647266313932972,0.35273368606702754,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
10,68.09896660852614,67.48307076207448,002265,建设工业,bottom_area,2023-08-31,12.71,2023-08-25,12.16,4.52302631578948,6.907894736842104,28.344136711844424,False,-0.3918,0.6909,3,4,3,75.0,19.519197645561725,32.75229357798165,5.476973684210521,4.52302631578948,历史3/4次成功; 当前距低点4.52%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
11,68.01007337324812,67.19067489887163,002121,科陆电子,bottom_area,2023-08-31,5.74,2023-08-25,5.5,4.363636363636368,6.909090909090907,29.03225806451613,False,-1.7123,0.8061,1,1,1,100.0,11.826697892271683,11.826697892271683,5.636363636363633,4.363636363636368,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
12,65.78436634063942,64.18371383197832,688202,美迪西,bottom_area,2023-08-31,73.3,2023-08-29,70.68,3.706847764572708,8.658743633276726,28.526645768025073,True,-2.7206,1.8396,2,3,2,66.66666666666666,17.304624024394695,23.795418261555337,6.293152235427294,3.706847764572708,历史2/3次成功; 当前距低点3.71%; 最新日涨幅-2.72%; 状态bottom_area; 底部已确认
