rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.53820493418667,77.10614619197926,300505,川金诺,bottom_area,2021-09-29,33.4,2021-09-29,32.93,1.427269966595806,7.804433647130277,27.990378307456808,False,-5.2213,10.556,1,1,1,100.0,39.35656836461126,39.35656836461126,8.572730033404193,1.427269966595806,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
2,80.74256895993014,77.01293678192846,601127,赛力斯,bottom_area,2021-09-29,58.23,2021-09-29,56.8,2.5176056338028165,6.9894366197183215,30.630190522716173,False,-2.95,1.7626,2,2,2,100.0,25.33912702687572,27.74461028192372,7.482394366197184,2.5176056338028165,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
3,80.02190206927403,72.92989998419664,000426,兴业银锡,bottom_area,2021-09-29,7.62,2021-09-29,7.61,0.13140604467805236,3.153745072273315,30.628988149498632,False,-2.8061,2.3983,1,1,1,100.0,30.64250411861613,30.64250411861613,9.868593955321948,0.13140604467805236,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
4,79.29246218216952,72.12754927991631,001212,中旗新材,bottom_area,2021-09-29,31.66,2021-09-29,31.65,0.03159557661927824,1.8957345971564028,28.95622895622896,False,-0.252,3.9006,1,1,1,100.0,25.105307497893843,25.105307497893843,9.968404423380722,0.03159557661927824,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
5,79.0577780501526,74.07002950948225,000792,盐湖股份,bottom_area,2021-09-29,28.29,2021-09-29,27.85,1.5798922800718052,6.894075403949723,28.917815211842772,False,-3.8082,1.8938,1,1,1,100.0,24.904214559386965,24.904214559386965,8.420107719928195,1.5798922800718052,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-3.81%; 状态bottom_area; 底部未确认
6,78.96823084244434,72.19678108644314,300727,润禾材料,bottom_area,2021-09-29,27.06,2021-09-29,26.98,0.29651593773164675,7.375833951074864,30.76725686425455,False,-5.7143,3.0143,2,2,2,100.0,22.273319486404827,26.812499999999993,9.703484062268354,0.29651593773164675,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-5.71%; 状态bottom_area; 底部未确认
7,78.86990273085414,71.69991157350375,300340,科恒股份,bottom_area,2021-09-29,16.0,2021-09-29,16.0,0.0,5.750000000000011,30.069930069930066,False,-3.7304,3.7927,2,2,2,100.0,28.225331040342816,42.54473161033797,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
8,78.22696384594688,71.50433414043583,688355,明志科技,bottom_area,2021-09-29,24.57,2021-09-29,24.5,0.28571428571428686,4.081632653061225,29.658340511053687,False,-3.7603,3.306,1,1,1,100.0,35.08474576271185,35.08474576271185,9.714285714285714,0.28571428571428686,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
9,77.50111461463322,72.2483321893362,688078,龙软科技,bottom_area,2021-09-29,60.01,2021-09-29,59.23,1.3169002194833719,8.627384771230806,29.378800524621447,False,-6.7299,1.6145,1,1,1,100.0,11.886369299775717,11.886369299775717,8.68309978051663,1.3169002194833719,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-6.73%; 状态bottom_area; 底部未确认
10,76.7789268918023,73.35058436184644,300463,迈克生物,bottom_area,2021-09-29,27.6,2021-09-17,26.9,2.602230483271386,9.368029739776963,32.75,True,-2.4735,1.1515,1,1,1,100.0,14.159515396264513,14.159515396264513,7.397769516728614,2.602230483271386,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
11,76.47209841803047,69.66588119520488,300631,久吾高科,bottom_area,2021-09-29,36.49,2021-09-29,36.45,0.1097393689986259,7.2153635116597945,31.459195186160205,False,-7.3858,4.8978,1,1,1,100.0,23.04347826086956,23.04347826086956,9.890260631001373,0.1097393689986259,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-7.39%; 状态bottom_area; 底部未确认
