rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.5433502632779,85.63426966292134,002685,华东重机,bottom_area,2024-04-22,2.71,2024-04-16,2.67,1.4981273408239715,7.490636704119858,28.22580645161291,True,-2.8674,1.9039,2,2,2,100.0,62.24778046811945,109.52380952380952,8.50187265917603,1.4981273408239715,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-2.87%; 状态bottom_area; 底部已确认
2,89.53217222049204,83.25177514792898,600052,东望时代,bottom_area,2024-04-22,3.42,2024-04-16,3.38,1.1834319526627228,9.467455621301783,27.311827956989255,True,-2.8409,0.4744,1,1,1,100.0,56.0655737704918,56.0655737704918,8.816568047337277,1.1834319526627228,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-2.84%; 状态bottom_area; 底部已确认
3,87.72346800332143,81.88364138180323,002432,九安医疗,bottom_area,2024-04-22,40.27,2024-04-17,39.72,1.3846928499496582,3.57502517623364,27.75554747180793,False,-0.6905,1.2713,2,2,2,100.0,37.638392901550795,65.03496503496503,8.615307150050343,1.3846928499496582,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
4,86.99709706298763,83.04381371545549,300725,药石科技,bottom_area,2024-04-22,30.06,2024-04-16,29.31,2.5588536335721597,9.757761856021846,27.053260328521656,True,0.2668,1.8106,1,1,1,100.0,43.26881720430109,43.26881720430109,7.441146366427841,2.5588536335721597,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
5,86.83810533930462,84.45382210021967,301367,瑞迈特,bottom_area,2024-04-22,74.03,2024-04-19,71.5,3.53846153846154,4.657342657342655,29.888213375171606,False,2.8194,2.0247,4,4,4,100.0,22.05115273070954,32.411969715178486,6.46153846153846,3.53846153846154,历史4/4次成功; 当前距低点3.54%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
6,86.35647622298592,79.22268036108709,002459,晶澳科技,bottom_area,2024-04-22,14.77,2024-04-22,14.7,0.47619047619047816,3.4013605442176873,28.222656250000007,False,-0.0677,1.3514,4,4,4,100.0,18.701046488179387,26.683937823834192,9.523809523809522,0.47619047619047816,历史4/4次成功; 当前距低点0.48%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
7,83.74332291229817,81.22779097719139,603122,合富中国,bottom_area,2024-04-22,5.78,2024-04-16,5.59,3.3989266547406154,8.586762075134176,29.150823827629914,True,-0.8576,2.0396,2,2,2,100.0,49.609375,72.1590909090909,6.601073345259385,3.3989266547406154,历史2/2次成功; 当前距低点3.40%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
8,82.89802506399124,77.39477522416611,300759,康龙化成,bottom_area,2024-04-22,18.17,2024-04-22,17.92,1.3950892857142856,3.683035714285695,28.032128514056215,False,-0.055,1.2156,2,2,2,100.0,13.632144062337028,16.594594594594597,8.604910714285715,1.3950892857142856,历史2/2次成功; 当前距低点1.40%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
9,81.31163529783203,77.17428694543653,603259,药明康德,bottom_area,2024-04-22,42.1,2024-04-16,41.17,2.258926402720427,7.724070925431138,30.078125,True,-0.237,1.9972,2,2,2,100.0,13.842145933543593,14.040390163483993,7.741073597279574,2.258926402720427,历史2/2次成功; 当前距低点2.26%; 最新日涨幅-0.24%; 状态bottom_area; 底部已确认
10,79.915,72.65,000628,高新发展,bottom_area,2024-04-22,40.42,2024-04-22,40.42,0.0,0.0,27.092352092352083,False,-9.9978,0.9841,1,1,1,100.0,99.77973568281939,99.77973568281939,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
11,78.6672368158997,75.86361289273114,688114,华大智造,bottom_area,2024-04-22,52.63,2024-04-22,51.05,3.095004897159658,6.738491674828609,31.412065027542667,False,1.5631,0.8538,1,1,1,100.0,20.431312141156706,20.431312141156706,6.904995102840343,3.095004897159658,历史1/1次成功; 当前距低点3.10%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
12,78.61880859473405,74.67277710974312,000856,冀东装备,bottom_area,2024-04-22,6.68,2024-04-22,6.53,2.297090352220512,4.5941807044410385,30.45793397231097,False,-3.1884,5.1637,2,2,2,100.0,20.269586627988584,25.237449118046136,7.702909647779488,2.297090352220512,历史2/2次成功; 当前距低点2.30%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
13,78.20452366287566,72.12488662293215,002271,东方雨虹,bottom_area,2024-04-22,13.37,2024-04-22,13.27,0.7535795026375256,4.521477015825167,27.087912087912088,False,-1.2555,2.8584,2,2,2,100.0,17.274451015837123,19.371959310039802,9.246420497362475,0.7535795026375256,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
14,77.86079050880153,73.70706462603025,301520,万邦医药,confirmed_rebound,2024-04-22,41.86,2024-04-16,40.99,2.1224688948523966,10.026835813613074,27.80908770693906,False,-1.5985,6.8516,1,1,1,100.0,29.60372960372961,29.60372960372961,7.877531105147603,2.1224688948523966,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.60%; 状态confirmed_rebound; 底部未确认
15,77.82605211896137,76.24077488489444,002558,巨人网络,bottom_area,2024-04-22,10.34,2024-04-22,9.95,3.9195979899497546,5.527638190954781,30.07730147575545,False,1.0753,2.2404,2,2,2,100.0,15.900313451504728,18.872870249017044,6.080402010050246,3.9195979899497546,历史2/2次成功; 当前距低点3.92%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
16,77.40146704241087,72.99151200857095,603031,安孚科技,bottom_area,2024-04-22,29.71,2024-04-19,29.15,1.9210977701543817,4.631217838765013,32.83410138248848,False,-0.6355,1.5527,1,1,1,100.0,13.073198518940481,13.073198518940481,8.07890222984562,1.9210977701543817,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
17,77.34294296393585,75.95160860307648,688277,天智航,bottom_area,2024-04-22,7.97,2024-04-16,7.66,4.046997389033937,6.788511749347252,29.981718464351005,False,2.7062,0.8324,2,2,2,100.0,15.907326075665967,20.469798657718112,5.953002610966063,4.046997389033937,历史2/2次成功; 当前距低点4.05%; 最新日涨幅2.71%; 状态bottom_area; 底部未确认
18,77.22341117837054,74.70696600758859,002256,兆新股份,bottom_area,2024-04-22,1.9,2024-04-16,1.84,3.2608695652173822,8.152173913043473,30.82706766917293,True,-1.0417,0.9933,4,5,4,80.0,22.858863528409877,31.775700934579426,6.739130434782618,3.2608695652173822,历史4/5次成功; 当前距低点3.26%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
19,76.64347715736042,69.6758883248731,002200,交投生态,bottom_area,2024-04-22,5.28,2024-04-22,5.28,0.0,1.7045454545454517,31.69469598965071,False,-5.036,0.6033,1,1,1,100.0,34.01015228426395,34.01015228426395,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
20,75.79882733960665,74.89885688533231,603230,内蒙新华,bottom_area,2024-04-22,12.65,2024-04-16,12.12,4.3729372937293824,7.013201320132026,27.207207207207208,True,-1.7857,4.4328,2,2,2,100.0,27.522332876533863,31.521142229544196,5.627062706270618,4.3729372937293824,历史2/2次成功; 当前距低点4.37%; 最新日涨幅-1.79%; 状态bottom_area; 底部已确认
21,75.53163127866249,68.66511934423862,000889,中嘉博创,bottom_area,2024-04-22,1.21,2024-04-22,1.21,0.0,0.0,32.40223463687151,False,-4.7244,0.3014,4,5,4,80.0,21.909243786229116,34.408602150537625,10.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
22,74.17857082680793,68.03452947287309,301539,宏鑫科技,bottom_area,2024-04-22,26.0,2024-04-22,25.88,0.46367851622875195,5.680061823802173,29.864498644986448,False,-9.3761,38.7845,1,1,1,100.0,18.61137897782063,18.61137897782063,9.536321483771248,0.46367851622875195,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-9.38%; 状态bottom_area; 底部未确认
23,73.96063536747656,73.5950526611494,301393,昊帆生物,bottom_area,2024-04-22,38.45,2024-04-16,36.71,4.739852901116867,8.96213565785889,31.38317757009346,True,1.1842,3.361,1,1,1,100.0,19.203856320945413,19.203856320945413,5.260147098883134,4.739852901116867,历史1/1次成功; 当前距低点4.74%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
24,73.88644243968885,73.7602997129071,603212,赛伍技术,bottom_area,2024-04-22,11.11,2024-04-16,10.59,4.910292728989609,9.159584513692169,28.734858681022878,True,0.543,2.092,3,4,3,75.0,26.348210403244153,32.01038575667657,5.089707271010392,4.910292728989609,历史3/4次成功; 当前距低点4.91%; 最新日涨幅0.54%; 状态bottom_area; 底部已确认
25,73.708021166364,72.99687680777822,002467,二六三,confirmed_rebound,2024-04-22,3.49,2024-04-16,3.34,4.491017964071867,10.179640718562883,28.172043010752695,True,-0.8523,1.5254,3,3,3,100.0,12.292461106785295,13.91509433962264,5.508982035928134,4.491017964071867,历史3/3次成功; 当前距低点4.49%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
26,72.8914104410811,71.79468473971241,688177,百奥泰,bottom_area,2024-04-22,29.0,2024-04-22,27.83,4.204096298957966,6.539705353934605,32.939759036144586,False,2.1486,0.5989,1,1,1,100.0,12.15066828675577,12.15066828675577,5.795903701042035,4.204096298957966,历史1/1次成功; 当前距低点4.20%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
27,72.25227705929157,71.02766219387983,002377,国创高新,bottom_area,2024-04-22,2.03,2024-04-22,1.95,4.102564102564095,6.666666666666672,30.107526881720432,False,-2.4038,2.8591,2,2,2,100.0,12.588754557666471,14.814814814814808,5.897435897435906,4.102564102564095,历史2/2次成功; 当前距低点4.10%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
28,70.70027800587353,66.57513208569571,688276,百克生物,bottom_area,2024-04-22,39.75,2024-04-22,39.03,1.8447348193697126,4.406866512938762,29.293478260869566,False,-1.8519,1.6451,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,8.155265180630288,1.8447348193697126,历史2/3次成功; 当前距低点1.84%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
29,68.40193188737388,66.30263986013988,002319,乐通股份,confirmed_rebound,2024-04-22,11.37,2024-04-22,11.0,3.3636363636363567,10.363636363636369,27.86885245901639,False,-3.8071,1.6209,1,1,1,100.0,15.224358974358976,15.224358974358976,6.636363636363643,3.3636363636363567,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-3.81%; 状态confirmed_rebound; 底部未确认
30,66.05205911310516,60.489353933217856,300769,德方纳米,bottom_area,2024-04-22,31.35,2024-04-22,31.23,0.384245917387131,4.482869036183164,27.355198883461274,False,-3.2706,3.9921,3,5,3,60.0,13.738895832583383,20.592193808882907,9.615754082612868,0.384245917387131,历史3/5次成功; 当前距低点0.38%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
31,64.52600136084291,61.9587847803044,002607,中公教育,bottom_area,2024-04-22,2.51,2024-04-16,2.44,2.868852459016387,8.606557377049178,28.86297376093295,True,-0.7905,2.0573,3,6,3,50.0,14.514883800332075,18.337408312958438,7.131147540983614,2.868852459016387,历史3/6次成功; 当前距低点2.87%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
32,63.22252515574657,62.93645038128617,002551,尚荣医疗,confirmed_rebound,2024-04-22,2.64,2024-04-16,2.52,4.761904761904765,10.714285714285715,32.075471698113205,True,-0.3774,1.5513,2,3,2,66.66666666666666,33.746917052485834,52.61780104712043,5.2380952380952355,4.761904761904765,历史2/3次成功; 当前距低点4.76%; 最新日涨幅-0.38%; 状态confirmed_rebound; 底部已确认
33,63.14144023425573,62.3447028180506,002177,御银股份,bottom_area,2024-04-22,3.13,2024-04-17,3.0,4.33333333333333,9.333333333333327,30.71593533487298,True,-0.6349,1.7178,2,3,2,66.66666666666666,15.096968555827523,19.574468085106382,5.66666666666667,4.33333333333333,历史2/3次成功; 当前距低点4.33%; 最新日涨幅-0.63%; 状态bottom_area; 底部已确认
34,59.93938184605638,59.808975754223596,002410,广联达,bottom_area,2024-04-22,10.09,2024-04-16,9.62,4.885654885654893,8.939708939708952,32.301196340605216,True,-0.2964,2.0148,2,4,2,50.0,27.678865018907224,39.688715953307394,5.114345114345108,4.885654885654893,历史2/4次成功; 当前距低点4.89%; 最新日涨幅-0.30%; 状态bottom_area; 底部已确认
35,58.89427953896731,56.55713894435499,002022,科华生物,bottom_area,2024-04-22,6.8,2024-04-22,6.61,2.874432677760961,3.630862329803318,27.362637362637354,False,0.4431,1.0912,1,3,1,33.33333333333333,25.04038772213247,25.04038772213247,7.12556732223904,2.874432677760961,历史1/3次成功; 当前距低点2.87%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
36,56.00595419847329,50.914503816793896,002742,三圣股份,bottom_area,2024-04-22,2.32,2024-04-22,2.32,0.0,0.0,32.163742690058484,False,-4.918,0.4541,1,2,1,50.0,24.809160305343507,24.809160305343507,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.92%; 状态bottom_area; 底部未确认
37,54.62142552719199,53.51082352941175,002239,奥特佳,bottom_area,2024-04-22,2.65,2024-04-16,2.55,3.921568627450984,8.627450980392165,29.75206611570248,True,-1.487,1.2353,1,2,1,50.0,15.333333333333332,15.333333333333332,6.078431372549017,3.921568627450984,历史1/2次成功; 当前距低点3.92%; 最新日涨幅-1.49%; 状态bottom_area; 底部已确认
38,53.18406779661018,48.349152542372885,002643,万润股份,bottom_area,2024-04-22,11.12,2024-04-22,11.12,0.0,4.316546762589932,28.76361306854581,False,-9.9595,2.7961,1,2,1,50.0,11.016949152542377,11.016949152542377,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
