rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.92329951426774,76.00177028187147,300724,捷佳伟创,bottom_area,2022-04-13,59.8,2022-04-13,59.74,0.100435219283554,4.620020087043853,27.919884169884163,False,-5.2298,2.8903,3,3,3,100.0,23.660013880849316,30.55368319691865,7.899564780716446,0.100435219283554,历史3/3次成功; 当前距低点0.10%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
2,81.66250935365743,77.14020306190199,601137,博威合金,bottom_area,2022-04-13,12.65,2022-04-13,12.52,1.0383386581469711,5.111821086261985,30.211817168338918,False,-4.2392,2.5527,2,2,2,100.0,18.105458077833763,25.82417582417582,6.961661341853029,1.0383386581469711,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
3,80.96019084486652,76.60703350898017,300631,久吾高科,bottom_area,2022-04-13,28.72,2022-04-13,28.4,1.1267605633802829,4.577464788732398,28.210313447927206,False,-3.2997,2.1411,2,2,2,100.0,16.322836524124767,23.04347826086956,6.873239436619717,1.1267605633802829,历史2/2次成功; 当前距低点1.13%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
4,80.08505908917316,75.70452154006718,605589,圣泉集团,bottom_area,2022-04-13,25.37,2022-04-12,25.1,1.0756972111553769,5.099601593625488,28.693181818181817,False,-3.4627,1.8733,2,2,2,100.0,10.844683771513038,11.515151515151507,6.924302788844623,1.0756972111553769,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
5,80.0705191965724,74.44420454545457,603122,合富中国,bottom_area,2022-04-13,14.11,2022-04-13,14.08,0.2130681818181773,5.610795454545448,27.46007212776919,False,-5.5556,18.0926,1,1,1,100.0,72.1590909090909,72.1590909090909,7.786931818181824,0.2130681818181773,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
6,80.00382166580562,76.72473509857295,688221,前沿生物,bottom_area,2022-04-13,15.63,2022-04-13,15.35,1.8241042345276948,4.16938110749186,29.58715596330276,False,-2.0677,1.9569,2,2,2,100.0,15.288670716645669,15.615615615615624,6.175895765472306,1.8241042345276948,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
7,77.65312560646902,71.90104222821205,300490,华自科技,bottom_area,2022-04-13,12.34,2022-04-13,12.34,0.0,4.294975688816851,28.380731282646547,False,-4.7104,1.6945,2,2,2,100.0,29.306678646301293,32.06349206349206,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
8,76.79804100559922,73.33035812672173,300432,富临精工,bottom_area,2022-04-13,18.44,2022-04-13,18.15,1.5977961432507035,4.462809917355385,27.341873498799046,False,-2.2269,1.4356,1,1,1,100.0,10.931899641577065,10.931899641577065,6.402203856749297,1.5977961432507035,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
9,76.69702862419209,71.39666666666669,000889,中嘉博创,bottom_area,2022-04-13,3.61,2022-04-13,3.6,0.27777777777777185,5.555555555555548,27.85571142284569,False,-5.9896,3.616,1,1,1,100.0,34.408602150537625,34.408602150537625,7.7222222222222285,0.27777777777777185,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-5.99%; 状态bottom_area; 底部未确认
10,76.63341513158097,71.66466502329891,603348,文灿股份,bottom_area,2022-04-13,29.25,2022-04-13,29.1,0.5154639175257684,5.8075601374570365,31.384107521810883,False,-4.8471,1.6008,2,2,2,100.0,22.096358899234726,31.539888682745836,7.484536082474231,0.5154639175257684,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
11,76.53752320239148,71.08783611886503,002474,榕基软件,bottom_area,2022-04-13,6.23,2022-04-12,6.22,0.16077170418007516,3.2154340836012896,31.11849390919158,False,-2.8081,1.9192,1,1,1,100.0,21.0989010989011,21.0989010989011,7.839228295819925,0.16077170418007516,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
