rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.03037285222139,76.8164312647406,301191,菲菱科思,bottom_area,2025-10-15,98.97,2025-10-13,96.54,2.5170913610938395,8.245286927698356,27.890648341798617,True,-1.0003,5.4384,1,1,1,100.0,31.749460043196553,31.749460043196553,17.48290863890616,2.5170913610938395,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
2,87.1996807532466,78.32413559322033,688621,阳光诺和,bottom_area,2025-10-15,61.42,2025-10-14,59.0,4.10169491525424,5.898305084745757,31.355439208842352,False,3.6624,2.9545,1,1,1,100.0,46.0,46.0,15.898305084745761,4.10169491525424,历史1/1次成功; 当前距低点4.10%; 最新日涨幅3.66%; 状态bottom_area; 底部未确认
3,84.24471955422915,75.4531194475503,603083,剑桥科技,bottom_area,2025-10-15,103.83,2025-10-15,99.89,3.9443387726499126,5.115627189908899,29.901754385964914,False,2.0342,9.1882,1,1,1,100.0,28.63554757630162,28.63554757630162,16.055661227350086,3.9443387726499126,历史1/1次成功; 当前距低点3.94%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
4,73.99322067618131,64.93066945606697,000700,模塑科技,bottom_area,2025-10-15,9.83,2025-10-15,9.56,2.8242677824267735,3.451882845188285,27.24505327245053,False,1.7598,3.4107,1,2,1,50.0,52.926829268292686,52.926829268292686,17.175732217573227,2.8242677824267735,历史1/2次成功; 当前距低点2.82%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
5,69.21839542701808,61.316466253558865,688039,当虹科技,bottom_area,2025-10-15,52.89,2025-10-15,51.18,3.341148886283706,3.7514654161781977,27.885021840214176,False,1.9468,4.7902,2,7,2,28.57142857142857,62.201664036449046,79.31638913234006,16.658851113716295,3.341148886283706,历史2/7次成功; 当前距低点3.34%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
6,69.20425584965344,62.0633734939759,601900,南方传媒,bottom_area,2025-10-15,12.95,2025-09-23,12.45,4.016064257028113,9.156626506024102,30.756395995550616,True,0.3098,0.5636,1,2,1,50.0,39.999999999999986,39.999999999999986,15.98393574297189,4.016064257028113,历史1/2次成功; 当前距低点4.02%; 最新日涨幅0.31%; 状态bottom_area; 底部已确认
7,69.0801110133649,60.59806035562887,300757,罗博特科,bottom_area,2025-10-15,223.93,2025-10-15,217.82,2.805068405105139,2.8372050316775352,28.031454437322417,False,1.4727,2.9578,2,8,2,25.0,47.30438881327193,74.11052233156698,17.194931594894864,2.805068405105139,历史2/8次成功; 当前距低点2.81%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
8,68.74661080401434,59.22308808776353,301529,福赛科技,bottom_area,2025-10-15,67.36,2025-10-15,66.16,1.813784764207985,3.2799274486094343,31.369294605809134,False,-0.4728,6.5181,1,2,1,50.0,29.400630914826507,29.400630914826507,18.186215235792016,1.813784764207985,历史1/2次成功; 当前距低点1.81%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
9,66.3170588266778,59.1917006802721,002123,梦网科技,bottom_area,2025-10-15,12.71,2025-10-13,12.25,3.7551020408163334,5.1428571428571495,29.39481268011528,False,1.4366,2.0591,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,16.244897959183668,3.7551020408163334,历史1/3次成功; 当前距低点3.76%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
10,66.18826167376196,59.58057206191134,000428,华天酒店,bottom_area,2025-10-15,3.21,2025-10-13,3.08,4.220779220779217,5.194805194805199,28.70370370370371,False,0.9434,2.0143,2,5,2,40.0,26.687896157462177,28.045977011494273,15.779220779220784,4.220779220779217,历史2/5次成功; 当前距低点4.22%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
11,65.32125664640456,57.147876849510546,002453,华软科技,bottom_area,2025-10-15,6.95,2025-10-15,6.77,2.6587887740029634,3.6927621861152145,30.635245901639347,False,-1.138,10.138,1,2,1,50.0,28.60169491525425,28.60169491525425,17.34121122599704,2.6587887740029634,历史1/2次成功; 当前距低点2.66%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
