rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.55621196086115,73.33381069041454,002349,精华制药,bottom_area,2022-05-17,15.32,2022-05-17,15.11,1.389808074123103,9.199205823957648,28.11607992388202,False,-6.0699,7.3454,1,1,1,100.0,18.615984405458093,18.615984405458093,8.610191925876897,1.389808074123103,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-6.07%; 状态bottom_area; 底部未确认
2,77.56664144484726,74.63498885480575,002690,美亚光电,bottom_area,2022-05-17,18.33,2022-05-16,17.8,2.9775280898876266,5.05617977528089,28.856914468425256,False,-0.4345,0.8041,2,2,2,100.0,18.19221989112653,23.25123152709359,7.022471910112374,2.9775280898876266,历史2/2次成功; 当前距低点2.98%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
3,76.61791038661076,70.41750126903075,603229,奥翔药业,confirmed_rebound,2022-05-17,66.79,2022-05-17,66.41,0.5722029814787075,11.112784219244105,29.260758414997866,False,-9.4864,7.5145,2,2,2,100.0,26.30174229463547,41.48479427549196,9.427797018521293,0.5722029814787075,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-9.49%; 状态confirmed_rebound; 底部未确认
4,76.45231651376149,72.46350000000001,600303,曙光股份,bottom_area,2022-05-17,3.27,2022-05-17,3.2,2.187499999999995,5.624999999999991,29.51541850220264,False,-2.9674,5.1857,1,1,1,100.0,13.5,13.5,7.812500000000005,2.187499999999995,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
5,75.29611864913748,73.73355328158081,002479,富春环保,bottom_area,2022-05-17,4.53,2022-04-28,4.36,3.8990825688073376,9.86238532110091,28.990228013029306,True,-0.6579,0.3949,1,1,1,100.0,32.11538461538461,32.11538461538461,6.100917431192663,3.8990825688073376,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
6,73.57835922330099,66.88941747572817,000736,中交地产,bottom_area,2022-05-17,21.6,2022-05-17,21.6,0.0,8.796296296296289,31.96850393700787,False,-10.0,9.9917,1,1,1,100.0,19.029126213592225,19.029126213592225,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
7,73.32231366512441,72.93037695556576,603078,江化微,bottom_area,2022-05-17,24.19,2022-05-17,23.1,4.718614718614718,5.411255411255411,29.357798165137616,False,0.7497,5.112,1,1,1,100.0,24.563540397888758,24.563540397888758,5.281385281385282,4.718614718614718,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
8,72.41299491621163,71.39309357936358,002177,御银股份,bottom_area,2022-05-17,2.45,2022-05-12,2.35,4.255319148936174,6.808510638297858,29.00302114803625,False,0.823,6.2961,1,1,1,100.0,10.619469026548666,10.619469026548666,5.744680851063827,4.255319148936174,历史1/1次成功; 当前距低点4.26%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
9,55.45644536510672,52.48814998655663,002366,融发核电,bottom_area,2022-05-17,2.9,2022-05-16,2.84,2.1126760563380302,5.633802816901413,30.04926108374384,False,-1.0239,3.9985,1,3,1,33.33333333333333,16.299559471365644,16.299559471365644,7.887323943661969,2.1126760563380302,历史1/3次成功; 当前距低点2.11%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
