rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.15463230681686,82.63117181726855,605133,嵘泰股份,bottom_area,2024-01-05,25.38,2024-01-04,25.24,0.5546751188589563,3.1299524564183945,29.51689472214466,False,0.3162,5.6405,2,2,2,100.0,48.8485542379945,60.01483679525222,19.445324881141048,0.5546751188589563,历史2/2次成功; 当前距低点0.55%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,94.35130417064717,80.01976437167939,300480,光力科技,bottom_area,2024-01-05,20.0,2024-01-05,19.81,0.9591115598182801,4.442200908632017,31.143552311435524,False,-1.9127,1.1325,4,4,4,100.0,28.906122193898153,39.69465648854962,19.04088844018172,0.9591115598182801,历史4/4次成功; 当前距低点0.96%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
3,94.02850466947451,80.64944881889767,603013,亚普股份,bottom_area,2024-01-05,16.77,2023-12-28,16.51,1.574803149606287,5.693519079345837,27.428571428571423,False,-2.8389,1.0042,1,1,1,100.0,53.30739299610896,53.30739299610896,18.425196850393714,1.574803149606287,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
4,90.67510984985205,77.14580774527094,601628,中国人寿,bottom_area,2024-01-05,26.8,2024-01-04,26.5,1.1320754716981158,6.339622641509433,30.88158581116328,False,-0.1862,0.0959,1,1,1,100.0,25.736235595390532,25.736235595390532,18.867924528301884,1.1320754716981158,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
5,89.65743195992339,76.8635810041181,600130,波导股份,bottom_area,2024-01-05,4.59,2023-12-26,4.52,1.5486725663716878,7.300884955752214,27.564102564102573,True,-1.9231,1.9212,1,1,1,100.0,20.13201320132014,20.13201320132014,18.451327433628315,1.5486725663716878,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
6,88.86782673892705,75.55516938250432,002682,龙洲股份,bottom_area,2024-01-05,6.47,2024-01-05,6.4,1.0937499999999907,7.031249999999989,30.810810810810807,False,-7.1736,20.5064,1,1,1,100.0,26.929674099485425,26.929674099485425,18.90625000000001,1.0937499999999907,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-7.17%; 状态bottom_area; 底部未确认
7,88.66872201872205,74.27857142857145,600172,黄河旋风,bottom_area,2024-01-05,3.51,2024-01-05,3.5,0.28571428571427965,4.0000000000000036,28.278688524590162,False,-3.0387,1.6283,1,1,1,100.0,51.074589127686465,51.074589127686465,19.71428571428572,0.28571428571427965,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
8,83.88251471593567,70.05554262346652,002632,道明光学,bottom_area,2024-01-05,8.37,2024-01-05,8.36,0.11961722488038024,9.569377990430631,28.36332476435305,False,-9.9031,14.8459,1,1,1,100.0,25.259515570934255,25.259515570934255,19.88038277511962,0.11961722488038024,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-9.90%; 状态bottom_area; 底部未确认
9,82.97903923987238,70.04000263754038,002409,雅克科技,bottom_area,2024-01-05,49.01,2024-01-05,48.67,0.6985822888843154,3.883295664680502,30.580516331479103,False,-2.4677,2.0745,1,1,1,100.0,22.057904603207675,22.057904603207675,19.301417711115686,0.6985822888843154,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
10,81.55691241840124,74.38766631684976,002796,世嘉科技,bottom_area,2024-01-05,11.04,2023-12-26,10.52,4.942965779467677,9.125475285171111,28.092959671907046,True,-2.5596,1.9168,2,2,2,100.0,31.7614424410541,36.33841886269071,15.057034220532323,4.942965779467677,历史2/2次成功; 当前距低点4.94%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
11,69.63124321946808,60.0652896781354,000058,深赛格,bottom_area,2024-01-05,7.02,2023-12-27,6.89,1.8867924528301872,5.370101596516692,27.320675105485236,False,-1.9553,0.6374,1,2,1,50.0,34.82352941176472,34.82352941176472,18.113207547169814,1.8867924528301872,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
12,69.08764005589131,58.27405548216645,000070,特发信息,bottom_area,2024-01-05,7.62,2023-12-26,7.57,0.6605019815059421,5.680317040951119,27.00096432015428,False,-2.4328,1.2371,1,2,1,50.0,50.60532687651331,50.60532687651331,19.33949801849406,0.6605019815059421,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
13,64.48171025700977,54.324072948328265,601777,千里科技,bottom_area,2024-01-05,3.38,2024-01-05,3.36,0.5952380952380958,3.2738095238095335,27.114967462039054,False,-1.4577,0.3593,1,2,1,50.0,27.96352583586626,27.96352583586626,19.404761904761905,0.5952380952380958,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
14,64.25119626953528,54.14648691158295,002284,亚太股份,bottom_area,2024-01-05,8.22,2024-01-05,8.17,0.6119951040391763,4.1615667074663385,28.080985915492956,False,-2.6066,1.6266,1,2,1,50.0,27.214170692431566,27.214170692431566,19.388004895960826,0.6119951040391763,历史1/2次成功; 当前距低点0.61%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
15,63.61828984701757,53.55215770365809,002703,浙江世宝,bottom_area,2024-01-05,12.8,2024-01-05,12.73,0.5498821681068365,2.513747054202673,27.257142857142853,False,-0.8521,1.8778,1,2,1,50.0,23.257467994310083,23.257467994310083,19.450117831893166,0.5498821681068365,历史1/2次成功; 当前距低点0.55%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
16,63.52448682221044,54.15001921072899,002660,茂硕电源,bottom_area,2024-01-05,10.64,2024-01-05,10.51,1.2369172216936326,8.658420551855377,27.914951989026065,False,-8.826,22.4331,1,3,1,33.33333333333333,24.71428571428572,24.71428571428572,18.76308277830637,1.2369172216936326,历史1/3次成功; 当前距低点1.24%; 最新日涨幅-8.83%; 状态bottom_area; 底部未确认
17,63.14996330086345,53.464028753201696,600178,东安动力,bottom_area,2024-01-05,12.85,2024-01-05,12.74,0.8634222919937161,7.927786499215069,27.572484366117113,False,-6.8841,9.6413,1,2,1,50.0,36.84210526315788,36.84210526315788,19.136577708006286,0.8634222919937161,历史1/2次成功; 当前距低点0.86%; 最新日涨幅-6.88%; 状态bottom_area; 底部未确认
18,61.01577440912815,51.39214820150955,600986,浙文互联,bottom_area,2024-01-05,5.18,2024-01-05,5.15,0.5825242718446477,4.27184466019417,27.97202797202797,False,-3.5382,3.3444,1,2,1,50.0,22.25969645868466,22.25969645868466,19.417475728155352,0.5825242718446477,历史1/2次成功; 当前距低点0.58%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
19,59.665349119008326,50.40095699406349,300454,深信服,bottom_area,2024-01-05,66.6,2024-01-05,66.11,0.741188927544993,1.6033882922402092,27.3356781710266,False,-0.09,1.2936,1,4,1,25.0,29.49391262831224,29.49391262831224,19.25881107245501,0.741188927544993,历史1/4次成功; 当前距低点0.74%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
