rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.68615220530836,82.99537875047389,688317,之江生物,bottom_area,2026-02-24,21.05,28.58,2026-02-24,20.83,1.0561689870379376,1.3922227556409155,27.11686494051785,26.347095871238622,False,0.5733,1.0407,3,4,3,75.0,37.948623875916084,40.461049284578706,18.943831012962065,1.0561689870379376,历史3/4次成功; 当前距低点1.06%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
2,93.0564852182741,79.73991878172588,600271,航天信息,bottom_area,2026-02-24,10.0,13.99,2026-02-02,9.85,1.5228426395939123,5.1776649746192875,29.592566118656187,28.520371694067194,False,0.6036,0.9571,1,1,1,100.0,21.999999999999996,21.999999999999996,18.47715736040609,1.5228426395939123,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
3,88.1503101872794,73.75372939488784,301225,恒勃股份,bottom_area,2026-02-24,128.28,179.99,2026-02-24,128.0,0.2187500000000009,6.374999999999997,28.884938052114013,28.729373854103006,False,-4.1112,3.5289,2,2,2,100.0,29.690749434880892,31.690140845070424,19.78125,0.2187500000000009,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
4,87.39758546861796,73.60880794701986,301025,读客文化,bottom_area,2026-02-24,12.15,16.58,2026-02-24,12.08,0.5794701986754991,9.10596026490066,27.14113389626055,26.718938480096494,False,-8.9888,13.7539,1,1,1,100.0,56.01023017902812,56.01023017902812,19.420529801324502,0.5794701986754991,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-8.99%; 状态bottom_area; 底部未确认
5,87.05699136065162,76.91947492986884,301023,奕帆传动,bottom_area,2026-02-24,46.77,65.18,2026-02-06,45.32,3.1994704324801475,5.4060017652250725,30.469469162319733,28.244860386621667,False,0.7757,3.6724,1,1,1,100.0,27.388535031847127,27.388535031847127,16.800529567519852,3.1994704324801475,历史1/1次成功; 当前距低点3.20%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
6,84.00171916247439,73.87085855996493,603169,兰石重装,bottom_area,2026-02-24,10.5,14.18,2026-01-29,10.2,2.9411764705882426,7.745098039215696,28.067700987306072,25.952045133991536,True,2.2395,1.5076,3,5,3,60.0,35.30505867153828,49.872122762148344,17.05882352941176,2.9411764705882426,历史3/5次成功; 当前距低点2.94%; 最新日涨幅2.24%; 状态bottom_area; 底部已确认
7,73.66200832094398,63.321736526946104,300652,雷迪克,bottom_area,2026-02-24,50.95,74.21,2026-02-06,50.1,1.6966067864271486,4.510978043912171,32.48888289987871,31.343484705565277,False,-0.4494,1.6874,1,2,1,50.0,54.41115272575945,54.41115272575945,18.303393213572853,1.6966067864271486,历史1/2次成功; 当前距低点1.70%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
8,69.79376604150143,61.25042234258433,688119,中钢洛耐,bottom_area,2026-02-24,6.18,8.45,2026-02-12,6.01,2.828618968386022,2.828618968386022,28.87573964497041,26.86390532544378,False,2.6578,1.6968,1,2,1,50.0,30.267062314540045,30.267062314540045,17.17138103161398,2.828618968386022,历史1/2次成功; 当前距低点2.83%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
9,68.48932485463286,59.00454298004716,600593,大连圣亚,bottom_area,2026-02-24,36.43,49.5,2026-02-24,35.78,1.8166573504751218,4.807154835103407,27.717171717171713,26.4040404040404,False,-2.8533,3.6921,1,2,1,50.0,28.26086956521739,28.26086956521739,18.18334264952488,1.8166573504751218,历史1/2次成功; 当前距低点1.82%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
10,66.91360094070872,55.813143786595035,605365,立达信,bottom_area,2026-02-24,19.75,27.37,2026-01-30,19.74,0.050658561296867084,7.294832826747727,27.87723785166241,27.840701497990505,True,-0.3029,0.5023,1,3,1,33.33333333333333,39.54468802698146,39.54468802698146,19.949341438703133,0.050658561296867084,历史1/3次成功; 当前距低点0.05%; 最新日涨幅-0.30%; 状态bottom_area; 底部已确认
11,66.6235476701464,55.768767720828805,300723,一品红,bottom_area,2026-02-24,32.83,45.88,2026-02-24,32.75,0.24427480916030014,2.8702290076335806,28.61813426329556,28.44376634699216,False,-1.3818,1.5001,1,2,1,50.0,31.428571428571427,31.428571428571427,19.7557251908397,0.24427480916030014,历史1/2次成功; 当前距低点0.24%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
12,65.49498577268703,58.69128291273895,000797,中国武夷,bottom_area,2026-02-24,3.14,4.27,2026-02-02,3.02,3.973509933774838,9.602649006622517,29.274004683840744,26.46370023419203,True,1.6181,1.8153,2,6,2,33.33333333333333,24.126624883936852,27.083333333333325,16.026490066225165,3.973509933774838,历史2/6次成功; 当前距低点3.97%; 最新日涨幅1.62%; 状态bottom_area; 底部已确认
13,61.755887728620614,52.046982399983655,688095,福昕软件,bottom_area,2026-02-24,85.0,121.0,2026-02-24,84.48,0.6155303030302983,9.9905303030303,30.181818181818176,29.75206611570248,False,-8.4545,5.9303,2,6,2,33.33333333333333,28.962678266448417,31.679509356817103,19.384469696969703,0.6155303030302983,历史2/6次成功; 当前距低点0.62%; 最新日涨幅-8.45%; 状态bottom_area; 底部未确认
