rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.63034485511004,82.82658198446464,002724,海洋王,bottom_area,2023-05-12,8.42,2023-04-25,8.3,1.445783132530111,8.192771084337345,28.999144568006834,True,-1.0576,0.9903,3,3,3,100.0,17.596599605555337,25.204081632653047,8.55421686746989,1.445783132530111,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
2,88.52019658748245,82.52153094203572,688048,长光华芯,bottom_area,2023-05-12,85.36,2023-05-12,84.25,1.3175074183976254,3.038575667655789,29.20168067226891,False,0.4235,0.9223,2,2,2,100.0,17.771225032162963,19.48504983388705,8.682492581602375,1.3175074183976254,历史2/2次成功; 当前距低点1.32%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,88.45851824045297,84.41478573986068,002317,众生药业,bottom_area,2023-05-12,16.93,2023-05-12,16.51,2.5439127801332413,3.8764385221077955,27.58771929824561,False,1.6817,4.2285,3,3,3,100.0,26.316703648196015,58.31999999999999,7.45608721986676,2.5439127801332413,历史3/3次成功; 当前距低点2.54%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
4,86.67661193895965,81.3668281187128,002245,蔚蓝锂芯,bottom_area,2023-05-12,10.88,2023-04-26,10.7,1.6822429906542196,8.317757009345799,29.512516469038214,False,-2.0702,1.3403,3,3,3,100.0,21.840549125830286,25.653923541247494,8.31775700934578,1.6822429906542196,历史3/3次成功; 当前距低点1.68%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
5,85.38110925705661,79.12524492731015,002802,洪汇新材,bottom_area,2023-05-12,10.03,2023-05-12,9.93,1.007049345417922,2.920443101711993,31.1373092926491,False,-1.8591,1.5107,2,2,2,100.0,18.17912599388721,20.65637065637066,8.992950654582078,1.007049345417922,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
6,85.17341671358186,79.76744614604165,688350,富淼科技,bottom_area,2023-05-12,16.29,2023-05-05,16.04,1.5586034912718205,4.301745635910232,32.774518021793796,False,-1.2727,1.1075,2,2,2,100.0,28.392807022265636,38.54748603351957,8.44139650872818,1.5586034912718205,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
7,85.10295104475259,77.49042674000844,002690,美亚光电,bottom_area,2023-05-12,23.84,2023-05-12,23.82,0.0839630562552459,2.3929471032745604,28.253012048192776,False,-1.8526,0.4968,3,3,3,100.0,21.246572625109707,27.355278093076052,9.916036943744755,0.0839630562552459,历史3/3次成功; 当前距低点0.08%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
8,84.45146100684133,81.75209923949936,688075,安旭生物,bottom_area,2023-05-12,66.78,2023-05-10,64.65,3.2946635730858396,4.94972931167825,30.37906525953047,False,-0.3135,1.4877,5,5,5,100.0,27.010388097500325,40.134529147982065,6.70533642691416,3.2946635730858396,历史5/5次成功; 当前距低点3.29%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
9,84.36861425358646,77.33070016794952,688008,澜起科技,bottom_area,2023-05-12,53.73,2023-05-12,53.5,0.42990654205606893,5.570093457943919,31.864493122771265,False,-3.6924,1.3474,3,3,3,100.0,34.8434789453621,62.20095693779905,9.570093457943932,0.42990654205606893,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
10,84.04519534447155,78.20984909104634,300762,上海瀚讯,bottom_area,2023-05-12,11.58,2023-05-10,11.44,1.2237762237762289,3.2342657342657435,27.50316856780735,False,-0.2584,1.0229,1,1,1,100.0,32.580961727183514,32.580961727183514,8.776223776223771,1.2237762237762289,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
11,83.6784152228474,76.07128656622491,000620,盈新发展,bottom_area,2023-05-12,1.25,2023-05-12,1.25,0.0,5.600000000000005,30.16759776536313,False,-5.303,7.5379,3,3,3,100.0,35.0606804635748,58.4192439862543,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
