rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
13,79.86791328735166,77.03621162473702,002304,洋河股份,bottom_area,2025-06-10,66.38,2025-05-29,65.0,2.123076923076916,3.538461538461534,31.57894736842105,False,-0.8218,0.2522,2,2,2,100.0,20.62810220081931,20.781426953567394,5.876923076923084,2.123076923076916,历史2/2次成功; 当前距低点2.12%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
14,79.57440902498045,75.68844671364879,000096,广聚能源,bottom_area,2025-06-10,13.79,2025-06-10,13.6,1.3970588235294081,2.426470588235295,29.166666666666668,False,-0.0725,2.8953,1,1,1,100.0,21.149144254278735,21.149144254278735,6.602941176470592,1.3970588235294081,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
15,79.02088595117829,73.84255961844197,605005,合兴股份,bottom_area,2025-06-10,18.96,2025-06-10,18.87,0.47694753577106436,5.19342872284049,29.08680947012401,False,-4.0,3.7556,1,1,1,100.0,96.96521095484826,96.96521095484826,7.523052464228935,0.47694753577106436,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
16,78.85112174174114,75.54988645673237,688448,磁谷科技,bottom_area,2025-06-10,29.22,2025-06-03,28.71,1.7763845350052174,4.771856495994418,27.113480578827115,False,-2.4048,3.8866,1,1,1,100.0,25.053995680345576,25.053995680345576,6.223615464994783,1.7763845350052174,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
17,78.34643484987672,73.89568899919954,001311,多利科技,bottom_area,2025-06-10,19.99,2025-06-10,19.8,0.9595959595959481,3.6363636363636305,31.794695142955565,False,-2.4878,4.2908,2,2,2,100.0,29.32025691977575,46.9244288224956,7.040404040404052,0.9595959595959481,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
18,77.83026441635364,75.59034948628471,688543,国科军工,bottom_area,2025-06-10,44.6,2025-06-04,43.52,2.4816176470588194,6.755514705882347,31.604589030331603,False,-2.1286,3.8117,1,1,1,100.0,33.916331836445266,33.916331836445266,5.518382352941181,2.4816176470588194,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
19,77.16276055380114,75.08226864063057,002811,郑中设计,bottom_area,2025-06-10,10.74,2025-06-10,10.47,2.5787965616045803,4.393505253104098,29.01694915254237,False,-1.196,5.599,2,2,2,100.0,15.709273124134537,16.78832116788322,5.42120343839542,2.5787965616045803,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
20,77.02264846514787,74.53804690175599,300819,聚杰微纤,bottom_area,2025-06-10,21.84,2025-06-10,21.35,2.2950819672131075,7.119437939110068,31.12903225806451,False,-4.2525,4.1679,2,2,2,100.0,19.520611758074537,26.54716175842936,5.704918032786893,2.2950819672131075,历史2/2次成功; 当前距低点2.30%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
21,75.02347896566711,70.61878205128205,603577,汇金通,bottom_area,2025-06-10,9.44,2025-06-10,9.36,0.8547008547008554,3.6324786324786316,27.216174183514774,False,-2.3785,8.171,1,1,1,100.0,27.083333333333325,27.083333333333325,7.145299145299145,0.8547008547008554,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
22,74.99094285384606,69.9367758552371,600770,综艺股份,bottom_area,2025-06-10,5.38,2025-06-10,5.36,0.373134328358201,7.835820895522386,29.006622516556284,False,-3.2374,8.412,1,1,1,100.0,27.72861356932153,27.72861356932153,7.6268656716417995,0.373134328358201,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
23,74.97364240468335,75.5609265442619,002041,登海种业,bottom_area,2025-06-10,10.19,2025-06-03,9.76,4.40573770491803,6.249999999999995,28.023598820059004,False,2.6183,3.153,2,2,2,100.0,18.2043468358871,21.395106715252467,3.59426229508197,4.40573770491803,历史2/2次成功; 当前距低点4.41%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
24,74.8495976602794,74.61596814848612,300394,天孚通信,confirmed_rebound,2025-06-10,68.73,2025-06-09,66.19,3.837437679407775,11.028856322707353,28.497353354218426,False,-2.094,4.8799,3,3,3,100.0,22.179172352343212,33.2041656575442,4.162562320592225,3.837437679407775,历史3/3次成功; 当前距低点3.84%; 最新日涨幅-2.09%; 状态confirmed_rebound; 底部未确认
25,73.9018634727157,71.99034259857788,300817,双飞集团,bottom_area,2025-06-10,23.35,2025-06-10,22.75,2.6373626373626435,5.362637362637358,28.097345132743364,False,-2.3013,5.1371,1,1,1,100.0,16.470588235294116,16.470588235294116,5.362637362637357,2.6373626373626435,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
26,70.79994392896278,71.83075224990993,002042,华孚时尚,confirmed_rebound,2025-06-10,4.85,2025-06-03,4.63,4.751619870410362,9.935205183585312,28.549382716049386,True,-2.6104,1.9396,2,2,2,100.0,25.88411588411589,42.41758241758243,3.2483801295896377,4.751619870410362,历史2/2次成功; 当前距低点4.75%; 最新日涨幅-2.61%; 状态confirmed_rebound; 底部已确认
