rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.91586417948653,81.25398692894998,002788,鹭燕医药,bottom_area,2026-04-14,14.5,20.29,2026-04-14,14.29,1.469559132260328,2.7291812456263163,29.571217348447515,28.536224741251846,False,-0.8208,11.438,2,2,2,100.0,35.293450271524364,37.636080870917574,18.53044086773967,1.469559132260328,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
2,92.29709834388551,79.95066757031518,001391,国货航,bottom_area,2026-04-14,5.31,7.73,2026-04-03,5.2,2.1153846153846043,3.0769230769230793,32.729624838292374,31.306597671410096,False,0.3781,0.8423,1,1,1,100.0,30.39647577092513,30.39647577092513,17.884615384615397,2.1153846153846043,历史1/1次成功; 当前距低点2.12%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,83.52336788954645,74.7723747462878,603848,好太太,bottom_area,2026-04-14,15.38,21.38,2026-04-03,14.8,3.9189189189189193,5.810810810810807,30.776426566884936,28.063610851262855,False,0.2608,0.4742,1,1,1,100.0,24.664031620553352,24.664031620553352,16.081081081081084,3.9189189189189193,历史1/1次成功; 当前距低点3.92%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
4,81.82957168075262,69.9479945280438,000966,长源电力,bottom_area,2026-04-14,4.38,5.95,2026-04-03,4.32,1.3888888888888797,4.86111111111111,27.394957983193276,26.386554621848745,False,-0.6803,1.5422,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,18.61111111111112,1.3888888888888797,历史2/3次成功; 当前距低点1.39%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
5,81.2193472727065,72.85300247262448,300080,易成新能,bottom_area,2026-04-14,4.65,6.38,2026-04-03,4.47,4.026845637583906,7.382550335570472,29.93730407523511,27.115987460815038,True,-1.0638,1.5985,1,1,1,100.0,28.947368421052627,28.947368421052627,15.973154362416095,4.026845637583906,历史1/1次成功; 当前距低点4.03%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
6,79.5985576203118,72.52995983935745,600611,大众交通,bottom_area,2026-04-14,4.72,6.6,2026-04-07,4.5,4.888888888888884,5.3333333333333375,31.818181818181813,28.484848484848484,False,0.4255,0.7048,1,1,1,100.0,24.497991967871478,24.497991967871478,15.111111111111116,4.888888888888884,历史1/1次成功; 当前距低点4.89%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
7,78.59866358839172,71.47673228070994,603535,嘉诚国际,bottom_area,2026-04-14,8.33,11.77,2026-03-23,7.95,4.779874213836476,8.553459119496862,32.4553950722175,29.2268479184367,True,-0.5967,0.6366,1,1,1,100.0,30.778739184178,30.778739184178,15.220125786163525,4.779874213836476,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
8,78.46834047754939,71.17270334383257,001328,登康口腔,bottom_area,2026-04-14,32.72,44.35,2026-04-07,31.27,4.637032299328427,6.459865685960983,29.492671927846676,26.223224351747472,False,-0.2439,0.6251,1,1,1,100.0,36.58675799086758,36.58675799086758,15.362967700671573,4.637032299328427,历史1/1次成功; 当前距低点4.64%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
9,72.55963907600338,65.53696270537263,002457,青龙管业,bottom_area,2026-04-14,10.9,15.04,2026-04-03,10.44,4.406130268199242,7.758620689655178,30.585106382978722,27.526595744680844,True,-0.9991,3.9258,2,3,2,66.66666666666666,33.152005646237896,42.51290877796902,15.593869731800758,4.406130268199242,历史2/3次成功; 当前距低点4.41%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
10,71.86130092105468,61.1395150436278,688169,石头科技,bottom_area,2026-04-14,113.42,153.7,2026-04-14,112.15,1.1324119482835453,2.523406152474363,27.033181522446313,26.206896551724128,False,0.4695,1.6584,1,4,1,25.0,29.71190476190475,29.71190476190475,18.867588051716456,1.1324119482835453,历史1/4次成功; 当前距低点1.13%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
11,71.83133401778423,64.94224701256984,002584,西陇科学,bottom_area,2026-04-14,7.73,10.48,2026-03-23,7.4,4.4594594594594605,9.729729729729714,29.389312977099237,26.240458015267176,True,0.0,2.5786,2,5,2,40.0,49.24631494697527,68.08510638297875,15.54054054054054,4.4594594594594605,历史2/5次成功; 当前距低点4.46%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
12,71.69544064499499,65.19697949648535,600421,退市华嵘,bottom_area,2026-04-14,6.14,8.04,2026-04-09,5.86,4.778156996587019,8.532423208191126,27.114427860696505,23.631840796019894,True,-2.6941,1.8073,3,5,3,60.0,33.662244347869596,44.900662251655625,15.221843003412982,4.778156996587019,历史3/5次成功; 当前距低点4.78%; 最新日涨幅-2.69%; 状态bottom_area; 底部已确认
13,70.3217069445868,61.15194023823949,000625,长安汽车,bottom_area,2026-04-14,10.11,13.84,2026-03-30,9.88,2.327935222672051,3.441295546558703,28.612716763005775,26.950867052023124,False,0.099,0.4446,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,17.67206477732795,2.327935222672051,历史1/3次成功; 当前距低点2.33%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
14,67.3282594299945,60.02794836939367,600121,郑州煤电,bottom_area,2026-04-14,4.21,5.69,2026-04-07,4.06,3.694581280788187,6.896551724137938,28.646748681898078,26.010544815465735,False,-2.093,3.8503,3,6,3,50.0,23.44942843865986,29.452054794520542,16.305418719211815,3.694581280788187,历史3/6次成功; 当前距低点3.69%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
15,66.38897497882324,58.16865567175202,300760,迈瑞医疗,bottom_area,2026-04-14,160.46,214.12,2026-04-09,156.18,2.740427711614804,3.6688436419515877,27.059592751728,25.06071361853166,False,1.5955,0.7356,1,3,1,33.33333333333333,32.06181462849697,32.06181462849697,17.259572288385197,2.740427711614804,历史1/3次成功; 当前距低点2.74%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
16,65.41073731264973,57.46263458500426,600966,博汇纸业,bottom_area,2026-04-14,6.42,8.57,2026-04-03,6.24,2.8846153846153797,8.493589743589732,27.18786464410735,25.087514585764296,True,1.1024,0.8544,1,6,1,16.666666666666664,40.28436018957346,40.28436018957346,17.11538461538462,2.8846153846153797,历史1/6次成功; 当前距低点2.88%; 最新日涨幅1.10%; 状态bottom_area; 底部已确认
17,64.57435188413265,57.4703749772256,600185,珠免集团,bottom_area,2026-04-14,5.76,8.28,2026-04-03,5.56,3.5971223021582768,4.676258992805768,32.850241545893724,30.43478260869565,False,1.5873,1.4581,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,16.402877697841724,3.5971223021582768,历史1/3次成功; 当前距低点3.60%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
18,64.14260244496471,58.21694873448985,002481,双塔食品,bottom_area,2026-04-14,4.48,6.06,2026-03-23,4.28,4.672897196261686,9.345794392523352,29.37293729372936,26.07260726072606,True,-0.2227,0.6638,2,5,2,40.0,38.17824915035744,54.6583850931677,15.327102803738315,4.672897196261686,历史2/5次成功; 当前距低点4.67%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
19,63.78111243203901,57.635691870299055,002373,千方科技,bottom_area,2026-04-14,9.66,13.46,2026-04-07,9.25,4.432432432432433,6.05405405405406,31.27786032689451,28.231797919762265,False,1.5773,1.1103,1,2,1,50.0,30.49267643142478,30.49267643142478,15.567567567567567,4.432432432432433,历史1/2次成功; 当前距低点4.43%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
20,63.67301836078785,55.25066143475772,300683,海特生物,bottom_area,2026-04-14,36.08,50.68,2026-04-14,35.3,2.2096317280453293,2.549575070821546,30.34727703235991,28.808208366219418,False,0.6696,9.3564,1,5,1,20.0,22.089364380113267,22.089364380113267,17.79036827195467,2.2096317280453293,历史1/5次成功; 当前距低点2.21%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
21,63.32378454412431,57.76472132034633,002605,姚记科技,bottom_area,2026-04-14,20.99,27.66,2026-03-23,20.0,4.949999999999992,7.2499999999999964,27.69342010122921,24.114244396240064,True,0.5268,1.1064,2,6,2,33.33333333333333,31.11498917748918,39.01785714285715,15.050000000000008,4.949999999999992,历史2/6次成功; 当前距低点4.95%; 最新日涨幅0.53%; 状态bottom_area; 底部已确认
22,61.709815325281745,56.19952084265994,601015,陕西黑猫,bottom_area,2026-04-14,4.1,5.5,2026-04-07,3.91,4.859335038363159,11.25319693094628,28.909090909090907,25.454545454545464,True,-2.381,2.9879,2,6,2,33.33333333333333,44.06167417631514,65.6514382402707,15.140664961636844,4.859335038363159,历史2/6次成功; 当前距低点4.86%; 最新日涨幅-2.38%; 状态bottom_area; 底部已确认
