rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.7213071452573,77.86237202443647,000419,通程控股,bottom_area,2023-02-06,6.15,2023-01-19,6.06,1.4851485148514976,4.620462046204625,29.039812646370024,False,-0.6462,1.8668,2,2,2,100.0,17.250057195149854,24.82269503546099,6.514851485148503,1.4851485148514976,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
2,79.12292550883977,78.23722111881546,000715,中兴商业,bottom_area,2023-02-06,6.36,2023-01-19,6.15,3.414634146341463,7.317073170731696,31.05381165919282,True,-1.3953,3.2128,3,3,3,100.0,17.056919206849418,24.33862433862435,4.585365853658537,3.414634146341463,历史3/3次成功; 当前距低点3.41%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
3,77.51453331353078,77.58032581598955,000679,大连友谊,confirmed_rebound,2023-02-06,5.66,2023-01-18,5.44,4.044117647058819,9.007352941176459,28.515111695137975,True,-1.7361,2.2792,4,4,4,100.0,14.78986049077237,24.94061757719715,3.955882352941181,4.044117647058819,历史4/4次成功; 当前距低点4.04%; 最新日涨幅-1.74%; 状态confirmed_rebound; 底部已确认
4,76.78237537562522,73.2108029673219,000756,新华制药,bottom_area,2023-02-06,27.32,2023-01-31,26.91,1.5235971757710893,5.499814195466371,27.66129032258065,False,-1.6205,3.5514,1,1,1,100.0,9.379594236989137,9.379594236989137,6.476402824228911,1.5235971757710893,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,76.41444868897293,76.17701384063845,300562,乐心医疗,bottom_area,2023-02-06,10.01,2023-01-31,9.64,3.838174273858913,4.875518672199158,27.790262172284635,False,-0.1994,2.3661,3,3,3,100.0,20.365866586219184,22.71604938271605,4.161825726141087,3.838174273858913,历史3/3次成功; 当前距低点3.84%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
6,74.46631489865146,73.3953884756111,000650,仁和药业,bottom_area,2023-02-06,6.36,2023-01-12,6.16,3.2467532467532494,5.844155844155835,27.444051825677267,False,-0.625,1.6666,2,2,2,100.0,14.827881065637138,17.19038817005545,4.753246753246751,3.2467532467532494,历史2/2次成功; 当前距低点3.25%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
7,74.23339528579686,73.17912997757227,002349,精华制药,bottom_area,2023-02-06,12.05,2023-01-19,11.67,3.2562125107112325,5.3984575835475646,28.44880441446965,False,-0.2483,1.5238,2,2,2,100.0,13.781153236526267,18.615984405458093,4.743787489288768,3.2562125107112325,历史2/2次成功; 当前距低点3.26%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
8,72.22273818050466,72.23666332042184,300434,金石亚药,bottom_area,2023-02-06,12.45,2023-01-19,11.97,4.010025062656631,6.766917293233071,31.127733026467197,False,-0.2404,2.4773,2,2,2,100.0,17.954411092897637,26.7379679144385,3.9899749373433693,4.010025062656631,历史2/2次成功; 当前距低点4.01%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
9,68.39494832634068,68.29626079022344,300485,赛升药业,bottom_area,2023-02-06,12.18,2023-01-12,11.72,3.92491467576791,6.143344709897601,27.69895126465145,False,-0.8143,1.7894,1,1,1,100.0,12.392829306313327,12.392829306313327,4.075085324232091,3.92491467576791,历史1/1次成功; 当前距低点3.92%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
10,63.782027268351484,63.20381234278247,002589,瑞康医药,bottom_area,2023-02-06,4.11,2023-01-31,3.97,3.526448362720406,5.2896725440805925,27.55474452554745,False,-0.7246,1.6079,2,3,2,66.66666666666666,19.018537328593187,28.49162011173183,4.473551637279594,3.526448362720406,历史2/3次成功; 当前距低点3.53%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
11,59.70791317584594,56.305158584679226,000721,西安饮食,bottom_area,2023-02-06,13.82,2023-02-03,13.69,0.94959824689555,3.2870708546384306,27.757255936675463,False,0.2903,9.0361,1,2,1,50.0,20.485175202156327,20.485175202156327,7.05040175310445,0.94959824689555,历史1/2次成功; 当前距低点0.95%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
