rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.44180980076908,76.00177028187147,300724,捷佳伟创,bottom_area,2022-04-13,59.8,2022-04-13,59.74,0.100435219283554,4.620020087043853,27.919884169884163,False,-5.2298,2.8903,3,3,3,100.0,23.660013880849316,30.55368319691865,9.899564780716446,0.100435219283554,历史3/3次成功; 当前距低点0.10%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
2,83.18945851149935,77.14020306190199,601137,博威合金,bottom_area,2022-04-13,12.65,2022-04-13,12.52,1.0383386581469711,5.111821086261985,30.211817168338918,False,-4.2392,2.5527,2,2,2,100.0,18.105458077833763,25.82417582417582,8.961661341853029,1.0383386581469711,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
3,81.58303582599278,75.70452154006718,605589,圣泉集团,bottom_area,2022-04-13,25.37,2022-04-12,25.1,1.0756972111553769,5.099601593625488,28.693181818181817,False,-3.4627,1.8733,2,2,2,100.0,10.844683771513038,11.515151515151507,8.924302788844624,1.0756972111553769,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
4,81.5562376940919,74.44420454545457,603122,合富中国,bottom_area,2022-04-13,14.11,2022-04-13,14.08,0.2130681818181773,5.610795454545448,27.46007212776919,False,-5.5556,18.0926,1,1,1,100.0,72.1590909090909,72.1590909090909,9.786931818181824,0.2130681818181773,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
5,81.51082701930925,76.72473509857295,688221,前沿生物,bottom_area,2022-04-13,15.63,2022-04-13,15.35,1.8241042345276948,4.16938110749186,29.58715596330276,False,-2.0677,1.9569,2,2,2,100.0,15.288670716645669,15.615615615615624,8.175895765472307,1.8241042345276948,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
6,79.09114645103325,71.90104222821205,300490,华自科技,bottom_area,2022-04-13,12.34,2022-04-13,12.34,0.0,4.294975688816851,28.380731282646547,False,-4.7104,1.6945,2,2,2,100.0,29.306678646301293,32.06349206349206,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
7,78.57910752508101,74.7816041874377,000863,三湘印象,bottom_area,2022-04-13,3.84,2022-04-13,3.75,2.3999999999999964,8.800000000000002,28.57142857142857,False,-7.6923,6.734,2,2,2,100.0,22.116151545363905,25.588235294117638,7.600000000000004,2.3999999999999964,历史2/2次成功; 当前距低点2.40%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
8,78.24158330494848,73.33035812672173,300432,富临精工,bottom_area,2022-04-13,18.44,2022-04-13,18.15,1.5977961432507035,4.462809917355385,27.341873498799046,False,-2.2269,1.4356,1,1,1,100.0,10.931899641577065,10.931899641577065,8.402203856749296,1.5977961432507035,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
9,78.12100646352728,71.39666666666669,000889,中嘉博创,bottom_area,2022-04-13,3.61,2022-04-13,3.6,0.27777777777777185,5.555555555555548,27.85571142284569,False,-5.9896,3.616,1,1,1,100.0,34.408602150537625,34.408602150537625,9.722222222222229,0.27777777777777185,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-5.99%; 状态bottom_area; 底部未确认
10,78.05935820999328,71.66466502329891,603348,文灿股份,bottom_area,2022-04-13,29.25,2022-04-13,29.1,0.5154639175257684,5.8075601374570365,31.384107521810883,False,-4.8471,1.6008,2,2,2,100.0,22.096358899234726,31.539888682745836,9.484536082474232,0.5154639175257684,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
11,77.95699781124974,71.08783611886503,002474,榕基软件,bottom_area,2022-04-13,6.23,2022-04-12,6.22,0.16077170418007516,3.2154340836012896,31.11849390919158,False,-2.8081,1.9192,1,1,1,100.0,21.0989010989011,21.0989010989011,9.839228295819925,0.16077170418007516,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
12,77.61690228892517,71.28137883012093,300746,汉嘉数智,bottom_area,2022-04-13,13.22,2022-04-13,13.15,0.5323193916349831,7.984790874524707,32.21649484536081,False,-7.0977,3.7605,1,1,1,100.0,36.90896259703598,36.90896259703598,9.467680608365017,0.5323193916349831,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
13,77.56001952131423,70.59662513317804,300435,中泰股份,bottom_area,2022-04-13,15.4,2022-04-13,15.39,0.06497725795971271,3.3788174139051304,29.306384933394575,False,-4.0498,2.0917,1,1,1,100.0,27.498781082398814,27.498781082398814,9.935022742040287,0.06497725795971271,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
14,77.43315444087253,72.83316506814741,300364,中文在线,bottom_area,2022-04-13,10.26,2022-04-13,10.08,1.785714285714283,9.126984126984127,29.411764705882348,False,-8.5561,9.309,1,1,1,100.0,20.7773851590106,20.7773851590106,8.214285714285719,1.785714285714283,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-8.56%; 状态bottom_area; 底部未确认
15,77.3049209439491,72.72784062652676,300471,厚普股份,bottom_area,2022-04-13,18.13,2022-04-11,17.81,1.7967434025828206,5.9517125210556,28.731492597038816,False,-3.7686,2.3553,1,1,1,100.0,20.346320346320343,20.346320346320343,8.20325659741718,1.7967434025828206,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
16,77.11113993319678,70.8419415646442,603351,威尔药业,bottom_area,2022-04-13,23.73,2022-04-13,23.6,0.5508474576271144,6.228813559322028,32.97358704913377,False,-4.3145,1.0193,2,2,2,100.0,18.106848215236642,22.528735632183903,9.449152542372886,0.5508474576271144,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-4.31%; 状态bottom_area; 底部未确认
17,76.9136263243335,70.9397524350649,300393,中来股份,bottom_area,2022-04-13,13.3,2022-04-13,13.2,0.7575757575757683,9.393939393939396,28.182807399347116,False,-7.9585,6.1899,2,2,2,100.0,21.166801948051944,23.89610389610389,9.242424242424233,0.7575757575757683,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-7.96%; 状态bottom_area; 底部未确认
18,76.55137132993077,72.46164053285229,688225,亚信安全,bottom_area,2022-04-13,20.73,2022-04-12,20.3,2.11822660098522,5.024630541871919,28.293889085128924,False,-2.6761,3.2594,1,1,1,100.0,12.640845070422536,12.640845070422536,7.881773399014779,2.11822660098522,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
19,75.87231953261634,74.25529870129867,000875,电投绿能,bottom_area,2022-04-13,6.98,2022-04-12,6.72,3.869047619047629,5.208333333333341,27.114967462039054,False,0.1435,2.1418,1,1,1,100.0,21.27272727272727,21.27272727272727,6.130952380952372,3.869047619047629,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
20,75.6574067265577,69.42073726574776,688008,澜起科技,bottom_area,2022-04-13,55.8,2022-04-13,55.53,0.4862236628849199,6.446965604177919,28.348387096774193,False,-4.1402,0.8564,1,1,1,100.0,26.340468909276254,26.340468909276254,9.51377633711508,0.4862236628849199,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
21,75.10109864242467,70.91425171501714,688131,皓元医药,bottom_area,2022-04-13,142.02,2022-04-13,139.25,1.989228007181336,4.7684021543985535,27.39833159541189,False,-3.3615,2.715,1,1,1,100.0,12.955331028981659,12.955331028981659,8.010771992818665,1.989228007181336,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
22,75.0040292691847,68.5187512816362,002196,方正电机,bottom_area,2022-04-13,7.85,2022-04-13,7.83,0.25542784163473276,4.725415070242646,30.338078291814945,False,-3.681,1.8486,1,1,1,100.0,18.661971830985923,18.661971830985923,9.744572158365267,0.25542784163473276,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
23,74.80535558685042,68.43510638644379,000788,北大医药,bottom_area,2022-04-13,9.11,2022-04-13,9.08,0.3303964757709181,4.074889867841401,29.5577967416602,False,-4.5073,5.1122,1,1,1,100.0,19.13123844731978,19.13123844731978,9.669603524229082,0.3303964757709181,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
