rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.55626678141135,76.71964285714286,600429,三元股份,bottom_area,2025-01-08,4.15,2025-01-06,3.99,4.010025062656645,6.265664160401002,31.79487179487179,False,0.9732,0.6907,1,1,1,100.0,36.25000000000001,36.25000000000001,15.989974937343357,4.010025062656645,历史1/1次成功; 当前距低点4.01%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
2,84.2466522714143,74.17325526932086,000949,新乡化纤,bottom_area,2025-01-08,3.77,2025-01-08,3.66,3.005464480874313,4.371584699453543,27.95275590551181,False,-1.5666,3.0214,1,1,1,100.0,32.718894009216584,32.718894009216584,16.994535519125687,3.005464480874313,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
3,84.05204286071452,73.48684194246829,000402,金融街,bottom_area,2025-01-08,3.13,2025-01-08,3.05,2.6229508196721336,4.918032786885258,30.995475113122172,False,-2.1875,1.0163,1,1,1,100.0,24.339622641509433,24.339622641509433,17.377049180327866,2.6229508196721336,历史1/1次成功; 当前距低点2.62%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
4,83.70027753770793,74.57571898013809,600231,凌钢股份,bottom_area,2025-01-08,1.7,2025-01-06,1.64,3.658536585365857,4.878048780487809,27.753303964757713,False,-1.1628,0.2859,2,2,2,100.0,26.221410724581972,29.302325581395344,16.341463414634145,3.658536585365857,历史2/2次成功; 当前距低点3.66%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
5,83.5396366787254,74.19404111517883,000567,海德股份,bottom_area,2025-01-08,6.24,2025-01-08,6.03,3.482587064676616,5.306799336650073,32.99999999999999,False,-1.7323,0.7511,1,1,1,100.0,38.67924528301886,38.67924528301886,16.517412935323385,3.482587064676616,历史1/1次成功; 当前距低点3.48%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
6,83.51210907496224,73.14081842061104,002246,北化股份,bottom_area,2025-01-08,9.45,2025-01-06,9.2,2.717391304347826,4.347826086956526,27.38752959747435,False,-1.1506,1.638,3,4,3,75.0,27.803605346903716,31.992687385740403,17.282608695652176,2.717391304347826,历史3/4次成功; 当前距低点2.72%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
7,82.62389467086955,73.2852815215721,300456,赛微电子,bottom_area,2025-01-08,16.37,2025-01-08,15.83,3.411244472520537,4.801010739102968,29.01345291479821,False,-1.7407,2.5938,1,1,1,100.0,32.91891891891892,32.91891891891892,16.588755527479464,3.411244472520537,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
8,82.56722818137492,75.06111652852266,002489,浙江永强,bottom_area,2025-01-08,3.08,2025-01-06,2.94,4.761904761904766,7.142857142857142,27.58620689655172,True,-0.9646,1.6661,1,1,1,100.0,49.82935153583616,49.82935153583616,15.238095238095234,4.761904761904766,历史1/1次成功; 当前距低点4.76%; 最新日涨幅-0.96%; 状态bottom_area; 底部已确认
9,81.55065941116366,71.27967721648683,605266,健之佳,bottom_area,2025-01-08,21.25,2025-01-08,20.71,2.607436021245771,3.5248672139063277,27.536738978306502,False,-0.7009,1.5729,4,6,4,66.66666666666666,34.50518644226089,55.413271245634455,17.39256397875423,2.607436021245771,历史4/6次成功; 当前距低点2.61%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
10,80.74672819733462,71.47073870573873,000839,国安股份,bottom_area,2025-01-08,2.82,2025-01-08,2.73,3.296703296703291,4.761904761904758,28.157894736842103,False,-0.7042,1.1384,1,1,1,100.0,21.75925925925925,21.75925925925925,16.70329670329671,3.296703296703291,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
11,80.29215172096957,71.14819586279133,002075,沙钢股份,bottom_area,2025-01-08,5.54,2025-01-08,5.36,3.358208955223875,8.395522388059689,29.842931937172768,False,-5.137,4.5363,1,1,1,100.0,30.994152046783608,30.994152046783608,16.641791044776127,3.358208955223875,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-5.14%; 状态bottom_area; 底部未确认
