rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.08076114962682,87.5221675249846,000619,海螺新材,bottom_area,2025-11-27,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,0.0,3.0708,4,4,4,100.0,30.81836553898465,43.133047210300425,7.0920840064620405,2.9079159935379595,历史4/4次成功; 当前距低点2.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,88.71573778689142,86.0862549036477,002160,常铝股份,bottom_area,2025-11-27,5.14,2025-11-24,4.97,3.420523138832997,8.249496981891351,28.386167146974074,True,0.7843,9.2273,3,3,3,100.0,36.855094947241525,40.066225165562926,6.579476861167004,3.420523138832997,历史3/3次成功; 当前距低点3.42%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
3,86.94478243572057,81.37237759128897,002208,合肥城建,bottom_area,2025-11-27,10.66,2025-11-26,10.5,1.5238095238095253,5.809523809523804,27.785419532324617,False,-0.0937,6.9292,3,3,3,100.0,19.92829734179937,27.071823204419903,8.476190476190476,1.5238095238095253,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
4,86.72436545911711,81.0917644666632,688050,爱博医疗,bottom_area,2025-11-27,60.51,2025-11-21,59.63,1.4757672312594257,3.2701660238135095,28.86794703566742,False,0.1987,0.6814,2,2,2,100.0,12.024267494272554,12.90770757525636,8.524232768740575,1.4757672312594257,历史2/2次成功; 当前距低点1.48%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
5,86.2231088051585,82.39314323181985,601127,赛力斯,bottom_area,2025-11-27,125.57,2025-11-24,122.37,2.6150200212470285,3.914358094304153,28.854651162790695,False,0.3757,0.9787,8,9,8,88.88888888888889,23.726702462585248,42.19143576826195,7.3849799787529715,2.6150200212470285,历史8/9次成功; 当前距低点2.62%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
6,84.91466590726209,78.67205492635114,000661,长春高新,bottom_area,2025-11-27,99.66,2025-11-24,98.68,0.9931090393190005,2.452371301175504,30.394300627777387,False,0.1004,0.9846,3,3,3,100.0,16.270664172034742,25.03526756324649,9.006890960681,0.9931090393190005,历史3/3次成功; 当前距低点0.99%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
7,84.85817274791675,82.06326446539953,002136,安纳达,bottom_area,2025-11-27,12.42,2025-11-24,12.03,3.2418952618453916,6.733167082294268,30.381944444444454,False,1.4706,5.3631,3,3,3,100.0,22.230030443048534,42.29299363057326,6.758104738154609,3.2418952618453916,历史3/3次成功; 当前距低点3.24%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
8,84.12982288362197,81.0420840902279,603178,圣龙股份,bottom_area,2025-11-27,18.32,2025-11-24,17.78,3.0371203599550007,4.049493813273334,27.694184627897517,False,1.2155,1.1928,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,6.962879640045,3.0371203599550007,历史6/7次成功; 当前距低点3.04%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
9,83.32061031370934,79.43413340054941,603197,保隆科技,bottom_area,2025-11-27,34.95,2025-11-21,34.1,2.4926686217008838,3.988269794721406,27.431368376250266,False,0.3445,0.8694,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,7.507331378299117,2.4926686217008838,历史5/6次成功; 当前距低点2.49%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
10,82.88818608139691,79.49639657033906,603151,邦基科技,bottom_area,2025-11-27,18.68,2025-11-21,18.17,2.8068244358833128,3.742432581177764,32.62884686688913,False,1.2466,1.5117,1,1,1,100.0,36.42987249544626,36.42987249544626,7.193175564116689,2.8068244358833128,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
11,81.44223358687384,78.57826269648865,603173,福斯达,bottom_area,2025-11-27,38.0,2025-11-24,36.85,3.1207598371777436,4.640434192673001,32.86573146292585,False,0.4759,1.9197,1,1,1,100.0,35.34190927555856,35.34190927555856,6.879240162822257,3.1207598371777436,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
