rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.77856456641254,79.28745789328198,300421,力星股份,bottom_area,2022-01-19,16.77,2022-01-19,16.48,1.7597087378640723,2.7912621359223353,27.400881057268716,False,-0.1786,2.087,2,2,2,100.0,28.27738610544126,43.59974009096816,6.240291262135927,1.7597087378640723,历史2/2次成功; 当前距低点1.76%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
2,80.83865746943808,79.69300223835717,601778,晶科科技,bottom_area,2022-01-19,7.29,2022-01-17,7.06,3.257790368271961,4.107648725212465,27.58974358974359,False,0.5517,1.623,2,2,2,100.0,26.348195043103452,42.344827586206904,4.7422096317280396,3.257790368271961,历史2/2次成功; 当前距低点3.26%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
3,79.01027982765838,78.40275016704534,300484,蓝海华腾,bottom_area,2022-01-19,14.97,2022-01-10,14.45,3.5986159169550267,5.813148788927335,29.580896686159846,False,0.3351,1.6614,2,2,2,100.0,23.589217514531214,28.708133971291865,4.401384083044974,3.5986159169550267,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,78.23582383749857,74.53719147962627,688286,敏芯股份,bottom_area,2022-01-19,77.37,2022-01-19,76.24,1.4821615949632867,4.144805876180497,28.41314553990611,False,-1.9143,2.5611,1,1,1,100.0,16.00279524807827,16.00279524807827,6.517838405036713,1.4821615949632867,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
5,77.87459010563155,75.75349232065325,300409,道氏技术,bottom_area,2022-01-19,22.4,2022-01-14,21.84,2.564102564102558,6.822344322344315,29.910141206675227,False,-2.2688,2.8586,1,1,1,100.0,35.80454928390903,35.80454928390903,5.435897435897442,2.564102564102558,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
6,76.0491347849259,74.15588127963031,688317,之江生物,bottom_area,2022-01-19,57.28,2022-01-19,55.78,2.689135891000358,5.754750806740769,29.712701612903224,False,-3.5528,10.6509,1,1,1,100.0,38.96296296296296,38.96296296296296,5.310864108999642,2.689135891000358,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
7,75.29019685536836,70.27415170564328,300595,欧普康视,bottom_area,2022-01-19,48.25,2022-01-19,48.05,0.4162330905307031,3.0801248699271677,27.570093457943933,False,-1.7912,1.4002,1,1,1,100.0,19.855715871254166,19.855715871254166,7.583766909469297,0.4162330905307031,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
8,74.65753246594666,70.4054002159222,300482,万孚生物,bottom_area,2022-01-19,44.56,2022-01-19,44.14,0.951517897598554,5.459900317172624,27.16171617161716,False,-2.1734,6.9204,2,2,2,100.0,10.456242056166142,10.99512874043146,7.048482102401446,0.951517897598554,历史2/2次成功; 当前距低点0.95%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
9,73.70076659324742,73.07599472990776,601218,吉鑫科技,bottom_area,2022-01-19,5.24,2022-01-19,5.06,3.5573122529644388,3.5573122529644388,28.63187588152328,False,0.3831,3.0852,1,1,1,100.0,11.111111111111114,11.111111111111114,4.442687747035561,3.5573122529644388,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
10,71.83407393715343,66.51303142329022,603333,尚纬股份,bottom_area,2022-01-19,9.93,2022-01-19,9.93,0.0,0.0,28.458213256484154,False,-9.9728,0.4036,1,1,1,100.0,17.005545286506468,17.005545286506468,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
11,71.23823698592219,71.69211512484203,601126,四方股份,confirmed_rebound,2022-01-19,18.07,2022-01-11,17.32,4.330254041570439,9.69976905311778,30.21756647864625,True,-3.369,2.9958,1,1,1,100.0,46.85534591194968,46.85534591194968,3.6697459584295613,4.330254041570439,历史1/1次成功; 当前距低点4.33%; 最新日涨幅-3.37%; 状态confirmed_rebound; 底部已确认
