rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.48079196807183,78.14262908455974,000917,电广传媒,bottom_area,2024-04-01,6.58,2024-03-29,6.33,3.949447077409163,4.423380726698266,30.970556161395855,False,1.3867,6.0565,1,1,1,100.0,43.157894736842124,43.157894736842124,11.050552922590837,3.949447077409163,历史1/1次成功; 当前距低点3.95%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
2,74.56665498067959,70.97441231941846,688048,长光华芯,bottom_area,2024-04-01,42.4,2024-03-29,40.44,4.846686449060339,6.676557863501491,29.114811568799297,False,1.6543,3.5713,3,4,3,75.0,19.78417969503248,23.810089020771517,10.15331355093966,4.846686449060339,历史3/4次成功; 当前距低点4.85%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
3,71.17325090909092,66.89215311004786,000893,亚钾国际,bottom_area,2024-04-01,18.75,2024-04-01,18.0,4.166666666666666,4.777777777777774,28.57142857142857,False,-3.6485,7.0449,1,1,1,100.0,18.02232854864435,18.02232854864435,10.833333333333334,4.166666666666666,历史1/1次成功; 当前距低点4.17%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
4,68.21119225493469,63.74321903401496,300454,深信服,bottom_area,2024-04-01,63.23,2024-03-29,60.88,3.8600525624178617,4.2378449408672765,28.620002344940794,False,1.9839,2.5535,2,4,2,50.0,22.979241270579003,29.49391262831224,11.139947437582137,3.8600525624178617,历史2/4次成功; 当前距低点3.86%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
5,67.07455449689455,62.39170605250851,688220,翱捷科技,bottom_area,2024-04-01,40.45,2024-03-29,39.04,3.6116803278688616,6.557377049180333,27.970479704797054,False,-1.7011,2.0227,2,4,2,50.0,35.14159784972857,45.103092783505154,11.388319672131137,3.6116803278688616,历史2/4次成功; 当前距低点3.61%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
