rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
62,75.46420616538657,70.21662450609558,603070,万控智造,bottom_area,2023-08-28,15.8,2023-08-28,15.76,0.25380710659899064,6.47208121827412,29.955555555555556,False,-0.6914,3.1219,1,1,1,100.0,17.555401662049874,17.555401662049874,7.746192893401009,0.25380710659899064,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
63,75.29123063666268,70.63552474148305,000977,浪潮信息,bottom_area,2023-08-28,36.91,2023-08-28,36.66,0.6819421713038735,7.637752318603394,31.386861313868618,False,-1.4156,6.5669,2,2,2,100.0,8.388994043311252,8.391304347826086,7.318057828696127,0.6819421713038735,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
64,74.56551954776361,73.59575196450866,688207,格灵深瞳,confirmed_rebound,2023-08-28,19.61,2023-08-25,18.98,3.3192834562697526,8.851422550052686,28.241965973534967,True,2.5091,3.3682,1,1,1,100.0,12.009237875288688,12.009237875288688,4.680716543730248,3.3192834562697526,历史1/1次成功; 当前距低点3.32%; 最新日涨幅2.51%; 状态confirmed_rebound; 底部已确认
65,74.5074789893065,69.09695101428878,300438,鹏辉能源,confirmed_rebound,2023-08-28,36.78,2023-08-28,36.75,0.08163265306122758,8.571428571428568,32.25806451612903,False,-2.3108,2.9982,1,1,1,100.0,19.640179910044974,19.640179910044974,7.918367346938772,0.08163265306122758,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.31%; 状态confirmed_rebound; 底部未确认
66,74.00032715518348,68.62063828615487,002213,大为股份,confirmed_rebound,2023-08-28,12.98,2023-08-28,12.97,0.07710100231302842,9.175019275250575,29.357298474945527,False,-1.5921,2.2691,1,1,1,100.0,17.02380952380952,17.02380952380952,7.922898997686972,0.07710100231302842,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-1.59%; 状态confirmed_rebound; 底部未确认
67,73.77773294853617,69.41865006919137,002436,兴森科技,confirmed_rebound,2023-08-28,10.88,2023-08-28,10.79,0.834105653382777,8.433734939759038,27.340067340067343,False,-0.9107,2.8197,1,1,1,100.0,30.59360730593607,30.59360730593607,7.165894346617223,0.834105653382777,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-0.91%; 状态confirmed_rebound; 底部未确认
68,73.04750978959107,68.92048548046331,688277,天智航,confirmed_rebound,2023-08-28,13.44,2023-08-23,13.31,0.9767092411720435,8.489857250187821,29.088971763452314,True,-0.4444,1.6218,1,1,1,100.0,20.469798657718112,20.469798657718112,7.023290758827956,0.9767092411720435,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.44%; 状态confirmed_rebound; 底部已确认
69,72.7225593203377,73.57398149614211,688115,思林杰,confirmed_rebound,2023-08-28,30.21,2023-08-15,28.88,4.605263157894743,12.188365650969528,27.345911949685537,True,-0.5596,1.0447,3,3,3,100.0,16.79559944162432,23.658728081654015,3.3947368421052566,4.605263157894743,历史3/3次成功; 当前距低点4.61%; 最新日涨幅-0.56%; 状态confirmed_rebound; 底部已确认
70,72.66233679987805,67.95764446827502,300671,富满微,confirmed_rebound,2023-08-28,30.9,2023-08-28,30.74,0.5204944697462595,8.815875081327276,28.445065176908756,False,-1.0883,1.8245,1,1,1,100.0,18.894472361809044,18.894472361809044,7.479505530253741,0.5204944697462595,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.09%; 状态confirmed_rebound; 底部未确认
71,72.22353100388293,69.04635413928315,301337,亚华电子,confirmed_rebound,2023-08-28,33.05,2023-08-28,32.51,1.6610273761919383,16.579513995693635,27.40062527914248,False,-5.4093,38.5855,1,1,1,100.0,9.104820198928845,9.104820198928845,6.338972623808062,1.6610273761919383,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-5.41%; 状态confirmed_rebound; 底部未确认
72,72.05443119950267,67.62306251177456,688339,亿华通,confirmed_rebound,2023-08-28,51.75,2023-08-28,51.39,0.700525394045533,10.293831484724652,27.363957597173144,False,-3.5055,2.118,2,2,2,100.0,12.850862420421358,14.0971239981141,7.299474605954467,0.700525394045533,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-3.51%; 状态confirmed_rebound; 底部未确认
73,71.65352782493312,67.56192701152489,603255,鼎际得,confirmed_rebound,2023-08-28,36.38,2023-08-22,36.04,0.9433962264151039,10.155382907880144,31.063504208110178,True,-2.571,2.0557,1,1,1,100.0,12.757367783609205,12.757367783609205,7.0566037735848965,0.9433962264151039,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-2.57%; 状态confirmed_rebound; 底部已确认
74,71.18905726782624,66.02823008849556,603076,乐惠国际,confirmed_rebound,2023-08-28,33.93,2023-08-28,33.9,0.0884955752212423,8.584070796460189,27.22198368398454,False,-3.1125,2.0358,1,1,1,100.0,13.440860215053762,13.440860215053762,7.911504424778758,0.0884955752212423,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-3.11%; 状态confirmed_rebound; 底部未确认
75,69.06700253164558,63.950928270042205,301396,宏景科技,confirmed_rebound,2023-08-28,32.18,2023-08-28,32.18,0.0,17.89931634555624,27.3589164785553,False,-9.3521,38.0726,1,1,1,100.0,13.445850914205348,13.445850914205348,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.35%; 状态confirmed_rebound; 底部未确认
76,69.03837003683995,63.92441670077773,603308,应流股份,confirmed_rebound,2023-08-28,12.9,2023-08-28,12.9,0.0,11.240310077519373,30.270270270270267,False,-4.7267,2.1736,1,1,1,100.0,13.303315595579207,13.303315595579207,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.73%; 状态confirmed_rebound; 底部未确认
77,68.9534297329585,65.01071622251591,301360,荣旗科技,confirmed_rebound,2023-08-28,72.01,2023-08-28,71.34,0.9391645640594362,8.536585365853663,27.84464448265399,False,-0.2908,4.9703,1,1,1,100.0,8.18285714285714,8.18285714285714,7.0608354359405645,0.9391645640594362,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-0.29%; 状态confirmed_rebound; 底部未确认
78,63.66530058349036,59.20433079739769,688202,美迪西,confirmed_rebound,2023-08-28,71.55,2023-08-28,71.39,0.22412102535368622,14.848017929682019,27.808676307007786,False,-6.8238,3.969,2,3,2,66.66666666666666,17.304624024394695,23.795418261555337,7.7758789746463135,0.22412102535368622,历史2/3次成功; 当前距低点0.22%; 最新日涨幅-6.82%; 状态confirmed_rebound; 底部未确认
79,53.87892338569609,54.619116882242324,002410,广联达,bottom_area,2023-08-28,23.79,2023-08-25,22.72,4.709507042253523,7.746478873239444,31.338773043215483,True,3.7958,2.8076,1,2,1,50.0,8.47738139021699,8.47738139021699,3.2904929577464777,4.709507042253523,历史1/2次成功; 当前距低点4.71%; 最新日涨幅3.80%; 状态bottom_area; 底部已确认
80,49.980876470622434,46.438800142677586,300458,全志科技,confirmed_rebound,2023-08-28,22.33,2023-08-28,22.29,0.1794526693584529,8.838043965904003,29.350237717908083,False,-0.9317,2.4033,1,3,1,33.33333333333333,10.132359653126422,10.132359653126422,7.820547330641547,0.1794526693584529,历史1/3次成功; 当前距低点0.18%; 最新日涨幅-0.93%; 状态confirmed_rebound; 底部未确认
