rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.77629886767514,81.71765532010971,002690,美亚光电,bottom_area,2023-05-16,24.0,2023-05-15,23.65,1.4799154334038116,2.1564482029598375,28.765060240963862,False,-0.4975,0.5403,3,3,3,100.0,21.246572625109707,27.355278093076052,6.520084566596189,1.4799154334038116,历史3/3次成功; 当前距低点1.48%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
2,85.61959858266286,83.78373584239976,601369,陕鼓动力,bottom_area,2023-05-16,9.31,2023-05-10,9.05,2.872928176795577,4.972375690607726,32.31114435302916,False,0.0,0.8429,3,3,3,100.0,26.957054223084292,55.572755417956664,5.127071823204423,2.872928176795577,历史3/3次成功; 当前距低点2.87%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,83.8179961145646,84.02769088683117,688075,安旭生物,bottom_area,2023-05-16,67.32,2023-05-10,64.65,4.129930394431535,4.94972931167825,30.37906525953047,False,0.0,0.9444,5,5,5,100.0,27.010388097500325,40.134529147982065,3.870069605568465,4.129930394431535,历史5/5次成功; 当前距低点4.13%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,82.08680656984062,78.38149932884086,600203,福日电子,bottom_area,2023-05-16,5.72,2023-05-15,5.63,1.598579040852573,2.6642984014209654,28.824273072060684,False,-0.3484,0.8765,2,2,2,100.0,21.43150291389641,24.045801526717554,6.401420959147427,1.598579040852573,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
5,81.46187373783295,77.97291613452535,688289,圣湘生物,confirmed_rebound,2023-05-16,18.29,2023-04-26,17.98,1.7241379310344755,12.45828698553948,27.058823529411757,False,0.0547,0.6202,1,1,1,100.0,25.182530200451346,25.182530200451346,6.275862068965525,1.7241379310344755,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.05%; 状态confirmed_rebound; 底部未确认
6,81.45367365938186,80.42975353354507,688206,概伦电子,bottom_area,2023-05-16,27.21,2023-05-15,26.33,3.3421952145841343,5.089251804025839,28.6449864498645,False,0.8151,1.3587,2,2,2,100.0,31.34386356342422,39.570720968629594,4.657804785415866,3.3421952145841343,历史2/2次成功; 当前距低点3.34%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
7,81.36612111316954,77.79200000464385,002403,爱仕达,bottom_area,2023-05-16,7.94,2023-04-25,7.81,1.6645326504481535,7.298335467349568,28.545288197621225,True,-1.8541,0.6583,2,2,2,100.0,9.877066922933613,11.190233977619528,6.335467349551846,1.6645326504481535,历史2/2次成功; 当前距低点1.66%; 最新日涨幅-1.85%; 状态bottom_area; 底部已确认
8,81.2563799598872,78.22278869867164,688181,八亿时空,bottom_area,2023-05-16,33.81,2023-05-15,33.14,2.0217260108630106,3.198551599275806,29.157759726378796,False,-0.7631,0.6217,2,2,2,100.0,25.76518281418983,28.477257745550418,5.97827398913699,2.0217260108630106,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
9,81.21135595283184,77.41531020678923,300661,圣邦股份,bottom_area,2023-05-16,120.91,2023-05-15,119.11,1.5112081269414803,3.584921501133403,30.475134251692737,False,-1.1446,0.8685,1,1,1,100.0,31.832606108687024,31.832606108687024,6.488791873058519,1.5112081269414803,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
10,80.2870923397321,75.90703552708212,002383,合众思壮,bottom_area,2023-05-16,6.53,2023-05-15,6.46,1.0835913312693541,4.1795665634675,29.166666666666664,False,-2.099,0.9021,1,1,1,100.0,18.48184818481848,18.48184818481848,6.9164086687306465,1.0835913312693541,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
11,80.10213959918083,79.51394094236286,605305,中际联合,bottom_area,2023-05-16,32.66,2023-05-12,31.52,3.616751269035524,5.298223350253801,32.64957264957265,False,0.8025,2.352,3,3,3,100.0,13.118999117009956,15.395207931699245,4.3832487309644765,3.616751269035524,历史3/3次成功; 当前距低点3.62%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
