rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.39007198074881,89.74727723325988,000607,华媒控股,bottom_area,2025-08-01,4.75,2025-07-31,4.66,1.9313304721030013,2.145922746781108,29.924812030075188,False,1.4957,3.1811,4,4,4,100.0,30.810272632552305,59.82721382289418,6.068669527896999,1.9313304721030013,历史4/4次成功; 当前距低点1.93%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
2,88.82561614840209,83.8994121332394,001298,好上好,bottom_area,2025-08-01,28.34,2025-08-01,28.05,1.033868092691619,1.426024955436715,27.481902792140637,False,0.2122,5.332,2,2,2,100.0,21.70231927191558,34.86910994764398,6.966131907308382,1.033868092691619,历史2/2次成功; 当前距低点1.03%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,88.5601418163087,84.33213864891061,002636,金安国纪,bottom_area,2025-08-01,11.84,2025-07-25,11.67,1.4567266495287055,7.112253641816624,29.698795180722897,True,-1.251,3.1046,2,2,2,100.0,42.49180327868853,69.0,6.543273350471295,1.4567266495287055,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-1.25%; 状态bottom_area; 底部已确认
4,88.18511686081199,84.91978673420341,002658,雪迪龙,bottom_area,2025-08-01,8.01,2025-08-01,7.85,2.038216560509556,2.292993630573245,31.50087260034905,False,1.6497,4.2083,3,3,3,100.0,22.83290587185592,34.81481481481481,5.9617834394904445,2.038216560509556,历史3/3次成功; 当前距低点2.04%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
5,85.32935938326905,79.17468087032289,001226,拓山重工,bottom_area,2025-08-01,36.74,2025-08-01,36.7,0.10899182561307669,6.076294277929146,29.45021145713187,False,-8.15,9.7732,4,4,4,100.0,24.15689372430483,41.451766953199616,7.891008174386924,0.10899182561307669,历史4/4次成功; 当前距低点0.11%; 最新日涨幅-8.15%; 状态bottom_area; 底部未确认
6,84.56026659950493,79.66813061692568,002246,北化股份,bottom_area,2025-08-01,16.78,2025-08-01,16.63,0.9019843656043424,2.1647624774503873,29.771959459459463,False,-0.886,3.7706,5,5,5,100.0,26.315349303782714,31.992687385740403,7.098015634395657,0.9019843656043424,历史5/5次成功; 当前距低点0.90%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
7,83.91400711060334,80.68654529865707,600241,时代万恒,bottom_area,2025-08-01,8.32,2025-07-15,8.16,1.960784313725492,4.779411764705889,30.25641025641025,False,0.4831,1.6651,2,2,2,100.0,15.79104050511391,22.50673854447439,6.039215686274509,1.960784313725492,历史2/2次成功; 当前距低点1.96%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
8,83.74612771207734,81.30692010881297,000637,茂化实华,bottom_area,2025-08-01,4.16,2025-07-07,4.06,2.4630541871921316,7.142857142857144,27.370304114490168,True,1.9608,2.9721,2,2,2,100.0,16.089697073177668,22.627737226277358,5.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅1.96%; 状态bottom_area; 底部已确认
9,83.72009945935284,80.81421024403323,603022,新通联,bottom_area,2025-08-01,10.39,2025-07-24,10.17,2.163225172074736,2.654867256637164,32.33532934131736,False,0.9718,4.8042,2,2,2,100.0,18.958944281524914,26.099706744868023,5.8367748279252645,2.163225172074736,历史2/2次成功; 当前距低点2.16%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
10,82.1494005290383,76.68832751606342,605033,美邦股份,bottom_area,2025-08-01,21.3,2025-08-01,21.21,0.4243281471004236,1.9801980198019715,31.80064308681672,False,0.1881,2.5673,1,1,1,100.0,31.96664350243223,31.96664350243223,7.575671852899577,0.4243281471004236,历史1/1次成功; 当前距低点0.42%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
11,80.51032564915201,75.20647067830821,300651,金陵体育,confirmed_rebound,2025-08-01,21.95,2025-08-01,21.85,0.4576659038901504,16.70480549199084,27.045075125208673,False,-17.4191,35.4771,5,5,5,100.0,17.311553436439517,25.720461095100855,7.54233409610985,0.4576659038901504,历史5/5次成功; 当前距低点0.46%; 最新日涨幅-17.42%; 状态confirmed_rebound; 底部未确认
12,80.35481795963848,75.6445204748566,603928,兴业股份,bottom_area,2025-08-01,15.25,2025-08-01,15.12,0.859788359788365,1.0582010582010593,32.16689098250337,False,0.263,1.353,1,1,1,100.0,31.69267707082834,31.69267707082834,7.140211640211636,0.859788359788365,历史1/1次成功; 当前距低点0.86%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
