rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.14717672012405,82.0840775558167,000572,海马汽车,bottom_area,2025-11-26,8.77,2025-11-24,8.51,3.055229142185661,14.218566392479445,29.260182876142977,True,-2.2297,17.8176,2,2,2,100.0,63.051887461022396,95.5116696588869,16.94477085781434,3.055229142185661,历史2/2次成功; 当前距低点3.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部已确认
2,92.51102725138391,79.67499016225963,603178,圣龙股份,bottom_area,2025-11-26,18.1,2025-11-24,17.78,1.7997750281214864,3.712035995500563,27.694184627897517,False,-1.0929,1.0509,1,1,1,100.0,47.51869476546566,47.51869476546566,18.200224971878516,1.7997750281214864,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
3,91.61642436013747,78.82644693997489,002136,安纳达,bottom_area,2025-11-26,12.24,2025-11-24,12.03,1.745635910224446,6.733167082294268,30.381944444444454,False,-2.1583,5.3058,1,1,1,100.0,42.29299363057326,42.29299363057326,18.254364089775553,1.745635910224446,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
4,90.5777731830654,77.00147079521464,600104,上汽集团,bottom_area,2025-11-26,14.86,2025-11-21,14.7,1.0884353741496609,2.108843537414969,28.74454677653902,False,-0.4021,0.2732,1,1,1,100.0,24.425287356321842,24.425287356321842,18.911564625850342,1.0884353741496609,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
5,89.47133102459988,76.46985289147848,603366,日出东方,bottom_area,2025-11-26,9.54,2025-11-24,9.41,1.3815090329436663,4.463336875664186,29.776119402985074,False,-2.0534,4.9552,1,1,1,100.0,25.15964240102172,25.15964240102172,18.618490967056335,1.3815090329436663,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
6,89.06482724143738,76.50394669160625,600506,统一股份,bottom_area,2025-11-26,25.8,2025-11-24,25.38,1.6548463356974064,6.343577620173363,30.46575342465754,False,-2.3097,13.6285,1,1,1,100.0,28.69352869352869,28.69352869352869,18.345153664302593,1.6548463356974064,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
7,88.77856686689287,76.12654888344679,003038,鑫铂股份,bottom_area,2025-11-26,15.62,2025-11-24,15.38,1.5604681404421223,3.7061118335500547,28.76331635016211,False,-1.6992,1.9951,1,1,1,100.0,25.507614213197975,25.507614213197975,18.439531859557878,1.5604681404421223,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
8,87.8147339476657,73.5750908198331,000803,山高环能,bottom_area,2025-11-26,6.81,2025-11-26,6.79,0.2945508100147212,3.0927835051546384,29.1970802919708,False,-2.2956,2.9939,1,1,1,100.0,36.1111111111111,36.1111111111111,19.70544918998528,0.2945508100147212,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
9,87.42824985628617,76.42853518461766,002160,常铝股份,bottom_area,2025-11-26,5.1,2025-11-24,4.97,2.6156941649899377,5.231388329979893,28.386167146974074,False,-1.7341,5.2115,1,1,1,100.0,40.066225165562926,40.066225165562926,17.384305835010064,2.6156941649899377,历史1/1次成功; 当前距低点2.62%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
10,87.35738486665478,75.5496283783784,601279,英利汽车,bottom_area,2025-11-26,4.53,2025-11-25,4.44,2.0270270270270236,5.63063063063063,30.18867924528302,False,-1.3072,3.6743,1,1,1,100.0,28.125000000000007,28.125000000000007,17.97297297297298,2.0270270270270236,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
11,86.85390853897582,76.33269831584933,000619,海螺新材,bottom_area,2025-11-26,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,-0.313,3.7817,1,1,1,100.0,43.133047210300425,43.133047210300425,17.09208400646204,2.9079159935379595,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
