rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.0519868849453,80.26717086165091,601777,千里科技,bottom_area,2023-09-08,3.65,2023-08-25,3.56,2.5280898876404456,8.146067415730338,27.93522267206478,True,0.2747,0.5046,1,1,1,100.0,27.96352583586626,27.96352583586626,12.471910112359554,2.5280898876404456,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
2,87.12185591186096,78.42602146237476,300561,汇金科技,bottom_area,2023-09-08,13.19,2023-09-08,12.95,1.853281853281855,3.0115830115830162,29.886302111532213,False,-0.6029,6.0624,2,2,2,100.0,24.79303273041607,27.62128325508607,13.146718146718145,1.853281853281855,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
3,85.10629838670216,75.31089461082998,002755,奥赛康,bottom_area,2023-09-08,7.55,2023-08-24,7.48,0.9358288770053396,6.550802139037423,32.97491039426523,False,0.1326,0.1336,1,1,1,100.0,30.831099195710454,30.831099195710454,14.06417112299466,0.9358288770053396,历史1/1次成功; 当前距低点0.94%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,83.7860807786502,78.950605607889,000411,英特集团,bottom_area,2023-09-08,11.87,2023-08-24,11.38,4.305799648506137,9.490333919156415,27.974683544303797,True,-0.0842,1.5782,3,3,3,100.0,31.816283905822544,47.98426745329401,10.694200351493862,4.305799648506137,历史3/3次成功; 当前距低点4.31%; 最新日涨幅-0.08%; 状态bottom_area; 底部已确认
5,80.05631823259134,70.50849251603707,603106,恒银科技,bottom_area,2023-09-08,7.37,2023-09-08,7.32,0.683060109289615,6.284153005464479,28.585365853658534,False,-7.1788,9.2303,1,1,1,100.0,34.60144927536232,34.60144927536232,14.316939890710383,0.683060109289615,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
6,77.88538960613386,70.97361148467918,688248,南网科技,bottom_area,2023-09-08,29.83,2023-08-25,29.1,2.508591065292085,9.175257731958757,32.29409027454629,True,-0.6329,1.4977,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,12.491408934707914,2.508591065292085,历史2/3次成功; 当前距低点2.51%; 最新日涨幅-0.63%; 状态bottom_area; 底部已确认
7,76.8797515523825,69.31830028434146,002386,天原股份,bottom_area,2023-09-08,5.78,2023-08-31,5.67,1.9400352733686126,5.996472663139327,31.604342581423396,False,-0.6873,0.338,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,13.059964726631387,1.9400352733686126,历史2/3次成功; 当前距低点1.94%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
8,61.981894749190175,57.00701224797437,601778,晶科科技,bottom_area,2023-09-08,3.77,2023-08-29,3.66,3.005464480874313,7.377049180327869,28.79377431906614,True,-1.0499,1.5061,1,3,1,33.33333333333333,42.344827586206904,42.344827586206904,11.994535519125685,3.005464480874313,历史1/3次成功; 当前距低点3.01%; 最新日涨幅-1.05%; 状态bottom_area; 底部已确认
9,61.63201906837909,54.5789430894309,002069,獐子岛,bottom_area,2023-09-08,4.14,2023-09-08,4.1,0.9756097560975618,1.4634146341463536,27.561837455830396,False,0.2421,1.4462,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,14.024390243902438,0.9756097560975618,历史1/3次成功; 当前距低点0.98%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
10,60.97845214624614,57.704573922557636,000572,海马汽车,bottom_area,2023-09-08,4.38,2023-08-29,4.19,4.534606205250585,11.455847255369916,31.42389525368248,True,0.0,1.5536,1,2,1,50.0,22.92191435768261,22.92191435768261,10.465393794749414,4.534606205250585,历史1/2次成功; 当前距低点4.53%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
11,51.46340482389915,49.00986936381677,688185,康希诺,bottom_area,2023-09-08,72.5,2023-08-29,69.13,4.874873426876905,9.764212353536815,29.61718590918347,True,0.4294,0.7861,1,6,1,16.666666666666664,19.236097367900253,19.236097367900253,10.125126573123094,4.874873426876905,历史1/6次成功; 当前距低点4.87%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
