rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.92667791172764,75.75587336468632,002219,新里程,bottom_area,2024-08-23,1.7,2024-08-23,1.69,0.5917159763313614,2.3668639053254457,29.288702928870297,False,-0.5848,0.6984,2,2,2,100.0,34.81175156302061,45.685279187817265,19.40828402366864,0.5917159763313614,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
2,89.70857789727886,79.29306562425965,603367,辰欣药业,bottom_area,2024-08-23,13.14,2024-07-30,12.73,3.2207384131971732,9.112333071484683,27.048710601719193,True,0.0,0.4775,1,1,1,100.0,31.216931216931226,31.216931216931226,16.77926158680283,3.2207384131971732,历史1/1次成功; 当前距低点3.22%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,89.38933428403459,77.24224150007582,002715,登云股份,bottom_area,2024-08-23,9.78,2024-08-23,9.59,1.981230448383728,3.232533889468201,31.45103645461044,False,-1.1122,1.8962,1,1,1,100.0,36.66369313113291,36.66369313113291,18.018769551616273,1.981230448383728,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
4,89.07816298683416,74.63723934472821,001218,丽臣实业,bottom_area,2024-08-23,13.5,2024-08-23,13.46,0.29717682020801744,2.0802377414561612,32.02020202020202,False,-1.3879,0.7072,2,2,2,100.0,25.18711018711019,29.999999999999993,19.702823179791984,0.29717682020801744,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
5,85.1823393153435,71.23261824279597,603079,圣达生物,bottom_area,2024-08-23,10.56,2024-08-23,10.54,0.18975332068312478,2.4667931688804705,27.808219178082194,False,-2.2222,1.945,1,1,1,100.0,22.232558139534888,22.232558139534888,19.810246679316876,0.18975332068312478,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
6,83.14342165305199,70.38251377456389,301333,诺思格,bottom_area,2024-08-23,38.84,2024-08-23,38.51,0.8569202804466513,1.9735133731498447,27.17473524962179,False,-0.6395,0.847,1,1,1,100.0,25.840279645065877,25.840279645065877,19.14307971955335,0.8569202804466513,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
7,82.91452523514062,70.43887528261503,000983,山西焦煤,bottom_area,2024-08-23,7.69,2024-08-21,7.61,1.0512483574244424,3.28515111695138,29.86175115207373,False,0.5229,0.4506,2,4,2,50.0,24.546889986789015,27.212389380530986,18.94875164257556,1.0512483574244424,历史2/4次成功; 当前距低点1.05%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
8,82.38812778139847,69.73412622486414,600011,华能国际,bottom_area,2024-08-23,7.12,2024-08-21,7.06,0.8498583569405169,2.4079320113314564,28.686868686868692,False,-1.2483,0.2599,1,1,1,100.0,22.267759562841515,22.267759562841515,19.150141643059484,0.8498583569405169,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
9,80.2973800508452,67.81211668928087,000906,浙商中拓,bottom_area,2024-08-23,5.54,2024-08-23,5.5,0.7272727272727278,4.727272727272724,32.680538555691555,False,-6.2606,1.4855,1,1,1,100.0,20.646766169154233,20.646766169154233,19.272727272727273,0.7272727272727278,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-6.26%; 状态bottom_area; 底部未确认
10,79.38818272638792,67.94804182779902,600343,航天动力,bottom_area,2024-08-23,7.65,2024-08-23,7.54,1.4588859416445665,3.183023872679048,32.67857142857142,False,-2.2989,1.8457,2,4,2,50.0,38.62527835886361,55.72413793103447,18.541114058355433,1.4588859416445665,历史2/4次成功; 当前距低点1.46%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
11,77.45643291833846,70.24997764681972,002674,兴业科技,bottom_area,2024-08-23,8.13,2024-08-21,7.77,4.633204633204649,6.30630630630631,31.72231985940247,False,-1.2151,0.5701,1,1,1,100.0,31.578947368421055,31.578947368421055,15.366795366795353,4.633204633204649,历史1/1次成功; 当前距低点4.63%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
12,72.0348393213889,61.35231805929917,603132,金徽股份,bottom_area,2024-08-23,11.05,2024-08-23,10.92,1.1904761904761978,2.1062271062271103,27.151434289526357,False,-0.1807,0.9037,1,2,1,50.0,33.20754716981132,33.20754716981132,18.809523809523803,1.1904761904761978,历史1/2次成功; 当前距低点1.19%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
13,69.98876667016656,60.14309547847937,300653,正海生物,bottom_area,2024-08-23,18.79,2024-08-23,18.48,1.6774891774891707,2.5974025974025996,27.071823204419886,False,0.3739,0.9563,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,18.32251082251083,1.6774891774891707,历史1/3次成功; 当前距低点1.68%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
14,69.64458495991506,59.332100777209575,002651,利君股份,bottom_area,2024-08-23,5.04,2024-08-23,4.98,1.2048192771084258,2.811244979919672,31.40495867768594,False,-0.9823,1.6361,1,3,1,33.33333333333333,41.96642685851319,41.96642685851319,18.795180722891576,1.2048192771084258,历史1/3次成功; 当前距低点1.20%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
15,68.09626598442628,56.981115626743176,000155,川能动力,bottom_area,2024-08-23,8.92,2024-08-23,8.9,0.22471910112359073,1.3483146067415641,29.08366533864542,False,-0.6682,0.3645,1,2,1,50.0,37.70685579196216,37.70685579196216,19.77528089887641,0.22471910112359073,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
16,67.98267873939626,58.15603188493237,000037,深南电A,bottom_area,2024-08-23,7.09,2024-08-23,6.99,1.4306151645207388,3.0042918454935617,27.7892561983471,False,-0.8392,1.4086,2,8,2,25.0,39.8001852690304,45.16765285996055,18.569384835479262,1.4306151645207388,历史2/8次成功; 当前距低点1.43%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
17,67.24957433013589,57.34381149490911,300639,凯普生物,bottom_area,2024-08-23,5.65,2024-08-23,5.58,1.2544802867383564,6.27240143369175,29.367088607594937,False,-2.2491,4.9978,1,4,1,25.0,33.27433628318583,33.27433628318583,18.745519713261643,1.2544802867383564,历史1/4次成功; 当前距低点1.25%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
18,66.67402983456856,55.93499876483013,688239,航宇科技,bottom_area,2024-08-23,27.47,2024-08-23,27.37,0.36536353671902766,2.1191085129703993,27.01333333333333,False,-1.009,1.2601,1,2,1,50.0,33.80660015349194,33.80660015349194,19.634636463280973,0.36536353671902766,历史1/2次成功; 当前距低点0.37%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
