rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.69771822697828,80.25085855031666,600104,上汽集团,bottom_area,2025-11-25,14.92,2025-11-21,14.7,1.4965986394557869,2.040816326530617,28.74454677653902,False,0.879,0.357,1,1,1,100.0,24.425287356321842,24.425287356321842,18.503401360544213,1.4965986394557869,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
2,92.98717289758687,80.19496255167103,605333,沪光股份,bottom_area,2025-11-25,28.8,2025-11-24,28.27,1.874778917580478,2.9006013441811116,29.112337011033105,False,0.5236,0.4036,1,1,1,100.0,28.76052948255115,28.76052948255115,18.125221082419525,1.874778917580478,历史1/1次成功; 当前距低点1.87%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
3,92.51140112544427,80.47983847283406,000803,山高环能,bottom_area,2025-11-25,6.97,2025-11-24,6.81,2.349486049926581,4.258443465491924,28.98852971845673,False,0.2878,2.6081,1,1,1,100.0,36.1111111111111,36.1111111111111,17.65051395007342,2.349486049926581,历史1/1次成功; 当前距低点2.35%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
4,92.4666179515538,81.29031074718651,603178,圣龙股份,bottom_area,2025-11-25,18.3,2025-11-24,17.78,2.92463442069741,3.712035995500563,27.694184627897517,False,0.882,1.3062,1,1,1,100.0,47.51869476546566,47.51869476546566,17.07536557930259,2.92463442069741,历史1/1次成功; 当前距低点2.92%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
5,92.214498633808,81.33783567134272,002825,纳尔股份,bottom_area,2025-11-25,10.29,2025-11-24,9.98,3.1062124248496867,4.008016032064131,27.046783625730992,False,2.6946,3.2356,1,1,1,100.0,89.24242424242425,89.24242424242425,16.893787575150316,3.1062124248496867,历史1/1次成功; 当前距低点3.11%; 最新日涨幅2.69%; 状态bottom_area; 底部未确认
6,90.23804660990587,79.77602626415306,000619,海螺新材,bottom_area,2025-11-25,6.39,2025-11-21,6.19,3.2310177705977265,6.1389337641357,27.85547785547785,False,1.7516,3.8975,1,1,1,100.0,43.133047210300425,43.133047210300425,16.768982229402273,3.2310177705977265,历史1/1次成功; 当前距低点3.23%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
7,87.80118528415598,77.88814823594484,600550,保变电气,bottom_area,2025-11-25,9.68,2025-11-24,9.36,3.4188034188034218,5.235042735042738,28.000000000000004,False,0.7284,4.7066,1,1,1,100.0,35.285053929121716,35.285053929121716,16.58119658119658,3.4188034188034218,历史1/1次成功; 当前距低点3.42%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
8,86.89226481582021,77.88923995743127,002136,安纳达,bottom_area,2025-11-25,12.51,2025-11-24,12.03,3.9900249376558645,6.733167082294268,30.381944444444454,False,3.6454,9.2631,1,1,1,100.0,42.29299363057326,42.29299363057326,16.009975062344136,3.9900249376558645,历史1/1次成功; 当前距低点3.99%; 最新日涨幅3.65%; 状态bottom_area; 底部未确认
9,86.1768818540123,76.3039481032127,003038,鑫铂股份,bottom_area,2025-11-25,15.89,2025-11-24,15.38,3.3159947984395304,3.641092327698301,28.76331635016211,False,1.2747,1.7065,1,1,1,100.0,25.507614213197975,25.507614213197975,16.68400520156047,3.3159947984395304,历史1/1次成功; 当前距低点3.32%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
10,85.3144596752548,75.80394428361447,603366,日出东方,bottom_area,2025-11-25,9.74,2025-11-24,9.41,3.506907545164719,4.463336875664186,29.776119402985074,False,0.4124,5.4524,1,1,1,100.0,25.15964240102172,25.15964240102172,16.49309245483528,3.506907545164719,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
11,84.64349828137243,76.47976254880274,002160,常铝股份,bottom_area,2025-11-25,5.19,2025-11-24,4.97,4.426559356136834,4.828973843058355,28.386167146974074,False,2.7723,7.0501,1,1,1,100.0,40.066225165562926,40.066225165562926,15.573440643863169,4.426559356136834,历史1/1次成功; 当前距低点4.43%; 最新日涨幅2.77%; 状态bottom_area; 底部未确认
12,84.49546214252383,76.06058527933787,002451,摩恩电气,bottom_area,2025-11-25,10.37,2025-11-24,9.95,4.221105527638191,6.231155778894483,28.571428571428577,False,3.493,12.5424,1,1,1,100.0,35.29411764705884,35.29411764705884,15.77889447236181,4.221105527638191,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.49%; 状态bottom_area; 底部未确认
