rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.19303761041294,78.88847103852805,002553,南方精工,confirmed_rebound,2023-07-07,14.72,2023-07-07,14.54,1.2379642365887311,8.459422283356261,32.59156235512286,False,-8.9109,49.2381,3,3,3,100.0,23.500158591130926,32.14285714285715,6.762035763411268,1.2379642365887311,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-8.91%; 状态confirmed_rebound; 底部未确认
2,82.11671408757188,79.31512955899636,300601,康泰生物,bottom_area,2023-07-07,25.14,2023-06-26,24.6,2.195121951219509,5.162601626016258,28.44677137870855,False,0.4796,0.6043,2,2,2,100.0,11.290363482671175,11.580726965342352,5.804878048780491,2.195121951219509,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
3,80.42434837319675,79.67362268861366,605266,健之佳,bottom_area,2023-07-07,61.3,2023-07-04,59.22,3.5123269165822326,5.369807497467072,32.11051243838129,False,-0.0815,0.4551,4,4,4,100.0,18.503914292586888,33.154615273148806,4.487673083417768,3.5123269165822326,历史4/4次成功; 当前距低点3.51%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
4,79.93376826353297,78.78338289307307,688236,春立医疗,bottom_area,2023-07-07,24.49,2023-06-28,23.72,3.2462057335581775,7.082630691399662,32.228571428571435,True,1.9567,1.8122,1,1,1,100.0,28.788881535407025,28.788881535407025,4.7537942664418225,3.2462057335581775,历史1/1次成功; 当前距低点3.25%; 最新日涨幅1.96%; 状态bottom_area; 底部已确认
5,79.43134814483494,77.31926061536116,688258,卓易信息,bottom_area,2023-07-07,62.38,2023-07-07,60.8,2.598684210526325,7.828947368421062,29.654055304871,False,-4.6906,2.9188,3,3,3,100.0,21.528282878285978,27.716894977168955,5.401315789473675,2.598684210526325,历史3/3次成功; 当前距低点2.60%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
6,79.2862872566711,77.09179237616866,000792,盐湖股份,bottom_area,2023-07-07,18.97,2023-05-30,18.5,2.5405405405405346,7.5675675675675595,29.49695121951219,True,-0.4722,0.2141,2,2,2,100.0,16.850671013984325,24.904214559386965,5.459459459459466,2.5405405405405346,历史2/2次成功; 当前距低点2.54%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
7,78.74946238150874,76.28273880657632,688156,路德科技,confirmed_rebound,2023-07-07,26.62,2023-07-03,26.01,2.3452518262206823,9.765474817377928,27.72992497916088,False,-1.3343,0.9731,2,2,2,100.0,29.515661130964897,44.22535211267606,5.654748173779318,2.3452518262206823,历史2/2次成功; 当前距低点2.35%; 最新日涨幅-1.33%; 状态confirmed_rebound; 底部未确认
8,78.68349585921463,76.5620012981051,002343,慈文传媒,bottom_area,2023-07-07,7.16,2023-07-07,6.98,2.5787965616045803,3.8681948424068704,29.280648429584588,False,-0.1395,4.5427,1,1,1,100.0,40.33149171270718,40.33149171270718,5.42120343839542,2.5787965616045803,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
9,78.44850456147707,72.94718285109063,300661,圣邦股份,bottom_area,2023-07-07,81.66,2023-07-03,81.48,0.2209131075110366,6.529209621993118,27.145922746781114,False,-2.0041,0.419,1,1,1,100.0,31.832606108687024,31.832606108687024,7.779086892488964,0.2209131075110366,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
10,78.4222885767601,77.83258210510029,002545,东方铁塔,bottom_area,2023-07-07,7.18,2023-06-26,6.93,3.6075036075036078,3.7518037518037617,27.58620689655173,False,0.7013,0.4673,2,2,2,100.0,20.63274371079842,28.468653648509758,4.392496392496392,3.6075036075036078,历史2/2次成功; 当前距低点3.61%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
11,77.79955809460486,77.48895518447085,002299,圣农发展,bottom_area,2023-07-07,19.16,2023-06-26,18.46,3.7919826652220974,5.579631635969651,27.00672202451561,False,1.9149,0.9325,2,2,2,100.0,21.046643339662563,26.73830594184577,4.208017334777903,3.7919826652220974,历史2/2次成功; 当前距低点3.79%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
