rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.08091520919615,84.6158815617793,688010,福光股份,bottom_area,2025-05-27,31.15,2025-05-27,30.8,1.1363636363636294,6.81818181818181,31.034482758620683,False,-5.5774,2.5792,4,4,4,100.0,26.1655411434859,42.08955223880597,8.86363636363637,1.1363636363636294,历史4/4次成功; 当前距低点1.14%; 最新日涨幅-5.58%; 状态bottom_area; 底部未确认
2,87.06791987184526,82.66848326257458,002490,山东墨龙,bottom_area,2025-05-27,4.04,2025-05-26,3.95,2.278481012658224,3.0379746835443067,28.828828828828822,False,0.0,2.8305,3,3,3,100.0,13.674300921695417,14.885496183206094,7.721518987341777,2.278481012658224,历史3/3次成功; 当前距低点2.28%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,85.64821822963037,80.95294728698522,002041,登海种业,bottom_area,2025-05-27,10.0,2025-05-26,9.8,2.0408163265306047,2.0408163265306047,27.72861356932153,False,0.9082,0.6481,2,2,2,100.0,18.2043468358871,21.395106715252467,7.959183673469396,2.0408163265306047,历史2/2次成功; 当前距低点2.04%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
4,85.46415567300527,79.12456102683866,002819,东方中科,bottom_area,2025-05-27,29.58,2025-05-27,29.3,0.9556313993173979,2.047781569965863,28.115799803729143,False,-1.4,6.1023,5,5,5,100.0,24.050540953130696,51.677148846960186,9.044368600682603,0.9556313993173979,历史5/5次成功; 当前距低点0.96%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
5,84.322679433705,77.19483516483517,600137,浪莎股份,bottom_area,2025-05-27,19.18,2025-05-27,19.11,0.36630036630036783,2.982731554160127,29.74264705882353,False,-4.5296,13.3458,2,2,2,100.0,67.2644771232335,120.42139384116692,9.633699633699633,0.36630036630036783,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
6,82.49332817596387,80.96636363636364,301058,中粮科工,bottom_area,2025-05-27,10.87,2025-04-30,10.45,4.019138755980861,8.038277511961722,29.77150537634409,True,0.0921,1.2248,1,1,1,100.0,57.794273594909875,57.794273594909875,5.980861244019139,4.019138755980861,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.09%; 状态bottom_area; 底部已确认
7,81.05611717669096,80.26210587896108,000576,甘化科工,bottom_area,2025-05-27,8.39,2025-05-23,8.03,4.483188044831896,8.34371108343711,27.527075812274376,True,-3.4522,6.3786,4,4,4,100.0,34.59018613536447,90.05145797598628,5.516811955168105,4.483188044831896,历史4/4次成功; 当前距低点4.48%; 最新日涨幅-3.45%; 状态bottom_area; 底部已确认
8,80.99456434779397,73.95044470526062,002304,洋河股份,bottom_area,2025-05-27,66.38,2025-05-27,66.23,0.2264834667069175,1.3136041069001816,30.284210526315785,False,-0.4798,0.2883,2,2,2,100.0,20.62810220081931,20.781426953567394,9.773516533293083,0.2264834667069175,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
9,80.07942292966577,73.25551267305609,300727,润禾材料,bottom_area,2025-05-27,27.6,2025-05-27,27.51,0.32715376226826554,2.5081788440566983,31.56716417910448,False,-2.2663,1.2734,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,9.672846237731735,0.32715376226826554,历史6/7次成功; 当前距低点0.33%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
10,79.64184112521085,74.31045314562255,002813,路畅科技,bottom_area,2025-05-27,23.04,2025-05-26,22.73,1.3638363396392377,3.739551253849529,29.409937888198762,False,-1.1583,5.3168,3,5,3,60.0,53.266653128562695,85.16388729154689,8.636163660360763,1.3638363396392377,历史3/5次成功; 当前距低点1.36%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
11,78.8158105138659,77.34560480273944,001299,美能能源,bottom_area,2025-05-27,10.89,2025-04-29,10.47,4.011461318051575,7.163323782234957,31.11842105263157,True,0.184,3.2613,2,2,2,100.0,13.772777461812025,15.247322794492616,5.988538681948426,4.011461318051575,历史2/2次成功; 当前距低点4.01%; 最新日涨幅0.18%; 状态bottom_area; 底部已确认
12,77.37839120533827,72.85878455730119,301339,通行宝,bottom_area,2025-05-27,16.04,2025-05-27,15.75,1.841269841269836,5.206349206349208,32.51928020565553,False,-1.836,10.9827,1,1,1,100.0,11.381074168797946,11.381074168797946,8.158730158730165,1.841269841269836,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
13,73.13731243191036,67.13200333230257,301392,汇成真空,bottom_area,2025-05-27,105.55,2025-05-27,105.02,0.5046657779470588,4.58007998476481,27.04918032786886,False,-3.8269,5.89,1,1,1,100.0,14.261512397967028,14.261512397967028,9.495334222052943,0.5046657779470588,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
14,66.42082158359682,63.65328735094693,002042,华孚时尚,bottom_area,2025-05-27,4.83,2025-05-27,4.7,2.765957446808508,3.404255319148939,27.469135802469136,False,1.046,2.256,1,2,1,50.0,42.41758241758243,42.41758241758243,7.234042553191493,2.765957446808508,历史1/2次成功; 当前距低点2.77%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
