rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.90909503500751,75.48219957499688,688289,圣湘生物,bottom_area,2021-09-03,68.38,2021-09-02,67.16,1.8165574746873123,3.3353186420488528,28.324439701173965,False,-0.0292,0.5,1,1,1,100.0,25.182530200451346,25.182530200451346,13.183442525312689,1.8165574746873123,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
2,81.19104586354175,76.33074359166348,300604,长川科技,bottom_area,2021-09-03,39.6,2021-09-03,38.01,4.183109707971595,5.367008681925807,31.265822784810126,False,1.4344,3.8309,1,1,1,100.0,36.28082648300379,36.28082648300379,10.816890292028404,4.183109707971595,历史1/1次成功; 当前距低点4.18%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
3,80.66726807512445,70.90511663069748,002455,百川股份,bottom_area,2021-09-03,17.45,2021-09-03,17.35,0.5763688760806793,9.625360230547539,28.688861487875037,False,-4.8009,15.0278,1,1,1,100.0,35.42600896860987,35.42600896860987,14.42363112391932,0.5763688760806793,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
4,66.66018969770178,59.10837873351191,300722,新余国科,bottom_area,2021-09-03,42.54,2021-09-03,42.1,1.0451306413301609,5.510688836104514,27.413793103448274,False,-2.8101,1.6986,1,2,1,50.0,19.361702127659576,19.361702127659576,13.95486935866984,1.0451306413301609,历史1/2次成功; 当前距低点1.05%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
