rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.48290524810511,73.62615452982207,002677,浙江美大,bottom_area,2022-10-26,10.43,2022-10-26,10.22,2.054794520547936,3.7181996086105578,31.82121414276184,False,-2.1576,0.9247,1,1,1,100.0,18.124118476727787,18.124118476727787,12.945205479452063,2.054794520547936,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
2,81.32535131344906,72.78810225256707,603366,日出东方,bottom_area,2022-10-26,7.23,2022-10-26,7.12,1.5449438202247237,3.51123595505618,27.568667344862664,False,-3.2129,6.4786,1,1,1,100.0,17.583732057416277,17.583732057416277,13.455056179775276,1.5449438202247237,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
3,81.03254844763184,73.0749060995818,603363,傲农生物,bottom_area,2022-10-26,13.6,2022-10-26,13.34,1.9490254872563704,6.821589205397302,28.124999999999993,False,-4.4944,6.6464,1,1,1,100.0,24.078947368421055,24.078947368421055,13.050974512743629,1.9490254872563704,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
4,80.01458400581967,75.11195631528966,600126,杭钢股份,bottom_area,2022-10-26,4.06,2022-10-11,3.9,4.102564102564095,7.179487179487174,31.698774080560423,True,0.995,0.2254,1,1,1,100.0,19.54732510288064,19.54732510288064,10.897435897435905,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
5,79.62936601155089,72.0319167988872,000813,德展健康,bottom_area,2022-10-26,3.38,2022-10-26,3.31,2.1148036253776388,7.552870090634441,31.469979296066253,False,-5.0562,7.0229,1,1,1,100.0,20.50359712230217,20.50359712230217,12.88519637462236,2.1148036253776388,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
6,79.33209272404258,73.80081978339777,002796,世嘉科技,bottom_area,2022-10-26,9.74,2022-10-26,9.4,3.617021276595743,5.957446808510643,27.075252133436774,False,-6.705,22.0345,2,2,2,100.0,31.7614424410541,36.33841886269071,11.382978723404257,3.617021276595743,历史2/2次成功; 当前距低点3.62%; 最新日涨幅-6.71%; 状态bottom_area; 底部未确认
7,76.11909320209874,71.20543077050402,603030,全筑股份,bottom_area,2022-10-26,2.92,2022-10-25,2.81,3.9145907473309567,4.62633451957295,27.577319587628864,False,-0.3413,3.7564,1,1,1,100.0,27.906976744186036,27.906976744186036,11.085409252669043,3.9145907473309567,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
8,73.84243860339409,65.59070477665378,000301,东方盛虹,bottom_area,2022-10-26,13.33,2022-10-26,13.18,1.1380880121396082,3.641881638846741,30.00531067445565,False,-1.1128,1.6381,2,4,2,50.0,22.019061528667194,28.337639965546952,13.861911987860392,1.1380880121396082,历史2/4次成功; 当前距低点1.14%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
9,66.20910865372176,62.08475065938786,601919,中远海控,bottom_area,2022-10-26,11.32,2022-10-10,10.88,4.044117647058819,8.915441176470578,28.13738441215323,True,0.2657,0.5814,1,2,1,50.0,40.45881126173098,40.45881126173098,10.955882352941181,4.044117647058819,历史1/2次成功; 当前距低点4.04%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
10,65.03574853146075,59.737717152795526,600346,恒力石化,bottom_area,2022-10-26,15.78,2022-10-25,15.33,2.935420743639917,3.848662752772341,28.994905048633623,False,1.2837,0.2997,1,2,1,50.0,23.443421765024375,23.443421765024375,12.064579256360082,2.935420743639917,历史1/2次成功; 当前距低点2.94%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
11,64.84913635861864,58.32035343035342,002693,双成药业,bottom_area,2022-10-26,7.91,2022-10-26,7.77,1.8018018018018092,14.800514800514804,32.90155440414508,False,-7.4854,27.8714,1,2,1,50.0,34.61538461538462,34.61538461538462,13.198198198198192,1.8018018018018092,历史1/2次成功; 当前距低点1.80%; 最新日涨幅-7.49%; 状态bottom_area; 底部未确认
