rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.49049039062709,77.77108686350023,600935,华塑股份,bottom_area,2023-06-12,3.73,2023-05-31,3.69,1.084010840108402,3.2520325203252063,27.788649706457928,False,-0.5333,0.2229,1,1,1,100.0,28.50877192982458,28.50877192982458,18.9159891598916,1.084010840108402,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
2,90.77986921192485,78.00289991145254,300363,博腾股份,bottom_area,2023-06-12,29.78,2023-06-08,29.29,1.6729259132809902,4.335950836462955,29.77703188683769,False,-0.3347,1.2713,1,1,1,100.0,36.97403760071621,36.97403760071621,18.327074086719012,1.6729259132809902,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
3,88.55306522744901,75.98350117908171,688289,圣湘生物,bottom_area,2023-06-12,17.18,2023-06-12,16.91,1.5966883500887024,2.069781194559441,31.399594320486813,False,-0.2323,0.7291,1,1,1,100.0,25.182530200451346,25.182530200451346,18.4033116499113,1.5966883500887024,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
4,88.2103011270742,77.49434150534027,600995,南网储能,bottom_area,2023-06-12,11.05,2023-06-07,10.74,2.886405959031662,3.910614525139664,32.7909887359199,False,0.0,1.1778,1,1,1,100.0,26.64165103189493,26.64165103189493,17.113594040968337,2.886405959031662,历史1/1次成功; 当前距低点2.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,87.86302386190597,76.9332629361082,002041,登海种业,bottom_area,2023-06-12,15.57,2023-06-07,15.16,2.7044854881266502,3.8918205804749335,28.49056603773585,False,1.5656,0.6564,1,1,1,100.0,21.395106715252467,21.395106715252467,17.29551451187335,2.7044854881266502,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
6,86.81000634634411,76.51788488782,600256,广汇能源,bottom_area,2023-06-12,7.39,2023-06-01,7.17,3.068340306834027,5.718270571827059,29.49852507374631,False,0.5442,0.7594,1,1,1,100.0,23.62204724409449,23.62204724409449,16.931659693165972,3.068340306834027,历史1/1次成功; 当前距低点3.07%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
7,84.29106382677348,74.51143763692683,300753,爱朋医疗,bottom_area,2023-06-12,19.2,2023-06-06,18.6,3.2258064516128915,7.526881720430099,32.017543859649116,True,-0.7239,12.802,1,1,1,100.0,28.044496487119456,28.044496487119456,16.77419354838711,3.2258064516128915,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
8,83.63232230434892,74.82012476302214,688075,安旭生物,bottom_area,2023-06-12,67.16,2023-05-10,64.65,3.8824439288476267,7.764887857695276,30.37906525953047,True,-0.0595,1.0918,4,5,4,80.0,31.086542584917854,40.134529147982065,16.117556071152375,3.8824439288476267,历史4/5次成功; 当前距低点3.88%; 最新日涨幅-0.06%; 状态bottom_area; 底部已确认
9,83.55166279649967,74.84459109286941,688176,亚虹医药,bottom_area,2023-06-12,11.57,2023-06-09,11.13,3.9532794249775334,4.582210242587599,31.211372064276876,False,1.9383,1.8975,1,1,1,100.0,25.473484848484844,25.473484848484844,16.046720575022466,3.9532794249775334,历史1/1次成功; 当前距低点3.95%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
10,82.97523481562821,70.05857408698064,300762,上海瀚讯,bottom_area,2023-06-12,11.26,2023-06-12,11.18,0.7155635062611813,4.293381037567088,29.150823827629914,False,-3.0146,2.0839,1,1,1,100.0,32.580961727183514,32.580961727183514,19.28443649373882,0.7155635062611813,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
11,77.73111549076285,68.91662430428084,603327,福蓉科技,bottom_area,2023-06-12,11.29,2023-06-09,10.92,3.388278388278381,4.30402930402931,29.548387096774192,False,0.8036,0.2815,2,4,2,50.0,45.01020983632018,52.609776304888165,16.61172161172162,3.388278388278381,历史2/4次成功; 当前距低点3.39%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
12,77.43325777361243,69.33732153280121,002690,美亚光电,bottom_area,2023-06-12,24.58,2023-05-15,23.65,3.9323467230443963,8.668076109936578,28.765060240963862,True,0.3675,0.8378,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,16.067653276955603,3.9323467230443963,历史2/3次成功; 当前距低点3.93%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
13,76.90868497584368,68.28597832894476,600183,生益科技,bottom_area,2023-06-12,14.92,2023-06-08,14.42,3.467406380027739,4.64632454923717,27.09807886754298,False,0.6069,0.6189,2,3,2,66.66666666666666,23.14515165989969,25.158227848101262,16.532593619972264,3.467406380027739,历史2/3次成功; 当前距低点3.47%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
