rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.58372769638896,80.95696211842592,300488,恒锋工具,bottom_area,2021-12-27,28.08,2021-12-27,27.19,3.2732622287605624,3.457153365207789,31.545820745216513,False,0.6812,1.3123,1,1,1,100.0,65.52470248827983,65.52470248827983,11.726737771239437,3.2732622287605624,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
2,87.08742829590153,79.3521117532385,002357,富临运业,bottom_area,2021-12-27,6.55,2021-12-27,6.39,2.503912363067295,3.4428794992175376,28.202247191011242,False,1.0802,10.5376,1,1,1,100.0,31.941031941031934,31.941031941031934,12.496087636932703,2.503912363067295,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
3,83.1938284010052,73.890276748747,600396,华电辽能,bottom_area,2021-12-27,3.57,2021-12-27,3.53,1.133144475920681,8.21529745042493,30.237154150197625,False,-8.9286,10.8123,1,1,1,100.0,18.461538461538467,18.461538461538467,13.86685552407932,1.133144475920681,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-8.93%; 状态bottom_area; 底部未确认
4,82.40434914637571,72.35962831123372,688280,精进电动,bottom_area,2021-12-27,15.38,2021-12-27,15.3,0.5228758169934644,4.901960784313726,31.112111661413778,False,-2.904,7.538,1,1,1,100.0,32.37518910741301,32.37518910741301,14.477124183006534,0.5228758169934644,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
