rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.49697253199592,83.72734114526303,002041,登海种业,bottom_area,2025-09-15,9.68,2025-06-23,9.53,1.5739769150052505,7.345225603357829,29.719764011799416,True,0.6237,0.919,2,2,2,100.0,18.2043468358871,21.395106715252467,13.426023084994748,1.5739769150052505,历史2/2次成功; 当前距低点1.57%; 最新日涨幅0.62%; 状态bottom_area; 底部已确认
2,85.13325659285277,77.94447761194033,301009,可靠股份,bottom_area,2025-09-15,13.77,2025-09-05,13.4,2.7611940298507403,5.522388059701494,27.762803234501348,False,-0.5058,2.1948,1,1,1,100.0,53.96648044692738,53.96648044692738,12.23880597014926,2.7611940298507403,历史1/1次成功; 当前距低点2.76%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
3,84.35020556570753,76.12031442788724,300645,正元智慧,bottom_area,2025-09-15,18.48,2025-09-05,18.12,1.9867549668874138,5.242825607064013,27.3164861612515,False,-1.0707,3.2829,1,1,1,100.0,30.699547055863096,30.699547055863096,13.013245033112586,1.9867549668874138,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
4,84.26324426097021,75.78566788652421,300510,金冠股份,bottom_area,2025-09-15,4.51,2025-09-03,4.43,1.8058690744921009,6.997742663656896,30.01579778830964,False,-0.8791,2.7171,3,4,3,75.0,30.849727829925854,40.000000000000014,13.1941309255079,1.8058690744921009,历史3/4次成功; 当前距低点1.81%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
5,83.10682018696285,75.13503256909523,300192,科德教育,bottom_area,2025-09-15,19.1,2025-09-09,18.71,2.0844468198824186,6.146445750935321,32.649388048956084,False,-1.4956,4.9514,1,1,1,100.0,26.599845797995382,26.599845797995382,12.91555318011758,2.0844468198824186,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
6,79.54594396739483,74.13647039334222,603109,神驰机电,bottom_area,2025-09-15,30.98,2025-09-04,29.87,3.7161031134917955,8.77134248409776,27.79792119893642,True,-1.962,2.7656,4,5,4,80.0,25.37196501130927,33.71428571428571,11.283896886508204,3.7161031134917955,历史4/5次成功; 当前距低点3.72%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
7,79.01063701118862,72.19457074940495,302132,中航成飞,bottom_area,2025-09-15,81.61,2025-09-09,79.5,2.654088050314465,6.163522012578623,27.595628415300546,False,-1.6036,2.056,3,4,3,75.0,21.94027690388128,28.81165919282512,12.345911949685535,2.654088050314465,历史3/4次成功; 当前距低点2.65%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
8,75.17025002720214,70.01989756208025,000561,烽火电子,bottom_area,2025-09-15,11.25,2025-09-04,10.85,3.6866359447004644,6.267281105990781,32.60869565217392,False,-0.7937,2.1247,3,4,3,75.0,22.905524279555433,31.050955414012744,11.313364055299536,3.6866359447004644,历史3/4次成功; 当前距低点3.69%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
9,74.17578448832127,64.74765088776022,600316,洪都航空,bottom_area,2025-09-15,34.31,2025-09-15,34.24,0.2044392523364494,2.949766355140181,27.87023383189382,False,-1.9714,2.1826,3,5,3,60.0,24.213830016598457,30.462519936204153,14.79556074766355,0.2044392523364494,历史3/5次成功; 当前距低点0.20%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
10,70.82204374428576,64.0694915254237,002826,易明医药,bottom_area,2025-09-15,19.28,2025-09-03,18.88,2.1186440677966214,7.786016949152555,29.631010063361906,True,-1.9827,2.986,1,2,1,50.0,50.0,50.0,12.881355932203379,2.1186440677966214,历史1/2次成功; 当前距低点2.12%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
11,66.8761781289359,62.86033433967872,605169,洪通燃气,bottom_area,2025-09-15,14.98,2025-09-05,14.38,4.172461752433933,5.354659248956882,31.064237775647165,False,0.8075,2.4188,2,4,2,50.0,22.06208137219406,26.09375,10.827538247566066,4.172461752433933,历史2/4次成功; 当前距低点4.17%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
