rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.40046253016273,82.82549661997653,603212,赛伍技术,bottom_area,2023-08-24,16.44,2023-08-24,16.08,2.2388059701492726,3.731343283582099,29.006622516556295,False,1.7327,1.4323,2,2,2,100.0,30.698786193101522,32.01038575667657,17.76119402985073,2.2388059701492726,历史2/2次成功; 当前距低点2.24%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
2,94.93135985826616,82.77558889722431,002150,正泰电源,bottom_area,2023-08-24,13.66,2023-08-24,13.33,2.4756189047261823,3.9009752438109495,30.572916666666668,False,1.9403,1.4351,1,1,1,100.0,164.87025948103792,164.87025948103792,17.52438109527382,2.4756189047261823,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
3,94.61567504921648,81.19683043970699,002755,奥赛康,bottom_area,2023-08-24,7.6,2023-08-24,7.48,1.6042780748662995,3.0748663101604214,32.97491039426523,False,0.7958,0.2812,1,1,1,100.0,30.831099195710454,30.831099195710454,18.3957219251337,1.6042780748662995,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
4,93.94301633888938,80.3430478961357,002219,新里程,bottom_area,2023-08-24,3.58,2023-08-24,3.53,1.4164305949008575,3.116147308781879,32.11538461538462,False,1.1299,0.512,1,1,1,100.0,23.938223938223942,23.938223938223942,18.583569405099144,1.4164305949008575,历史1/1次成功; 当前距低点1.42%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
5,93.76805327489289,79.83439506271549,688300,联瑞新材,bottom_area,2023-08-24,40.6,2023-08-24,40.13,1.1711936207326161,2.7909294791926174,31.4017094017094,False,-0.3436,0.4831,2,2,2,100.0,24.003852247235756,26.809910956252438,18.828806379267384,1.1711936207326161,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
6,93.43467185482778,81.447986978715,000411,英特集团,bottom_area,2023-08-24,11.66,2023-08-24,11.38,2.460456942003509,3.7785588752196806,27.974683544303797,False,-0.3419,4.0929,3,3,3,100.0,31.816283905822544,47.98426745329401,17.539543057996493,2.460456942003509,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
7,92.88910884817878,79.57697541452258,002519,银河电子,bottom_area,2023-08-24,5.38,2023-08-24,5.3,1.5094339622641524,2.641509433962275,28.571428571428577,False,0.5607,1.267,1,1,1,100.0,20.959595959595962,20.959595959595962,18.49056603773585,1.5094339622641524,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
8,90.86755465528601,77.73007687379886,603015,弘讯科技,bottom_area,2023-08-24,8.52,2023-08-17,8.4,1.428571428571419,8.095238095238091,29.883138564273786,True,-1.0453,0.9349,1,1,1,100.0,23.318385650224208,23.318385650224208,18.571428571428584,1.428571428571419,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.05%; 状态bottom_area; 底部已确认
9,87.89800674370434,74.06787674123274,688328,深科达,bottom_area,2023-08-24,21.54,2023-08-24,21.41,0.607192900513774,2.895843063988795,31.966952653320618,False,-0.783,2.9815,2,2,2,100.0,25.92621803443088,29.170984455958543,19.392807099486227,0.607192900513774,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
10,87.89101140062812,75.4558820403744,688248,南网科技,bottom_area,2023-08-24,30.0,2023-08-22,29.52,1.6260162601626031,4.234417344173442,31.31689157747789,False,0.6374,2.4091,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,18.3739837398374,1.6260162601626031,历史2/3次成功; 当前距低点1.63%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
11,86.72087185920293,76.24669134071877,688277,天智航,bottom_area,2023-08-24,13.7,2023-08-23,13.31,2.930127723516144,8.489857250187821,29.088971763452314,False,0.2195,1.4107,1,1,1,100.0,20.469798657718112,20.469798657718112,17.069872276483856,2.930127723516144,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
