rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
20,74.92837949442095,69.30701604362001,002836,新宏泽,bottom_area,2024-12-30,7.49,2024-12-25,7.25,3.31034482758621,7.5862068965517215,27.500000000000004,True,-2.7273,1.9284,2,3,2,66.66666666666666,39.98890098844028,59.30851063829788,11.68965517241379,3.31034482758621,历史2/3次成功; 当前距低点3.31%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
21,73.96382908588768,66.49744886270659,002146,荣盛发展,bottom_area,2024-12-30,1.71,2024-12-30,1.68,1.7857142857142874,5.952380952380958,29.707112970711304,False,-4.4693,5.0345,3,5,3,60.0,23.38106147384497,33.33333333333333,13.214285714285712,1.7857142857142874,历史3/5次成功; 当前距低点1.79%; 最新日涨幅-4.47%; 状态bottom_area; 底部未确认
22,72.6482034467238,66.60342634818845,603256,宏和科技,bottom_area,2024-12-30,8.71,2024-12-25,8.47,2.833530106257381,8.264462809917346,30.45977011494252,True,-1.693,0.7763,2,3,2,66.66666666666666,19.608646902089383,22.318339100346023,12.166469893742619,2.833530106257381,历史2/3次成功; 当前距低点2.83%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
23,71.66579473584483,67.75268581891102,603058,永吉股份,bottom_area,2024-12-30,9.09,2024-12-25,8.7,4.482758620689662,6.781609195402298,28.21782178217822,False,-0.6557,1.5558,1,1,1,100.0,16.308470290771165,16.308470290771165,10.517241379310338,4.482758620689662,历史1/1次成功; 当前距低点4.48%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
24,71.54825601368908,65.50872642244383,605337,李子园,bottom_area,2024-12-30,11.53,2024-12-25,11.22,2.762923351158634,9.18003565062388,32.69346130773845,True,-2.6182,2.4351,2,4,2,50.0,32.30210571551354,37.98882681564246,12.237076648841366,2.762923351158634,历史2/4次成功; 当前距低点2.76%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
25,69.06680087999818,61.03258175255578,300651,金陵体育,bottom_area,2024-12-30,12.88,2024-12-25,12.77,0.8613938919342303,6.656225528582612,32.398094229751194,False,-3.3033,5.3057,3,5,3,60.0,22.508386162181807,25.720461095100855,14.138606108065769,0.8613938919342303,历史3/5次成功; 当前距低点0.86%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
26,66.54888881403427,58.247151162790665,002693,双成药业,bottom_area,2024-12-30,17.26,2024-12-30,17.2,0.3488372093023388,4.534883720930239,31.908155186064928,False,-4.1111,3.5308,3,8,3,37.5,59.74209192291882,102.85714285714285,14.651162790697661,0.3488372093023388,历史3/8次成功; 当前距低点0.35%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
27,65.37963536294457,58.258065501468145,000710,贝瑞基因,bottom_area,2024-12-30,8.52,2024-12-30,8.41,1.3079667063020146,6.183115338882278,28.789161727349704,False,-5.9603,5.0577,2,5,2,40.0,16.560374149659864,17.3469387755102,13.692033293697985,1.3079667063020146,历史2/5次成功; 当前距低点1.31%; 最新日涨幅-5.96%; 状态bottom_area; 底部未确认
28,65.32942078727066,59.72589975451159,688001,华兴源创,bottom_area,2024-12-30,28.32,2024-12-30,27.58,2.683103698332132,4.278462654097185,28.678562192914413,False,-1.2208,0.5661,2,5,2,40.0,31.093420358649794,35.3639240506329,12.316896301667867,2.683103698332132,历史2/5次成功; 当前距低点2.68%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
29,64.45932178217822,56.05158415841585,002162,悦心健康,bottom_area,2024-12-30,3.51,2024-12-24,3.51,0.0,7.122507122507122,30.21868787276343,True,-3.3058,2.5013,1,2,1,50.0,43.23432343234324,43.23432343234324,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.31%; 状态bottom_area; 底部已确认
30,63.34881270437741,57.07675846284468,002285,世联行,bottom_area,2024-12-30,2.68,2024-12-30,2.63,1.9011406844106566,4.562737642585556,27.548209366391184,False,-2.8986,2.2376,1,2,1,50.0,18.932038834951463,18.932038834951463,13.098859315589342,1.9011406844106566,历史1/2次成功; 当前距低点1.90%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
31,61.77689712390963,54.922702349219,688196,卓越新能,bottom_area,2024-12-30,33.27,2024-12-30,32.88,1.1861313868613155,3.588807785888077,31.29962390305056,False,-2.2046,1.0007,1,4,1,25.0,19.41979522184301,19.41979522184301,13.813868613138682,1.1861313868613155,历史1/4次成功; 当前距低点1.19%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
32,61.31021162994046,54.206470981662505,000688,国城矿业,bottom_area,2024-12-30,12.48,2024-12-30,12.37,0.8892481810832757,4.6887631366208575,28.24825986078886,False,-2.8037,0.7384,1,2,1,50.0,30.935251798561143,30.935251798561143,14.110751818916722,0.8892481810832757,历史1/2次成功; 当前距低点0.89%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
33,60.902315114424844,54.61613933685502,002370,亚太药业,bottom_area,2024-12-30,3.08,2024-12-25,3.03,1.650165016501659,8.25082508250825,28.70588235294118,False,-3.1447,4.2341,2,6,2,33.33333333333333,15.619259360997129,15.633423180592995,13.34983498349834,1.650165016501659,历史2/6次成功; 当前距低点1.65%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
34,60.30965655058061,53.523015230842475,002374,中锐股份,bottom_area,2024-12-30,2.78,2024-12-30,2.75,1.090909090909084,5.4545454545454515,32.59803921568628,False,-4.1379,2.1186,1,4,1,25.0,20.94240837696336,20.94240837696336,13.909090909090915,1.090909090909084,历史1/4次成功; 当前距低点1.09%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
35,59.94570219672987,55.277831137126654,300546,雄帝科技,bottom_area,2024-12-30,17.71,2024-12-30,17.17,3.145020384391375,3.9603960396039586,27.276577721304523,False,-0.1128,4.4889,2,6,2,33.33333333333333,27.285721936589546,33.791666666666664,11.854979615608624,3.145020384391375,历史2/6次成功; 当前距低点3.15%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
36,58.525115315432494,53.380715313558916,600382,广东明珠,bottom_area,2024-12-30,4.41,2024-12-25,4.3,2.5581395348837286,7.906976744186044,31.200000000000006,True,-2.8634,0.8767,1,3,1,33.33333333333333,17.365269461077848,17.365269461077848,12.441860465116271,2.5581395348837286,历史1/3次成功; 当前距低点2.56%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
37,58.40050350781866,52.300383472902936,000681,视觉中国,bottom_area,2024-12-30,21.91,2024-12-30,21.57,1.5762633286972643,6.073249884098279,32.212445003142676,False,-2.0563,14.685,1,5,1,20.0,20.93690248565965,20.93690248565965,13.423736671302736,1.5762633286972643,历史1/5次成功; 当前距低点1.58%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
38,58.39121819483309,55.69421487603306,002337,赛象科技,bottom_area,2024-12-30,5.08,2024-12-25,4.84,4.958677685950417,11.36363636363636,27.327327327327332,True,-3.2381,2.6682,1,2,1,50.0,60.465116279069754,60.465116279069754,10.041322314049584,4.958677685950417,历史1/2次成功; 当前距低点4.96%; 最新日涨幅-3.24%; 状态bottom_area; 底部已确认
39,58.19844497133728,53.99997445254709,300340,科恒股份,bottom_area,2024-12-30,9.82,2024-12-25,9.49,3.477344573234985,6.95468914646997,29.703703703703706,False,-1.8,2.8372,1,4,1,25.0,42.54473161033797,42.54473161033797,11.522655426765015,3.477344573234985,历史1/4次成功; 当前距低点3.48%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
40,57.497924631071925,54.788082424808884,603123,翠微股份,bottom_area,2024-12-30,8.34,2024-12-25,7.95,4.905660377358487,7.924528301886791,29.770318021201415,True,-0.7143,1.7518,2,5,2,40.0,22.596710135409833,29.08496732026144,10.094339622641513,4.905660377358487,历史2/5次成功; 当前距低点4.91%; 最新日涨幅-0.71%; 状态bottom_area; 底部已确认
41,55.66746218423412,50.91759537360305,002238,天威视讯,bottom_area,2024-12-30,8.34,2024-12-25,8.12,2.709359605911338,6.527093596059127,27.10951526032317,False,-0.3584,1.4517,1,3,1,33.33333333333333,15.169902912621358,15.169902912621358,12.290640394088662,2.709359605911338,历史1/3次成功; 当前距低点2.71%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
42,55.45206857590046,49.68084585305618,002369,卓翼科技,bottom_area,2024-12-30,6.99,2024-12-30,6.88,1.5988372093023302,9.883720930232553,31.2,False,-6.0484,21.0059,1,5,1,20.0,17.345132743362825,17.345132743362825,13.401162790697668,1.5988372093023302,历史1/5次成功; 当前距低点1.60%; 最新日涨幅-6.05%; 状态bottom_area; 底部未确认
43,55.15217951440124,51.253123819800386,600358,国旅联合,bottom_area,2024-12-30,3.49,2024-12-30,3.37,3.5608308605341277,6.52818991097922,28.902953586497894,False,-3.3241,3.4524,1,2,1,50.0,18.181818181818198,18.181818181818198,11.439169139465871,3.5608308605341277,历史1/2次成功; 当前距低点3.56%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
44,54.669391137699726,51.00327868852458,300749,顶固集创,bottom_area,2024-12-30,6.33,2024-12-25,6.1,3.770491803278696,8.032786885245907,31.690929451287797,True,-2.3148,2.9781,1,4,1,25.0,20.833333333333336,20.833333333333336,11.229508196721303,3.770491803278696,历史1/4次成功; 当前距低点3.77%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
45,54.34107871618247,47.96480503144653,600400,红豆股份,bottom_area,2024-12-30,2.52,2024-12-30,2.5,0.8000000000000007,4.399999999999995,27.11370262390671,False,-3.4483,1.7826,1,3,1,33.33333333333333,25.943396226415082,25.943396226415082,14.2,0.8000000000000007,历史1/3次成功; 当前距低点0.80%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
46,53.738296150975316,50.994013078712996,002167,东方锆业,bottom_area,2024-12-30,7.6,2024-12-25,7.26,4.683195592286499,6.198347107438019,30.259365994236315,False,-0.1314,2.6027,1,4,1,25.0,41.1650485436893,41.1650485436893,10.316804407713501,4.683195592286499,历史1/4次成功; 当前距低点4.68%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
47,53.250808357004,49.96425839000119,600250,南京商旅,bottom_area,2024-12-30,9.19,2024-12-25,8.83,4.077010192525475,9.060022650056633,31.069476971116316,True,-2.9567,2.8287,1,4,1,25.0,19.004524886877824,19.004524886877824,10.922989807474524,4.077010192525475,历史1/4次成功; 当前距低点4.08%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
