rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.67643114149502,82.65015128417096,688075,安旭生物,confirmed_rebound,2023-02-17,88.06,2022-12-30,83.88,4.983309489747267,10.705770147830238,29.441453566621806,True,0.5022,2.7849,4,4,4,100.0,31.086542584917854,40.134529147982065,5.016690510252734,4.983309489747267,历史4/4次成功; 当前距低点4.98%; 最新日涨幅0.50%; 状态confirmed_rebound; 底部已确认
2,81.22824833603565,75.77639688104448,002855,捷荣技术,bottom_area,2023-02-17,10.48,2023-02-17,10.34,1.3539651837524234,3.094777562862672,30.087897227856658,False,-1.1321,4.4378,1,1,1,100.0,21.093749999999993,21.093749999999993,8.646034816247578,1.3539651837524234,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
3,79.26454420820124,79.0806357529618,000715,中兴商业,bottom_area,2023-02-17,6.45,2023-01-19,6.15,4.878048780487801,8.130081300813007,31.05381165919282,True,1.4151,4.2006,3,3,3,100.0,17.056919206849418,24.33862433862435,5.1219512195122,4.878048780487801,历史3/3次成功; 当前距低点4.88%; 最新日涨幅1.42%; 状态bottom_area; 底部已确认
4,76.63116779398405,74.72333789039935,000679,大连友谊,bottom_area,2023-02-17,5.64,2023-01-18,5.44,3.676470588235281,9.007352941176459,28.515111695137975,True,0.3559,1.4262,3,4,3,75.0,16.40156361062258,24.94061757719715,6.32352941176472,3.676470588235281,历史3/4次成功; 当前距低点3.68%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
5,75.61726502848988,74.04837920500613,688355,明志科技,bottom_area,2023-02-17,29.31,2023-02-17,28.21,3.8993264799716334,8.117688762850051,27.443415637860085,False,-3.2673,8.0442,3,3,3,100.0,19.886255802911084,35.08474576271185,6.1006735200283675,3.8993264799716334,历史3/3次成功; 当前距低点3.90%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
6,72.84023106366945,72.27992159394891,002144,宏达高科,bottom_area,2023-02-17,11.61,2023-01-20,11.1,4.594594594594593,9.72972972972973,28.34086507424145,True,0.1726,3.6846,1,1,1,100.0,10.352673492605236,10.352673492605236,5.405405405405408,4.594594594594593,历史1/1次成功; 当前距低点4.59%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
7,68.35119554504256,67.94792120864189,603318,水发燃气,bottom_area,2023-02-17,8.93,2022-12-30,8.53,4.689331770222747,9.613130128956628,30.819140308191407,True,-0.5568,2.1306,1,1,1,100.0,10.696761530912658,10.696761530912658,5.310668229777254,4.689331770222747,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-0.56%; 状态bottom_area; 底部已确认
8,60.347186951593336,58.66692077408319,000419,通程控股,bottom_area,2023-02-17,6.18,2023-02-16,5.97,3.5175879396984917,4.690117252931328,30.093676814988285,False,3.3445,4.6953,1,2,1,50.0,24.82269503546099,24.82269503546099,6.48241206030151,3.5175879396984917,历史1/2次成功; 当前距低点3.52%; 最新日涨幅3.34%; 状态bottom_area; 底部未确认
