rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.19104578217173,75.86703979536276,600986,浙文互联,bottom_area,2026-02-26,11.79,16.48,2026-02-26,11.73,0.5115089514066388,2.9838022165387863,28.822815533980584,28.458737864077676,False,-2.0764,10.3051,5,6,5,83.33333333333334,37.2040154367557,60.28761061946904,19.488491048593364,0.5115089514066388,历史5/6次成功; 当前距低点0.51%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
2,87.94777671099806,73.48412290466617,688317,之江生物,bottom_area,2026-02-26,20.8,28.58,2026-02-26,20.77,0.1444390948483444,2.2147327876745346,27.326801959412172,27.221833449965004,False,-1.6083,1.3236,3,4,3,75.0,37.948623875916084,40.461049284578706,19.855560905151656,0.1444390948483444,历史3/4次成功; 当前距低点0.14%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
3,85.59903696602109,74.17108629441623,600271,航天信息,bottom_area,2026-02-26,10.06,13.99,2026-02-02,9.85,2.131979695431481,5.1776649746192875,29.592566118656187,28.091493924231592,False,-0.5929,1.1271,1,1,1,100.0,21.999999999999996,21.999999999999996,17.86802030456852,2.131979695431481,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
4,85.2286194728839,77.54170903564521,300780,德恩精工,bottom_area,2026-02-26,24.21,32.08,2026-02-25,23.1,4.805194805194803,7.575757575757576,27.992518703241885,24.53241895261845,True,2.2814,13.889,1,1,1,100.0,41.22340425531916,41.22340425531916,15.1948051948052,4.805194805194803,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.28%; 状态bottom_area; 底部已确认
5,85.03855349873416,71.06226005574604,300251,光线传媒,bottom_area,2026-02-26,19.86,27.97,2026-02-26,19.83,0.15128593040847776,3.9334341906202783,29.102609939220596,28.995352163031818,False,-3.6857,7.7186,1,1,1,100.0,31.060171919770784,31.060171919770784,19.848714069591523,0.15128593040847776,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
6,83.78414181676963,75.10835401195179,301023,奕帆传动,bottom_area,2026-02-26,47.13,65.18,2026-02-06,45.32,3.9938217122683195,5.4060017652250725,30.469469162319733,27.69254372506904,False,0.362,4.0376,1,1,1,100.0,27.388535031847127,27.388535031847127,16.006178287731682,3.9938217122683195,历史1/1次成功; 当前距低点3.99%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
7,72.78688812738801,62.8211377245509,300652,雷迪克,bottom_area,2026-02-26,51.06,74.21,2026-02-06,50.1,1.9161676646706605,4.510978043912171,32.48888289987871,31.19525670394825,False,-0.7001,1.5337,1,2,1,50.0,54.41115272575945,54.41115272575945,18.08383233532934,1.9161676646706605,历史1/2次成功; 当前距低点1.92%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
8,71.92884041739525,62.243864544784955,688095,福昕软件,bottom_area,2026-02-26,85.22,121.0,2026-02-25,83.5,2.0598802395209566,2.8023952095808426,30.991735537190085,29.570247933884296,False,0.4953,3.0538,2,6,2,33.33333333333333,28.962678266448417,31.679509356817103,17.940119760479046,2.0598802395209566,历史2/6次成功; 当前距低点2.06%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
9,67.06564788932135,58.54225451208319,603360,百傲化学,bottom_area,2026-02-26,28.71,38.98,2026-02-09,28.0,2.5357142857142887,9.357142857142861,28.168291431503327,26.346844535659304,True,-2.3469,1.5763,1,2,1,50.0,25.39614561027837,25.39614561027837,17.46428571428571,2.5357142857142887,历史1/2次成功; 当前距低点2.54%; 最新日涨幅-2.35%; 状态bottom_area; 底部已确认
10,65.96097160334556,54.9674763361213,001330,博纳影业,bottom_area,2026-02-26,9.31,13.72,2026-02-26,9.31,0.0,7.4113856068743225,32.14285714285714,32.14285714285714,False,-9.9613,17.5011,2,5,2,40.0,34.93266847377042,35.637149028077765,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
11,64.93652616641593,54.78706397896583,300723,一品红,bottom_area,2026-02-26,32.82,45.88,2026-02-25,32.6,0.6748466257668676,3.251533742331273,28.945074106364434,28.46556233653008,False,-2.1467,1.4093,1,2,1,50.0,31.428571428571427,31.428571428571427,19.325153374233135,0.6748466257668676,历史1/2次成功; 当前距低点0.67%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
