rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.9111819764994,85.80155146688718,000620,盈新发展,bottom_area,2023-08-25,1.55,2023-08-25,1.51,2.6490066225165587,4.635761589403978,27.403846153846157,False,0.0,1.7296,3,3,3,100.0,35.0606804635748,58.4192439862543,12.35099337748344,2.6490066225165587,历史3/3次成功; 当前距低点2.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,92.56247518541721,84.82658100331957,000411,英特集团,bottom_area,2023-08-25,11.7,2023-08-24,11.38,2.8119507908611467,3.7785588752196806,27.974683544303797,False,0.3431,3.7807,3,3,3,100.0,31.816283905822544,47.98426745329401,12.188049209138853,2.8119507908611467,历史3/3次成功; 当前距低点2.81%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
3,88.5838767461041,78.94203624953555,688148,芳源股份,bottom_area,2023-08-25,9.26,2023-08-23,9.14,1.3129102844638865,3.5010940919037226,27.3449920508744,False,-0.7503,0.9887,2,2,2,100.0,20.943396226415096,26.66666666666668,13.687089715536112,1.3129102844638865,历史2/2次成功; 当前距低点1.31%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
4,87.40689876725759,76.68764338450991,002765,蓝黛科技,bottom_area,2023-08-25,6.31,2023-08-25,6.28,0.4777070063694166,3.184713375796181,29.675251959686445,False,-2.7735,2.0555,3,3,3,100.0,21.75707182275358,28.213879408418663,14.522292993630584,0.4777070063694166,历史3/3次成功; 当前距低点0.48%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
5,85.89040578341776,75.11611694791192,002339,积成电子,bottom_area,2023-08-25,6.55,2023-08-25,6.53,0.30627871362939624,2.9096477794793185,27.201783723522855,False,-1.9461,1.6223,3,4,3,75.0,48.70662588702658,82.94930875576038,14.693721286370604,0.30627871362939624,历史3/4次成功; 当前距低点0.31%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
6,85.16371756982706,74.43589258574961,600148,长春一东,bottom_area,2023-08-25,14.63,2023-08-25,14.59,0.2741603838245437,3.152844413982185,27.340637450199196,False,-1.9437,1.3801,1,1,1,100.0,40.489130434782616,40.489130434782616,14.725839616175456,0.2741603838245437,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
7,85.01267935750924,74.82595150410323,600338,西藏珠峰,bottom_area,2023-08-25,13.96,2023-08-25,13.87,0.6488824801730472,3.1723143475126268,28.320413436692515,False,-1.6209,1.4346,2,2,2,100.0,30.512922359665453,31.213191990577155,14.351117519826953,0.6488824801730472,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
8,84.53223707470177,75.49268683282995,688277,天智航,bottom_area,2023-08-25,13.5,2023-08-23,13.31,1.427498121712994,8.489857250187821,29.088971763452314,False,-1.4599,1.0001,1,1,1,100.0,20.469798657718112,20.469798657718112,13.572501878287005,1.427498121712994,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
9,83.93959809774672,73.71907435508346,002150,正泰电源,bottom_area,2023-08-25,13.25,2023-08-25,13.18,0.5311077389984847,3.566009104704102,31.354166666666668,False,-3.0015,1.3944,1,1,1,100.0,164.87025948103792,164.87025948103792,14.468892261001514,0.5311077389984847,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
10,83.75370747471179,73.7835681369177,002838,道恩股份,bottom_area,2023-08-25,13.01,2023-08-25,12.92,0.696594427244581,4.643962848297211,29.629629629629626,False,-3.7722,1.3789,3,3,3,100.0,19.04195393029752,24.95606326889279,14.303405572755418,0.696594427244581,历史3/3次成功; 当前距低点0.70%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
11,83.74593680455128,73.2667070736252,300505,川金诺,bottom_area,2023-08-25,15.42,2023-08-25,15.37,0.3253090435914165,4.749512036434628,28.378378378378383,False,-4.2831,2.2425,2,2,2,100.0,28.378557489320507,39.35656836461126,14.674690956408584,0.3253090435914165,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
12,82.37794455062212,71.63299526141054,001234,泰慕士,bottom_area,2023-08-25,29.11,2023-08-25,29.11,0.0,0.0,27.94554455445544,False,-9.9876,0.4067,2,2,2,100.0,27.86556592156205,31.93277310924369,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
13,82.17759811872857,72.56521142356775,603212,赛伍技术,bottom_area,2023-08-25,15.94,2023-08-25,15.81,0.8222643896268123,4.364326375711572,30.198675496688736,False,-3.0414,1.4647,2,2,2,100.0,30.698786193101522,32.01038575667657,14.177735610373187,0.8222643896268123,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
14,81.30966233771437,71.45031692906663,601777,千里科技,bottom_area,2023-08-25,3.58,2023-08-25,3.56,0.5617977528089892,3.089887640449435,27.93522267206478,False,-2.4523,0.7152,1,1,1,100.0,27.96352583586626,27.96352583586626,14.43820224719101,0.5617977528089892,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
15,81.02325017704865,70.77972977575932,002819,东方中科,bottom_area,2023-08-25,24.45,2023-08-25,24.39,0.246002460024595,2.9110291102911066,30.31428571428571,False,-2.5896,0.6787,1,1,1,100.0,20.487179487179493,20.487179487179493,14.753997539975405,0.246002460024595,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
16,80.92888766520637,71.43570744505456,002755,奥赛康,bottom_area,2023-08-25,7.54,2023-08-24,7.48,0.8021390374331497,3.3422459893048124,32.97491039426523,False,-0.7895,0.2858,1,1,1,100.0,30.831099195710454,30.831099195710454,14.19786096256685,0.8021390374331497,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
17,80.07630930429436,70.76623969138033,300514,友讯达,bottom_area,2023-08-25,11.66,2023-08-25,11.56,0.8650519031141838,5.968858131487885,27.795128044971896,False,-5.2803,4.12,1,1,1,100.0,38.21805392731536,38.21805392731536,14.134948096885816,0.8650519031141838,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-5.28%; 状态bottom_area; 底部未确认
18,79.98217616978386,72.29010882936855,301499,维科精密,bottom_area,2023-08-25,32.55,2023-08-25,31.89,2.069614299153329,11.06930072122923,31.654522074582076,False,-8.3099,22.5289,1,1,1,100.0,21.337792642140478,21.337792642140478,12.930385700846669,2.069614299153329,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-8.31%; 状态bottom_area; 底部未确认
19,78.97630237888785,69.67125941495884,002519,银河电子,bottom_area,2023-08-25,5.23,2023-08-25,5.19,0.7707129094412337,3.6608863198458477,30.053908355795144,False,-2.7881,1.7053,1,1,1,100.0,20.959595959595962,20.959595959595962,14.229287090558765,0.7707129094412337,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
20,78.88180808714964,70.29138638145953,688355,明志科技,bottom_area,2023-08-25,20.89,2023-08-25,20.62,1.3094083414160989,3.831231813773032,32.28243021346469,False,0.1918,3.1737,2,4,2,50.0,26.91848064456046,35.08474576271185,13.6905916585839,1.3094083414160989,历史2/4次成功; 当前距低点1.31%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
21,78.81895126474275,69.35317947194963,603070,万控智造,bottom_area,2023-08-25,15.91,2023-08-25,15.81,0.6325110689437042,3.6053130929791175,29.733333333333334,False,-2.3327,2.3656,1,1,1,100.0,17.555401662049874,17.555401662049874,14.367488931056297,0.6325110689437042,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
22,78.34785115546946,69.22861324360589,300438,鹏辉能源,bottom_area,2023-08-25,37.65,2023-08-25,37.33,0.8572193945888034,2.86632735065631,31.1889400921659,False,-1.0252,1.5038,1,1,1,100.0,19.640179910044974,19.640179910044974,14.142780605411195,0.8572193945888034,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
23,77.86284378729152,69.07682232853155,688286,敏芯股份,bottom_area,2023-08-25,46.19,2023-08-25,45.7,1.072210065645503,3.960612691466072,30.335365853658523,False,-2.7784,0.8517,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,13.927789934354495,1.072210065645503,历史2/3次成功; 当前距低点1.07%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
24,77.31314155322632,67.83709632339901,302132,中航成飞,bottom_area,2023-08-25,41.7,2023-08-25,41.5,0.4819277108433803,4.048192771084336,32.02293202293202,False,-3.7174,2.2108,3,4,3,75.0,21.94027690388128,28.81165919282512,14.518072289156619,0.4819277108433803,历史3/4次成功; 当前距低点0.48%; 最新日涨幅-3.72%; 状态bottom_area; 底部未确认
25,76.6599872349874,67.56637636569731,688233,神工股份,bottom_area,2023-08-25,27.9,2023-08-25,27.7,0.7220216606498169,4.548736462093869,28.79177377892031,False,-3.4602,1.5029,1,1,1,100.0,19.261213720316633,19.261213720316633,14.277978339350184,0.7220216606498169,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
26,76.31637462119515,66.78969395890599,688248,南网科技,bottom_area,2023-08-25,29.2,2023-08-25,29.1,0.34364261168384147,3.264604810996561,32.29409027454629,False,-2.6667,2.3429,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,14.656357388316158,0.34364261168384147,历史2/3次成功; 当前距低点0.34%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
27,76.1125002438368,67.2308792834411,300671,富满微,bottom_area,2023-08-25,31.24,2023-08-25,30.98,0.8392511297611298,3.938024531956109,27.886405959031656,False,-3.3117,1.3641,1,1,1,100.0,18.894472361809044,18.894472361809044,14.160748870238871,0.8392511297611298,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-3.31%; 状态bottom_area; 底部未确认
