rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.9789202648517,81.98340709164945,002405,四维图新,bottom_area,2023-05-17,11.31,2023-05-16,11.14,1.5260323159784552,2.5134649910233335,27.75616083009079,False,1.1628,0.8909,2,2,2,100.0,17.434197699356595,23.478260869565215,6.473967684021545,1.5260323159784552,历史2/2次成功; 当前距低点1.53%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
2,84.01666932964625,80.06072750022345,002385,大北农,bottom_area,2023-05-17,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,0.0,0.5098,1,1,1,100.0,23.353293413173663,23.353293413173663,6.50746268656717,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,83.3979103383858,83.78082313741119,688075,安旭生物,bottom_area,2023-05-17,67.39,2023-05-10,64.65,4.2382057231245085,4.94972931167825,30.37906525953047,False,0.104,1.082,5,5,5,100.0,27.010388097500325,40.134529147982065,3.7617942768754915,4.2382057231245085,历史5/5次成功; 当前距低点4.24%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
4,83.27094306825558,79.74947287188652,300609,汇纳科技,bottom_area,2023-05-17,19.15,2023-05-17,18.82,1.75345377258235,5.366631243358119,27.615384615384613,False,-1.3395,6.0033,2,2,2,100.0,30.684663835345603,49.87035436473638,6.24654622741765,1.75345377258235,历史2/2次成功; 当前距低点1.75%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
5,82.57982602840642,82.02019993079755,601369,陕鼓动力,bottom_area,2023-05-17,9.38,2023-05-10,9.05,3.6464088397790064,4.972375690607726,32.31114435302916,False,0.7519,0.5048,3,3,3,100.0,26.957054223084292,55.572755417956664,4.353591160220994,3.6464088397790064,历史3/3次成功; 当前距低点3.65%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
6,82.11174990436832,78.12503242571525,688048,长光华芯,bottom_area,2023-05-17,85.44,2023-05-12,84.25,1.4124629080118667,4.629080118694369,29.20168067226891,False,-0.9276,1.3061,2,2,2,100.0,17.771225032162963,19.48504983388705,6.587537091988134,1.4124629080118667,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
7,80.54798653147728,78.60377716394399,002758,浙农股份,bottom_area,2023-05-17,12.42,2023-04-25,12.09,2.7295285359801498,5.789909015715462,28.249258160237396,False,2.0542,1.8605,2,2,2,100.0,14.016678634294234,19.064430714916153,5.270471464019851,2.7295285359801498,历史2/2次成功; 当前距低点2.73%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
8,80.18890578473106,78.55465595190732,002777,久远银海,bottom_area,2023-05-17,28.11,2023-05-17,27.31,2.929329915781768,3.844745514463569,32.567901234567906,False,1.5168,4.2291,2,2,2,100.0,16.201764300482424,18.88352860096485,5.070670084218232,2.929329915781768,历史2/2次成功; 当前距低点2.93%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
9,79.92585508875776,80.01689422074398,002690,美亚光电,bottom_area,2023-05-17,24.61,2023-05-15,23.65,4.059196617336156,4.312896405919675,28.765060240963862,False,2.5417,0.8355,3,3,3,100.0,21.246572625109707,27.355278093076052,3.940803382663844,4.059196617336156,历史3/3次成功; 当前距低点4.06%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
10,79.12946555485877,77.74968245772173,600248,陕建股份,bottom_area,2023-05-17,5.68,2023-05-17,5.51,3.085299455535389,3.629764065335757,28.719275549805957,False,1.0676,4.2508,2,2,2,100.0,13.785834496464656,16.28498727735369,4.914700544464611,3.085299455535389,历史2/2次成功; 当前距低点3.09%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
11,79.0684837410686,76.57803293096586,688289,圣湘生物,confirmed_rebound,2023-05-17,18.4,2023-04-26,17.98,2.3359288097886437,12.45828698553948,27.058823529411757,False,0.6014,0.4845,1,1,1,100.0,25.182530200451346,25.182530200451346,5.664071190211356,2.3359288097886437,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.60%; 状态confirmed_rebound; 底部未确认
